"rownum","Id","Text","Tier","Command","Parameters","[rid]","i32","i32","i32","i32","i32","i32","[string]","bool","bool","bool","bool"
10,"ReforgeCritical","<white>{Reforge} a Rare item with random modifiers, including a <craftingcrit>{Critical} modifier",0,"reroll_with_mod","critical ON rare",[],294804503,0,50331648,-1778384896,0,0,"[""tional to stack size.""]",1,"","",""
11,"ReforgeMoreLikely","<white>{Reforge} a <white>{Rare} item, being <white>{more likely} to receive the same modifier types",0,"reroll_with_current_tags_affinity_multiplier","900",[],328107028,0,16777216,-939524096,0,0,"[""tional to stack size.""]",1,"","",""
12,"ReforgeLessLikely","<white>{Reforge} a <white>{Rare} item, being <white>{less likely} to receive the same modifier types",0,"reroll_with_current_tags_affinity_multiplier","-90",[],355503097,0,16777216,-939524096,0,0,"[""tional to stack size.""]",1,"","",""
13,"RerollCorruptedMap","<white>{Sacrifice} a Rare <white>{Corrupted Map}. Create a new Corrupted Map of the same tier and rarity.",0,"sacrifice_corrupted_map_for_new_corrupted_map","",[],389439022,0,16777216,-939524096,0,0,"[""tional to stack size.""]","","","",""
14,"RerollFossils","<white>{Change} a stack of <white>{Fossils} into a different type of Fossil. The new Fossil type may have a smaller stack size. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","delvefossils",[],433337085,0,16777216,503316480,0,16777216,"[""tional to stack size.""]","","","",""
15,"RerollOils","<white>{Change} a stack of <white>{Oils} into a different colour of Oil. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","mushrunebasic",[],471625712,0,33554432,503316480,0,16777216,"[""tional to stack size.""]","","","",""
16,"RerollCatalysts","<white>{Change} a stack of <white>{Catalysts} into a different type of Catalyst. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","catalyst",[],503712490,0,33554432,503316480,0,16777216,"[""tional to stack size.""]","","","",""
17,"RerollEssences","<white>{Change} a stack of <white>{Essences} into a different type of the same tier. Cost is proportional to stack size.",0,"exchange_essences_for_other_essence_of_same_tier","",[],542522846,0,50331648,503316480,0,16777216,"[""tional to stack size.""]","","","",""
18,"RerollTimelessSplinters","<white>{Change} a stack of <white>{Timeless Splinters} or a <white>{Timeless Emblem} into Splinters or an Emblem of another type. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","HarvestTimelessSplinterExchange HarvestTimelessEmblemExchange",[],590643194,0,50331648,67108864,0,16777216,"[""tional to stack size.""]","","","",""
19,"RerollBreachSplinters","<white>{Change} a stack of <white>{Breach Splinters} or a normal or Flawless <white>{Breachstone} into Splinters or a Breachstone of another type. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","HarvestBreachSplinterExchange HarvestBreachStoneExchange\r\nHarvestBreachStoneExchange5",[],648593853,0,16777216,67108864,0,16777216,"[""tional to stack size.""]","","","",""
20,"RerollDeliriumOrbs","<white>{Change} a stack of <white>{Delirium Orbs} into a different type of Delirium Orb. Cost is proportional to stack size.",0,"exchange_item_in_set_for_other_item_in_set","afflictionorbs",[],691437301,0,50331648,503316480,0,16777216,"[""tional to stack size.""]",1,"","",""
21,"RerollDivinationCards","<white>{Change} a <white>{Divination Card} into another random Divination Card",0,"reroll_into_new_div_card","",[],723551298,0,33554432,1258291200,0,0,"[""tional to stack size.""]",1,"","",""
22,"ChangeColdToFireResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes MaximumColdResistanceForJewel CONVERT cold fire",[],788042465,0,16777216,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
23,"ChangeLightningToFireResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingfire>{Fire} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes MaximumLightningResistanceForJewel CONVERT lightning fire",[],866047358,0,16777216,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
24,"ChangeFireToColdResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes MaximumFireResistanceForJewel CONVERT fire cold",[],934952126,0,33554432,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
25,"ChangeLightningToColdResist","<white>{Change} a modifier that grants <craftinglightning>{Lightning} Resistance into a similar-tier modifier that grants <craftingcold>{Cold} Resistance",1,"convert_mod","LightningResistance LightningResistanceAilments LightningResistanceForJewel LightningResistanceLeech MaximumLightningResistance LightningResistancePhysTakenAsLightning LightningResistancePrefix AfflictionJewelSmallPassivesGrantLightningRes MaximumLightningResistanceForJewel CONVERT lightning cold",[],1012952399,0,33554432,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
26,"ChangeFireToLightningResist","<white>{Change} a modifier that grants <craftingfire>{Fire} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","FireResistance FireResistanceAilments FireResistanceForJewel FireResistanceLeech MaximumFireResist FireResistancePhysTakenAsFire FireResistancePrefix AfflictionJewelSmallPassivesGrantFireRes MaximumFireResistanceForJewel CONVERT fire lightning",[],1084495128,0,50331648,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
27,"ChangeColdToLightningResist","<white>{Change} a modifier that grants <craftingcold>{Cold} Resistance into a similar-tier modifier that grants <craftinglightning>{Lightning} Resistance",1,"convert_mod","ColdResistance ColdResistanceAilments ColdResistanceForJewel ColdResistanceLeech MaximumColdResist ColdResistancePhysTakenAsCold ColdResistancePrefix AfflictionJewelSmallPassivesGrantColdRes MaximumColdResistanceForJewel CONVERT cold lightning",[],1156080678,0,50331648,-201326592,1,0,"[""tional to stack size.""]",1,"","",""
28,"FlaskDurationEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Duration}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentDurationLoweredOnUse1_",[],1202913028,0,16842752,536870912,3,0,"[""tional to stack size.""]",1,"","",""
29,"FlaskChargeEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Maximum Charges}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentMaximumChargesLoweredOnUse3_",[],1249438617,0,16842752,536870912,3,0,"[""tional to stack size.""]",1,"","",""
30,"FlaskEffectEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{increased Effect}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentEffectLoweredOnUse2",[],1294477197,0,33619968,536870912,3,0,"[""tional to stack size.""]",1,"","",""
31,"FlaskReducedEnchant","<white>{Enchant} a <white>{Flask} with a modifier that grants <enchanted>{reduced Charges used}. The magnitude of this effect decreases with each use",2,"add_enchant_to_flask","HarvestFlaskEnchantmentChargesUsedLoweredOnUse4",[],1339747585,0,50397184,536870912,3,0,"[""tional to stack size.""]",1,"","",""
32,"RerollShaperFragment","<white>{Change} a stack of <white>{Shaper Fragments} into other random Shaper Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestShaperFragmentExchange",[],1379981336,0,16777216,-201326592,1,16777216,"[""tional to stack size.""]","","","",""
33,"RerollElderFragment","<white>{Change} a stack of <white>{Elder Fragments} into other random Elder Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestElderFragmentExchange",[],1416911509,0,50331648,-201326592,1,16777216,"[""tional to stack size.""]","","","",""
34,"RerollConquerorFragment","<white>{Change} a stack of <white>{Conqueror Fragments} into other random Conqueror Fragments. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestConquerorFragmentExchange",[],1455877035,0,33554432,-201326592,1,16777216,"[""tional to stack size.""]","","","",""
35,"RerollAtziriFragment","<white>{Change} a stack of <white>{Sacrifice} or <white>{Mortal Fragments} into other random Fragments of that type. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestSacrificeFragmentExchange HarvestMortalSacrificeFragmentExchange",[],1503309896,0,50331648,-201326592,1,16777216,"[""tional to stack size.""]","","","",""
36,"RerollUberElderFragment","<white>{Change} a stack of <white>{Fragments of Terror} or <white>{Emptiness} into the other Fragment. Or <white>{change} a stack of <white>{Fragments of Shape} or <white>{Knowledge} into the other Fragment. Cost is proportional to stack size.",1,"exchange_item_in_set_for_other_item_in_set","HarvestUberShaperFragmentExchange HarvestUberElderFragmentExchange",[],1564145590,0,33554432,536870912,3,16777216,"[""tional to stack size.""]","","","",""
37,"DivinationCardGamble","<white>{Sacrifice} up to half a stack of <white>{Divination Cards} to receive between 0 and twice that amount of the same Card",1,"reroll_num_div_cards","",[],1610128129,0,33554432,-603979776,5,0,"[""tional to stack size.""]",1,"","",""
38,"GemExperienceLens","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 50% of the gem's total experience stored as a <white>{Facetor's Lens}",2,"sacrifice_gem_for_currency","corrupted_only experience 50",[],1651780097,0,33554432,-1610612736,15,0,"[""tional to stack size.""]",1,"","",""
39,"RerollInfluenceType","<white>{Randomise} the <white>{Influence} types on an Influenced Normal, Magic or Rare <white>{Item}, as well as <white>{reforging} the item with new random modifiers",2,"reroll_influence_types","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre Quiver Gloves Boots Body_Armour Helmet Shield Amulet Ring Belt",[],1723378446,0,50331648,-402653184,3,0,"[""tional to stack size.""]",1,"","",""
40,"LifeBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Life per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedLife",[],1772766530,0,16842752,-1308622848,12,0,"[""tional to stack size.""]","","","",""
41,"ManaBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Maximum Mana per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIncreasedMana",[],1815368882,0,50397184,-1308622848,12,0,"[""tional to stack size.""]","","","",""
42,"StrengthBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Strength per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityStrength",[],1857304833,0,16842752,-1308622848,12,0,"[""tional to stack size.""]","","","",""
43,"DexterityBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Dexterity per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityDexterity",[],1899138572,0,33619968,-1308622848,12,0,"[""tional to stack size.""]","","","",""
44,"IntelligenceBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1 Intelligence per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityIntelligence_",[],1942379004,0,50397184,-1308622848,12,0,"[""tional to stack size.""]","","","",""
45,"FireResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Fire Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityFireResistance",[],1986810706,0,16842752,-1308622848,12,0,"[""tional to stack size.""]","","","",""
46,"ColdResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Cold Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityColdResistance",[],2032204848,0,33619968,-1308622848,12,0,"[""tional to stack size.""]","","","",""
47,"LightningResistBodyEnchant","<white>{Enchant} a <white>{Body Armour}. Quality does not increase its Defences, grants <enchanted>{+1% to Lightning Resistance per 2% quality}",2,"add_enchant_to_class","Body_Armour ENCHANTS HarvestAlternateArmourQualityLightningResistance",[],2079474401,0,50397184,-1308622848,12,0,"[""tional to stack size.""]","","","",""
48,"WeaponRangeEnchant","<white>{Enchant} a <white>{Melee Weapon}. Quality does not increase its Physical Damage, has <enchanted>{+1 Weapon Range per 10% Quality}",2,"add_enchant_to_class","Claw Dagger One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalMeleeWeaponRange_",[],2144906515,0,16842752,-2013265920,19,0,"[""tional to stack size.""]","","","",""
49,"WeaponAreaEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Area of Effect per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAreaOfEffect_",[],-2084560321,0,16842752,-2013265920,19,0,"[""tional to stack size.""]","","","",""
50,"WeaponAccuracyEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Accuracy per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityAccuracyRatingIncrease_",[],-2016877158,0,33619968,-2013265920,19,0,"[""tional to stack size.""]","","","",""
51,"WeaponAttackSpeedEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Attack Speed per 8% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalIncreasedAttackSpeed",[],-1949248264,0,33619968,-2013265920,19,0,"[""tional to stack size.""]","","","",""
52,"WeaponCriticalEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, has <enchanted>{1% increased Critical Strike Chance per 4% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityLocalCriticalStrikeChance__",[],-1880336808,0,50397184,-2013265920,19,0,"[""tional to stack size.""]","","","",""
53,"WeaponElementalEnchant","<white>{Enchant} a <white>{Weapon}. Quality does not increase its Physical Damage, grants <enchanted>{1% increased Elemental Damage per 2% Quality}",2,"add_enchant_to_class","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Rune_Dagger Warstaff Sceptre ENCHANTS HarvestAlternateWeaponQualityElementalDamagePercent",[],-1810969566,0,50397184,-2013265920,19,0,"[""tional to stack size.""]","","","",""
54,"ReforgeWhiteSocket","<white>{Reforge} the colour of a random <white>{socket} on an item, turning it <white>{White}",2,"modify_socket_colors","W",[10001],-1775078457,0,16777216,-738197504,16777264,0,"[""tional to stack size.""]",1,"","",""
55,"AugmentFire","<white>{Add} a new <craftingfire>{Fire} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR fire noinfluence",[10001],-1739175830,0,16777216,-1744830464,16777274,0,"[""tional to stack size.""]","","","",""
56,"AugmentCold","<white>{Add} a new <craftingcold>{Cold} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR cold noinfluence",[10001],-1704717034,0,33554432,-1744830464,16777274,0,"[""tional to stack size.""]","","","",""
57,"AugmentLightning","<white>{Add} a new <craftinglightning>{Lightning} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR lightning noinfluence",[10001],-1667595144,0,50331648,-1744830464,16777274,0,"[""tional to stack size.""]","","","",""
58,"AugmentPhysical","<white>{Add} a new <craftingphysical>{Physical} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR physical noinfluence",[10001],-1630374324,0,33554432,-1744830464,16777274,0,"[""tional to stack size.""]","","","",""
59,"AugmentLife","<white>{Add} a new <craftinglife>{Life} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR life noinfluence",[10001],-1595387557,0,16777216,1543503872,16777284,0,"[""tional to stack size.""]","","","",""
60,"AugmentDefences","<white>{Add} a new <craftingdefences>{Defence} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR defences noinfluence",[10001],-1558929918,0,50331648,1543503872,16777284,0,"[""tional to stack size.""]","","","",""
61,"AugmentChaos","<white>{Add} a new <craftingchaos>{Chaos} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR chaos noinfluence",[10001],-1523564668,0,33554432,1543503872,16777284,0,"[""tional to stack size.""]","","","",""
62,"AugmentAttack","<white>{Add} a new <craftingattack>{Attack} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR attack noinfluence",[10001],-1487873777,0,16777216,1543503872,16777284,0,"[""tional to stack size.""]","","","",""
63,"AugmentSpell","<white>{Add} a new <craftingcaster>{Caster} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR caster noinfluence",[10001],-1452220909,0,50331648,1543503872,16777284,0,"[""tional to stack size.""]","","","",""
64,"AugmentSpeed","<white>{Add} a new <craftingspeed>{Speed} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR speed noinfluence",[10001],-1416962658,0,33554432,536870912,16777294,0,"[""tional to stack size.""]","","","",""
65,"AugmentCritical","<white>{Add} a new <craftingcrit>{Critical} modifier and <white>{remove} another random modifier from a non-Influenced item",2,"remove_type_and_add_type_mod","ANY FOR critical noinfluence",[10001],-1380820926,0,50331648,536870912,16777294,0,"[""tional to stack size.""]","","","",""
66,"BossSynthesis1","<white>{Synthesise} an item, giving random Synthesised implicits. Cannot be used on Unique, Influenced, Synthesised or Fractured items",3,"add_synthesized_implicits","12 3 1",[10001],-1342252285,0,33554432,-2013265920,16777235,0,"[""tional to stack size.""]",1,"","",""
67,"BossInfluence1","<white>{Reforge} an <white>{Influenced} Rare item with random modifiers, including a <white>{Influence} modifier",3,"reroll_with_influence_mod","",[10001],-1302951481,0,50331648,-2013265920,16777235,0,"[""tional to stack size.""]",1,"","",""
