"rownum","Id","DaggerEPKFile","BowEPKFile","OneHandedMaceEPKFile","OneHandedSwordEPKFile","string","TwoHandedSwordEPKFile","TwoHandedStaffEPKFile","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","bool","bool","bool"
10,"Weapon_Yellow","","","","","","","",56527913,0,56492032,0,56492032,0,56492032,0,56492032,0,0,0,877658112,0,"","",""
11,"Weapon_Stone","","","","","","","",56524731,0,56492032,0,56492032,0,56492032,0,56492032,0,0,0,879493120,0,"","",""
12,"Weapon_Radiant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Dagger_Claw_Wand/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Bow/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Mace_1h Axe/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/1h Sword/sunpower_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/2h Sword/sunpower_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/gold/sun_power/Staff/sunpower_epk.epk",966543174,0,910032896,0,966524928,0,881590272,0,980418560,0,65536,0,1005715456,0,"","",""
13,"Weapon_Verdant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Dagger_Wand/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Bow/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Mace_1h Axe/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/1h Sword/dryad_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/2h Sword/dryad_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/dryad/Staff/dryad_epk.epk",1087956381,0,1034551296,0,1087897600,0,1101004800,0,1113718784,0,65536,0,1137836032,0,"","",""
14,"Weapon_Vampiric","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Bow/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Mace_1h Axe/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/1h Sword_Dagger_Wand/vampires_hunger_epk.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/2h Sword/vampires_hunger_epk.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/vampires_hunger/Staff/vampires_hunger_epk.epk",1219905266,0,1172701184,0,1219887104,0,1140588544,0,1235353600,0,65536,0,1261830144,0,"","",""
15,"Weapon_Heart","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheartdagger.epk","","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart1hsword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/humanheart/humanheart2hsword.epk","",56544801,0,56492032,0,56492032,0,56492032,0,56492032,0,0,0,1302986752,0,"","",""
16,"Weapon_Ivory","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_wand_dagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/specter/2h_staff.epk",1365535463,0,1377566720,0,1389363200,0,1304821760,0,56492032,0,65536,0,1413087232,0,"","",""
17,"Weapon_Regal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_daggerwand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/regal/2h_staff/2h_staff.epk",1483230361,0,1496580096,0,1509687296,0,1415446528,0,56492032,0,65536,0,1535246336,0,"","",""
18,"Weapon_Divine","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/divine/2h_staff/2h_staff.epk",1606159263,0,1619656704,0,1633157120,0,1537736704,0,56492032,0,65536,0,1658978304,0,"","",""
19,"Weapon_Exalted","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/exalted/2h_staff/2h_staff.epk",1730697306,0,1744306176,0,1757937664,0,1661599744,0,56492032,0,65536,0,1783758848,0,"","",""
20,"Weapon_Eternal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_daggerwand/1h_daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ott/2h_staff/2h_staff.epk",1852881182,0,1865940992,0,1878786048,0,1786380288,0,56492032,0,65536,0,1903558656,0,"","",""
21,"Weapon_Arctic","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/dagger_wand/1h_wanddagger.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/artic/2h_staff/2h_staff.epk",1983415322,0,1996095488,0,2008547328,0,1906049024,0,56492032,0,65536,0,2032533504,0,"","",""
22,"Weapon_Infernal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/dagger_wand/dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/red/inferno/2h_staff/2h_staff.epk",2113539739,0,2126381056,0,2138963968,0,2035286016,0,56492032,0,65536,0,-2131755008,0,"","",""
23,"Weapon_Lightning","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/claw_dagger_wand/claw_dagger_wand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/bow/bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/blue/lightning/2h_staff/2h_staff.epk",-2047303880,0,-2034106368,0,-2021130240,0,-2128871424,0,56492032,0,65536,0,-1996095488,0,"","",""
24,"Weapon_Seraph","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/wand_dagger/wand_dagger_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_bow/2h_bow_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/1h_mace/1h_mace_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/1h_sword/1h_sword_seraph.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_sword/2h_sword_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph/2h_staff/2h_staff_seraph.epk",-1913367945,0,-1900281856,0,-1887436800,0,-1874591744,0,56492032,0,65536,0,-1851260928,0,"","",""
25,"Weapon_GhostFlame","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/1h_daggerwand/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_bow/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_mace/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/1h_sword/ghostflame.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_sword/ghostflame.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/green/ghostflame/2h_staff/ghostflame.epk",-1819765981,0,-1763835904,0,-1750073344,0,-1848246272,0,56492032,0,65536,0,-1723990016,0,"","",""
26,"Weapon_SeraphBlue","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/wand_dagger/wand_dagger_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_bow/2h_bow_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/1h_mace/1h_mace_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/1h_sword/1h_sword_seraph.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_sword/2h_sword_seraph.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/seraph_blue/2h_staff/2h_staff_seraph.epk",-1636796242,0,-1623064576,0,-1609564160,0,-1596063744,0,56492032,0,65536,0,-1571422208,0,"","",""
27,"Weapon_Axiom","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ImpDemon/2h_staff/2h_staff.epk",-1485151785,0,-1471414272,0,-1457913856,0,-1444413440,0,56492032,0,65536,0,-1418854400,0,"","",""
28,"Weapon_Highgate","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ArchDemon/2h_staff/2h_staff.epk",-1331401713,0,-1317535744,0,-1303904256,0,-1290272768,0,56492032,0,65536,0,-1264451584,0,"","",""
29,"Weapon_Lunaris","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon/2h_staff/2h_staff.epk",-1180255650,0,-1166934016,0,-1153826816,0,-1140719616,0,56492032,0,65536,0,-1115947008,0,"","",""
30,"Weapon_Vaal","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Demon2/2h_staff/2h_staff.epk",-1031396528,0,-1017905152,0,-1004666880,0,-991428608,0,56492032,0,65536,0,-966393856,0,"","",""
31,"Weapon_Awakening","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/Awakening/2h_staff/2h_staff.epk",-878785888,0,-864944128,0,-851312640,0,-837681152,0,56492032,0,65536,0,-811859968,0,"","",""
32,"Weapon_Aspirant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AspirantSupporter/2h_staff/2h_staff.epk",-718117477,0,-703201280,0,-688521216,0,-673841152,0,56492032,0,65536,0,-645922816,0,"","",""
33,"Weapon_Challenger","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/ChallengerSupporter/2h_staff/2h_staff.epk",-550347784,0,-535166976,0,-520224768,0,-505282560,0,56492032,0,65536,0,-476839936,0,"","",""
34,"Weapon_Sovereign","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/SovereignSupporter/2h_staff/2h_staff.epk",-382177109,0,-367132672,0,-352321536,0,-337510400,0,56492032,0,65536,0,-309329920,0,"","",""
35,"Weapon_Ascendant","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/daggerwand/daggerwand.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/2h_bow/2h_bow.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/1h_mace/1h_mace.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/1h_sword/1h_sword.epk","","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/2h_sword/2h_sword.epk","Metadata/Effects/Microtransactions/Weapon_effects/Weapon_effects/supporter/AscendantSupporter/2h_staff/2h_staff.epk",-214672210,0,-199622656,0,-184811520,0,-170000384,0,56492032,0,65536,0,-140902400,0,"","",""
