"rownum","Id","CraftFamily","Text","Script","ScriptArgument","rid","i32","[rid]","bool","rid","i32"
41,"ExchangeGemForAwakenedGem1",8,"<white>{Exchange} a <white>{non-Exceptional Support Gem} for its <white>{Awakened} version","exchange_gem_for_awakened_gem","",33580760,0,[],"",562,1
42,"ChangeCorruptedNormalGemIntoNormalGemOfSameColor1",11,"<white>{Transform} a <white>{Corrupted Skill Gem} to be a random <white>{Corrupted Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, output_is_normal_gem, retain_exp",33630892,16777216,[],"",562,0
43,"ChangeCorruptedAlternateGemIntoAlternateGemOfSameColor1",12,"<white>{Transform} a <white>{Corrupted Transfigured Skill Gem} to be a random <white>{Corrupted Transfigured Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","input_is_corrupted, input_is_alternate_gem, retain_exp",33674276,16777216,[],"",562,0
44,"HardModeChangeNormalGemIntoNormalGemOfSameColor1",13,"<white>{Transform} a <white>{Skill Gem} to be a random <white>{Skill Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","output_is_normal_gem",55035,0,[],"",562,2
45,"HardModeChangeSupportGemIntoSupportGemOfSameColor1",14,"<white>{Transform} a <white>{Support Gem} to be a random <white>{Support Gem} of the same colour","change_gem_to_random_alternate_gem_of_same_colour","use_support_gems",30205,0,[],"",562,2
46,"HardModeAddGemQualityNormal",2,"Add +1% quality to a <white>{Gem}","use_x_gemcutter","1",16784536,0,[],"",562,2
47,"HardModeAddGemQualityCruel",2,"Add +2% quality to a <white>{Gem}","use_x_gemcutter","2",16808339,0,[],"",562,2
48,"HardModeAddGemQualityMerciless",2,"Add +3% quality to a <white>{Gem}","use_x_gemcutter","3",16790547,0,[],"",562,2
49,"HardModeAddGemQualityUber",2,"Add +5% quality to a <white>{Gem}","use_x_gemcutter","5",16833428,0,[],"",562,2
50,"HardModeAddGemExperienceCruel1",1,"Add 500k experience to a <white>{Gem}","add_experience_to_gem","500000",41848,0,[],"",562,2
51,"HardModeAddGemExperienceCruel2",1,"Add 800k experience to a <white>{Gem}","add_experience_to_gem","800000",58999,0,[],"",562,2
52,"HardModeAddGemExperienceMerciless1",1,"Add 2.4m experience to a <white>{Gem}","add_experience_to_gem","2400000",30433,0,[],"",562,2
53,"HardModeAddGemExperienceMerciless2",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",3882,0,[],"",562,2
54,"HardModeAddGemExperienceMerciless3",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",40771,0,[],"",562,2
55,"HardModeAddGemExperienceMerciless4",1,"Add 12m experience to a <white>{Gem}","add_experience_to_gem","12000000",16828976,0,[],"",562,2
56,"HardModeAddGemExperienceUber1",1,"Add 4.8m experience to a <white>{Gem}","add_experience_to_gem","4800000",55255,0,[],"",562,2
57,"HardModeAddGemExperienceUber2",1,"Add 8m experience to a <white>{Gem}","add_experience_to_gem","8000000",19694,0,[],"",562,2
58,"HardModeAddGemExperienceUber3",1,"Add 16m experience to a <white>{Gem}","add_experience_to_gem","16000000",56979,0,[],"",562,2
59,"HardModeAddGemExperienceUber4",1,"Add 24m experience to a <white>{Gem}","add_experience_to_gem","24000000",16832055,0,[],"",562,2
60,"HardModeSacrificeGemForTreasureKeys1",5,"<white>{Sacrifice} a <white>{Gem} for Treasure Keys","sacrifice_gem_for_treasure_keys","",16817860,0,[],"",563,2
