"rownum","Id","Icon_DDSFile","Stats","Stat1Value","Stat2Value","Stat3Value","Stat4Value","i32","i32","i32","i32","i32","i32","i32","string","bool","rid","bool","rid","bool","[rid]","i32","bool","bool","i32","[rid]","rid","bool","bool","i32","bool","bool","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","[rid]","i32","[rid]","bool","rid","rid"
13,"shield_mastery34","Art/2DArt/SkillIcons/passives/Sanctuary.dds","[19,2355,946]",4,4,1,0,194138464,0,0,0,195559424,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
14,"shield_block35","Art/2DArt/SkillIcons/passives/blockstr.dds","[19,22]",3,30,0,0,178392311,0,0,0,199753728,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
15,"elemental_resistance_with_shields37","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11559]",1,15,0,0,213798781,0,0,0,220725248,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
16,"elemental_resistance_with_shields38","Art/2DArt/SkillIcons/passives/ShieldAttackDamage.dds","[19,11559]",1,15,0,0,213811286,0,0,0,227672064,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
17,"sword_damage_and_accuracy45","Art/2DArt/SkillIcons/passives/accuracysword.dds","[40,92,11526]",12,8,12,0,241042215,0,0,0,244580352,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
18,"sword_damage48","Art/2DArt/SkillIcons/passives/masterysword.dds","[40,11526]",16,16,0,0,255070448,0,0,0,256901120,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
19,"smashing_strikes53","Art/2DArt/SkillIcons/passives/stunstaff.dds","[11545,2623,2412]",30,10,30,0,268618087,0,0,0,270925824,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
20,"staff_damage_and_accuracy55","Art/2DArt/SkillIcons/passives/accuracystaff.dds","[35,87,11529]",6,8,6,0,284308529,0,0,0,287834112,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
21,"staff_damage57","Art/2DArt/SkillIcons/passives/damagestaff.dds","[11545,331]",16,10,0,0,298236227,0,0,0,302383104,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
22,"staff_damage59","Art/2DArt/SkillIcons/passives/damagestaff.dds","[11545,331]",16,10,0,0,298249540,0,0,0,306577408,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
23,"mace_damage_and_reduced_enemy_stun_threshold62","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11530]",16,5,16,0,321839026,0,0,0,327811072,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
24,"mace_damage_and_reduced_enemy_stun_threshold63","Art/2DArt/SkillIcons/passives/stunmace.dds","[38,109,11530]",16,5,16,0,321819783,0,0,0,337248256,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
25,"mace_damage_and_attack_speed66","Art/2DArt/SkillIcons/passives/attackspeedmace.dds","[38,11530,433]",14,14,8,0,351303507,0,0,0,355467264,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
26,"mace_damage_and_attack_speed68","Art/2DArt/SkillIcons/passives/attackspeedmace.dds","[38,11530,433]",14,14,8,0,351288123,0,0,0,362807296,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
27,"skull_cracking71","Art/2DArt/SkillIcons/passives/skullcracking.dds","[38,109,11530]",36,12,36,0,374751551,0,0,0,376832000,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
28,"mace_damage77","Art/2DArt/SkillIcons/passives/macedmg.dds","[11546,78]",8,3,0,0,386589869,0,0,0,390463488,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
29,"mace_damage78","Art/2DArt/SkillIcons/passives/macedmg.dds","[11546,433]",10,8,0,0,351279593,0,0,0,394526720,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
30,"mace_damage79","Art/2DArt/SkillIcons/passives/macedmg.dds","[11546,433]",10,8,0,0,351297732,0,0,0,398589952,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
31,"mace_damage80","Art/2DArt/SkillIcons/passives/macedmg.dds","[38,11530,340]",16,16,20,0,403710260,0,0,0,407764992,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
32,"bone_smasher81","Art/2DArt/SkillIcons/passives/macedmg.dds","[38,433,11530]",30,15,30,0,413048517,0,0,0,414842880,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
33,"dual_wield_damage85","Art/2DArt/SkillIcons/passives/damagedualwield.dds",[11558],10,0,0,0,425393504,0,0,0,427819008,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
34,"armour87","Art/2DArt/SkillIcons/passives/increasedarmorandlife.dds","[117,124]",10,4,0,0,438713852,0,0,0,440926208,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
35,"armour_mastery89","Art/2DArt/SkillIcons/passives/SpikedBulwark.dds","[117,3538]",28,50,0,0,451815726,0,0,0,453902336,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
36,"armour90","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],14,0,0,0,462585016,0,0,0,463601664,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
37,"armour91","Art/2DArt/SkillIcons/passives/dmgreduction.dds","[117,141]",10,5,0,0,467016698,0,0,0,471465984,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
38,"armour92","Art/2DArt/SkillIcons/passives/dmgreduction.dds",[117],14,0,0,0,462614956,0,0,0,473825280,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
39,"armour93","Art/2DArt/SkillIcons/passives/dmgreduction.dds","[117,141]",10,5,0,0,467019231,0,0,0,477233152,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
40,"armour94","Art/2DArt/SkillIcons/passives/ArmourAndEnergyShieldNode.dds","[117,134]",10,4,0,0,488658345,0,0,0,492044288,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
41,"armour95","Art/2DArt/SkillIcons/passives/ArmourAndEnergyShieldNode.dds","[117,134]",10,5,0,0,488675252,0,0,0,495452160,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
42,"axe_damage_and_attack_speed97","Art/2DArt/SkillIcons/passives/attackspeedaxe.dds","[34,74,11528]",12,3,12,0,509264291,0,0,0,513015808,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
43,"axe_damage_and_attack_speed98","Art/2DArt/SkillIcons/passives/attackspeedaxe.dds","[34,74,11528]",12,3,12,0,509272673,0,0,0,520224768,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
44,"hatchet_master104","Art/2DArt/SkillIcons/passives/AxesandAttackSpeed.dds","[11544,74,3655]",24,10,20,0,532964848,0,0,0,535035904,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
45,"timberwolf105","Art/2DArt/SkillIcons/passives/fellingtheweak.dds","[34,11528,74,20629]",25,25,8,1,547772926,0,0,0,549191680,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
46,"axe_damage_and_accuracy106","Art/2DArt/SkillIcons/passives/attackspeedaxe.dds","[34,11528]",14,14,0,0,554984530,0,0,0,556531712,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
47,"axe_damage109","Art/2DArt/SkillIcons/passives/damageaxe.dds","[34,11528]",18,18,0,0,554978866,0,0,0,566493184,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
48,"axe_damage110","Art/2DArt/SkillIcons/passives/damageaxe.dds","[34,11528]",18,18,0,0,554964961,0,0,0,570556416,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
49,"axe_damage111","Art/2DArt/SkillIcons/passives/Blood2.dds",[3625],15,0,0,0,579120720,0,0,0,580911104,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
50,"strong_arm118","Art/2DArt/SkillIcons/passives/borntofight.dds","[572,26,70]",20,26,4,0,592241745,0,0,0,594149376,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
51,"one_handed_attack_speed120","Art/2DArt/SkillIcons/passives/attackspeed1h.dds",[338],3,0,0,0,605315187,0,0,0,608567296,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
52,"one_handed_accuracy122","Art/2DArt/SkillIcons/passives/onehandaccuracy.dds",[339],12,0,0,0,619451534,0,0,0,622198784,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
53,"melee_damage124","Art/2DArt/SkillIcons/passives/damage.dds",[2502],16,0,0,0,631019819,0,0,0,634126336,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
54,"melee_damage125","Art/2DArt/SkillIcons/passives/damage.dds",[2502],12,0,0,0,631032464,0,0,0,637403136,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
55,"life127","Art/2DArt/SkillIcons/passives/life1.dds",[124],5,0,0,0,645023614,0,0,0,645791744,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
56,"life129","Art/2DArt/SkillIcons/passives/life1.dds",[124],5,0,0,0,645031245,0,0,0,648019968,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
57,"maximum_endurance_charges131","Art/2DArt/SkillIcons/passives/chargestr.dds",[179],1,0,0,0,658936270,0,0,0,660078592,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
58,"maximum_endurance_charges132","Art/2DArt/SkillIcons/passives/chargestr.dds",[179],1,0,0,0,665071058,0,0,0,666501120,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
59,"maximum_endurance_charges133","Art/2DArt/SkillIcons/passives/chargestr.dds",[179],1,0,0,0,671486689,0,0,0,672530432,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
60,"reduced_mana_cost135","Art/2DArt/SkillIcons/passives/mana.dds",[128],8,0,0,0,681740378,0,0,0,682491904,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
61,"reduced_mana_cost137","Art/2DArt/SkillIcons/passives/mana.dds","[128,9799]",10,20,0,0,687513666,0,0,0,692715520,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
62,"reduced_mana_cost139","Art/2DArt/SkillIcons/passives/manastr.dds","[213,128]",3,5,0,0,703364171,0,0,0,707002368,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
63,"life_regeneration_per_endurance_charge141","Art/2DArt/SkillIcons/passives/chargestr.dds",[126],12,0,0,0,713735149,0,0,0,718929920,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
64,"life_leech142","Art/2DArt/SkillIcons/passives/lifeleech.dds","[3088,70]",40,3,0,0,728953500,0,0,0,732692480,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
65,"blood_drinker143","Art/2DArt/SkillIcons/passives/LustforCarnage.dds","[3088,70]",150,12,0,0,743765950,0,0,0,746061824,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
66,"life_gain_on_hit146","Art/2DArt/SkillIcons/passives/lifeleech.dds","[602,70]",40,3,0,0,750939799,0,0,0,755499008,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
67,"hammer_blows147","Art/2DArt/SkillIcons/passives/hammerblows.dds","[466,2412,2792]",1,40,20,0,767097739,0,0,0,768868352,0,16777216,"","",6954,"","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
68,"knockback_distance148","Art/2DArt/SkillIcons/passives/knockback.dds",[478],10,0,0,0,778831076,0,0,0,781189120,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
69,"knockback_distance149","Art/2DArt/SkillIcons/passives/knockback.dds",[401],25,0,0,0,785317808,0,0,0,787873792,0,0,"","","","","","",[],0,"","",0,[],"","","",0,"","",-33554432,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-16843010,-1359020290,0,0,0,0,0,0,0,[],0,[],"","",""
