"rownum","BaseItemTypesKey","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemTypesKey","Description","Usage_AchievementItemsKeys","Scroll","CosmeticTypeName","Possession_AchievementItemsKey","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","rid","rid","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","i32","[i32]","ShopTag","ChangedForHardmode","DescriptionHardmode","IsGold"
19,25,20,2,"add_map_quality","Right click this item then left click a map to apply it. Has greater effect on lower-rarity maps. The maximum quality is 20%.","","Improves the quality of a map",[7965],"","",1157,[2],[12],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a map to apply it. Has greater effect on lower rarity maps. The maximum quality is 20%.",100,"","",[7004],[],[],19,[],"","","",""
20,19,20,2,"reroll_socket_colours","Right click this item then left click a socketed item to apply it.","","Reforges the colour of sockets on an item",[9616],"","",1158,[21],[48],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a socketed item to apply it.",100,"","",[],[],[],19,[],"","","",""
21,20,20,2,"reroll_socket_links","Right click this item then left click a socketed item to apply it. The item's quality increases the chances of obtaining more links.","","Reforges the links between sockets on an item",[9614],"","",1159,[21],[64],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a socketed item to apply it. The item's quality increases the chances of obtaining more links.",100,"","",[],[],[],19,[],"","","",""
22,21,20,2,"reroll_socket_numbers","Right click this item then left click a socketed item to apply it. The item's quality increases the chances of obtaining more sockets.","","Reforges the number of sockets on an item",[9615],"","",1160,[11],[32],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a socketed item to apply it. The item's quality increases the chances of obtaining more sockets.",100,"","",[],[],[],19,[],"","","",""
23,22,10,2,"reroll_mod_values","Right click this item then left click a magic, rare or unique item to apply it.","","Randomises the values of the random modifiers on an item",[9622],"","",1161,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a magic, rare or unique item to apply it.",100,"","",[],[],[],19,[],"","","",""
24,23,20,2,"reroll_implicit_mod","Right click this item then left click another item to apply it.","","Randomises the values of the implicit modifiers of an item",[9621],"","",1162,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on another item to apply it.",100,"","",[],[],[],19,[],"","","",""
25,24,10,2,"reroll_variable_defences","Right click this item then left click an armour to apply it.","","Randomises the numeric values of base defences on an armour",[8415],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an armour to apply it.",100,"","",[],[],[],19,[],"","","",""
26,26,5,3,"","A stack of 5 fragments becomes a Scroll of Wisdom.",1,"",[],"","",1163,[],[],0,"A stack of 5 fragments becomes a Scroll of Wisdom.",0,"","",[],[],[],19,[],"","","",""
27,27,20,3,"","A stack of 20 shards becomes an Orb of Transmutation.",10,"",[],"","",1164,[],[],0,"A stack of 20 shards becomes an Orb of Transmutation.",0,"","",[],[],[],19,[],"","","",""
28,28,20,3,"","A stack of 20 shards becomes an Orb of Alteration.",11,"",[],"","",1165,[],[],0,"A stack of 20 shards becomes an Orb of Alteration.",0,"","",[],[],[],19,[],"","","",""
29,29,20,3,"","A stack of 20 shards becomes an Orb of Alchemy.",6,"",[],"","",1166,[],[],0,"A stack of 20 shards becomes an Orb of Alchemy.",0,"","",[],[],[],19,[],"","","",""
30,30,10,3,"","","","",[],"","","",[],[],5000,"",100,"","",[],[],[],19,[],"","","",""
31,31,10,2,"inital_imprint","Right click this item then left click on an item to create an imprint. This imprint can later be used to restore this specific item to that imprinted state.","","Creates an imprint of an item for later restoration\r\nThe imprint can't be applied to Fractured Items",[],"","",1167,[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to create an imprint. This imprint can later be used to restore this specific item to that imprinted state.",100,"","",[],[],[],19,[],"","","",""
32,32,1,2,"restore_imprint","Right click this item then left click on the imprinted original item to restore its modifiers. An imprint cannot be dropped or traded to other players.","","Restores an imprinted item onto the original\r\nCan't be applied to Fractured Items",[],"","","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on the imprinted original item to restore its modifiers. An imprint cannot be dropped or traded to other players.",0,"","",[],[],[],19,[],"","","",""
33,33,20,2,"corrupt_item","Right click this item then left click an item to corrupt it. Corrupted items cannot be modified again.","","Corrupts an item, modifying it unpredictably",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on an item to corrupt it. Corrupted items cannot be modified again.",100,"","",[],[],[],19,[],"","","",""
34,34,9,2,"labyrinth_enchant","Left click on the skull and then left click on the item you wish to modify.","","Adds an enchantment to an item, or replaces an existing enchantment",[],"","","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on the item you wish to modify.",0,"","",[],[],[],19,[],"","","",""
35,35,10,3,"","Can be placed in the Divine Font to allow enchantment of corrupted gloves, boots, helmets or belts.","","",[],"","","",[],[],5000,"",100,"","",[],[],[],19,[],"","","",""
36,36,1,2,"corrupt_item","","","",[],"","","",[],[],0,"",0,"","",[],[],[],19,[],"","","",""
37,37,1,2,"incursion_corrupt","","","",[9951],"","","",[],[],0,"",0,"","",[],[],[],19,[],"","","",""
38,38,1,2,"incursion_corrupt_gem","","","",[9951],"","","",[],[],0,"",0,"","",[],[],[],19,[],"","","",""
39,39,5000,3,"","Trade coins to Cadiro Perandus.","","",[],"","","",[],[],50000,"Trade coins to Cadiro Perandus.",0,"","",[],[],[],19,[],"","","",""
40,40,30,3,"","Cross Navali's palm with silver to receive a prophecy.","","",[],"","","",[],[],5000,"Cross Navali's palm with silver to receive a prophecy.",100,"","",[],[],[],19,[],"","","",""
41,41,1,3,"","","","",[],"","","",[],[],0,"",0,"","",[],[],[],19,[],"","","",""
42,42,10,2,"itemise_captured_monster","Right click on this item then left click on a Beast in your Menagerie to itemise the Beast.","","Stores a Beast in an item",[],"","","",[],[],5000,"You can use these to itemise beasts by interacting with the signs outside the beasts' cages in the menagerie.",0,"","",[],[],[],19,[],"","","",""
43,43,1,1,"add_captured_monster","","","",[],"","","",[],[],0,"",0,"","",[],[],[],19,[],"","","",""
44,44,10,2,"itemise_sextant_mods","Right click on this item then left click on a Voidstone to itemise an applied Sextant Modifier.","","Stores a Sextant Modifier in an item",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Voidstone to itemise an applied Sextant Modifier.",0,"","",[],[],[],19,[],"","","",""
45,45,1,2,"restore_sextant_mods","Right click on this item then left click on a Voidstone to apply the itemised Sextant Modifier to the Voidstone.","","",[],"","","",[],[],0,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Voidstone to apply the itemised Sextant Modifier to the Voidstone.",0,"","",[],[],[],19,[],"","","",""
46,46,20,2,"reroll_skill_quality_type","Right click this item then left click a skill gem to apply it.","","Change the type of quality of a skill gem with quality to another random quality",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a gem to apply it. The maximum quality is 20%.",0,"","",[],[],[],19,[],"","","",""
47,47,20,2,"reroll_support_quality_type","Right click this item then left click a support gem to apply it.","","Change the type of quality of a support gem with quality to another random quality",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a gem to apply it. The maximum quality is 20%.",0,"","",[],[],[],19,[],"","","",""
48,48,20,2,"heist_weapon_enchant","Right click this item then left click on the item you wish to modify.","","Adds or replaces an enchantment on a weapon\r\nThis may reforge the weapon's sockets",[10000],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on the item you wish to modify.",0,"","",[],[],[],19,[],"","","",""
49,49,20,2,"heist_armour_enchant","Right click this item then left click on the item you wish to modify.","","Adds or replaces an enchantment on a body armour\r\nThis may reforge the body armour's sockets",[10000],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on the item you wish to modify.",0,"","",[],[],[],19,[],"","","",""
50,50,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Currency Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
51,51,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Unique Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
52,52,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Gems reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
53,53,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Weapons reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
54,54,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Armour reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
55,55,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Map Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
56,56,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Trinkets reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
57,57,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Abyss Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
58,58,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Expedition Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
59,59,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Harbinger Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
60,60,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Breach Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
61,61,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Essences reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
62,62,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Fragments reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
63,63,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Scarabs reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
64,64,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Fossils reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
65,65,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Currency Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
66,66,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Divination Cards reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
67,67,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Generic Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
68,68,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Talismans reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
69,69,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Labyrinth Items reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
70,70,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Legion reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
71,71,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Blight reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
72,72,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium with the Ultimatum reward type",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
73,73,10,2,"apply_affliction_reward","Right click this item then left click a Map item to apply it. Can apply up to 5 to a single Map item.","","Modifies a Map item adding layers of Delirium",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a Map item to apply it. Can apply up to 5 to a single Map item.",100,"","",[],[],[],19,[],"","","",""
74,186,10,6,"downgrade_atlas_map","Right click this item then left click a shaped map on the atlas to downgrade it. You can then earn the Shaper's Orb again to reshape another map afterwards.","","Downgrades a map on the Atlas",[],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a shaped map on the atlas to downgrade it. You can then earn the Shaper's Orb again to reshape another map afterwards.",0,"","",[],[],[],19,[],"","","",""
75,74,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
76,75,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
77,76,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
78,77,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
79,78,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
80,79,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
81,80,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
82,81,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
83,82,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
84,83,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
85,84,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
86,85,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
87,86,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
88,87,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
89,88,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
90,89,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
91,90,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
92,91,9,2,"use_essence","Right click this item then left click a normal item to apply it.","","Upgrades a normal item to rare with one guaranteed property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal item to apply it.",0,"","",[],[],[],19,[],"","","",""
93,92,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
94,93,9,2,"use_high_essence","Right click this item then left click a normal or rare item to apply it.","","Upgrades a normal item to rare or reforges a rare item, guaranteeing one property",[7719],"","","",[],[],5000,"<<xbox_button_a>> to select, then <<xbox_button_a>> on a normal or rare item to apply it.",0,"","",[],[],[],19,[],"",1,"Upgrades a normal item to rare with one guaranteed property",""
