"rownum","NPCKey","i32","DialogueOption","[i32]","[i32]","[i32]","Script","TextAudio","Category","QuestRewardOffersKey","QuestFlag","NPCTextAudioKeys","Script2","bool","bool","[i32]","[i32]","i32","[i32]","i32","bool","rid","i32","bool","DialogueOption2","rid","rid","string","i32","i32","i32","i32","rid","i32"
150,11,9,"Helena",[243],[108],[110],"",110,5,"",110,[138],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,11784,0,52,"",0
151,11,10,"Helena",[108],[],[344],"","",3,"",344,[139],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,11832,0,52,"",0
152,11,11,"Blackguard Reward",[110],[108],[107],"",107,6,13,71,[],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,11918,0,52,"",0
153,11,12,"Chamber of Sins",[97],"[98,0]",[345],"","",3,"",345,[140],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,11998,0,52,"",0
154,11,13,"Bandit Lords",[53],[122],[346],"","",3,"",346,[141],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12062,0,52,"",0
155,11,14,"Bandit Lords",[122],[],[364],"","",3,"",364,[142],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12110,0,52,"",0
156,11,15,"The Darkness",[88],[85],[237],"",237,3,"",237,[143],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12174,0,52,"",0
157,11,16,"The Light",[85],[],[420],"",420,3,"",420,[144],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12222,0,52,"",0
158,11,17,"Purchase Items",[],[],[],"","",24,"",71,[],"","","",[],[],1323,[],1323,"","",2,"","",1,"","",0,12222,0,52,"",0
159,11,18,"Sell Items",[],[],[],"","",25,"",71,[],"","","",[],[],1323,[],1323,"","",1,"","",0,"","",0,12222,0,52,"",0
160,11,19,"Join PvP",[],[],[],"","",29,"",71,[],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,12242,0,52,"",0
161,4,0,"Introduction",[],[],[62],"",62,5,"",62,[145],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,12274,0,52,"",0
162,4,1,"Marooned",[],[],[349],"triggerer.SetQuestFlag(\""a1q6-ReceivedQuest\"");\r\ntriggerer.ClearQuestFlag(\""a1q6-DeliveredAllFlame\"");",45,5,"",349,[146],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,12526,0,52,"",0
163,4,2,"The Allflame",[],[],[350],"","",3,"",350,[147],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12586,0,52,"",0
164,4,3,"The Real Fairgraves",[68],[],[351],"","",3,"",351,[148],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12676,0,52,"",0
165,4,4,"Merveil",[],[9],[67],"","",3,"",67,[149],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12724,0,52,"",0
166,4,5,"Merveil's Necklace",[67],[],[352],"","",3,"",352,[150],"",1,"",[],[],1323,[],1323,"","",4,"","","","","",0,12812,0,52,"",0
167,4,6,"Thank You",[61],[],[63],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",63,5,"",63,[151],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,13262,0,52,"",0
168,4,7,"Thank You",[63],"[47,0]",[],"Transition(); ForEachInRange( 100, { IfVarietyContains( Metadata/Monsters/Skeletons/SkeletonBossFairgraves, { Transition(); } ); } ); triggerer.SetSessionQuestFlag(\""a1q6-FairgravesAggro\"");",47,5,"",71,[152],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,13326,0,52,"",0
169,4,8,"Allflame Reward",[71],[47],[],"triggerer.FinishNPCChat(); ForEachInRange( 100, { IfVarietyContains( Fairgraves, { Transition(); } ); } );",47,5,"",71,[],"","","",[],[],1323,[],1323,"","",4,"","","","","",0,13608,0,52,"",0
