"rownum","Id","Name","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description","i32","[i32]","[i32]","[i32]"
18,"Azurite3_1","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite",0,[0],[0],[0]
19,"Azurite3_2","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite",0,[0],[0],[0]
20,"Azurite3_3","Azurite Fissure",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/AzuriteVeinIII",[],[2],[35],"Contains Azurite",0,[0],[0],[0]
21,"FungalCavernsFossil","Haunted Tomb",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
22,"PetrifiedForestFossil","Stonewood Hollow",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
23,"AbyssalDepthsFossil","Crystal Spire",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
24,"FrozenHollowFossil","Time-Lost Cavern",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
25,"MagmaFissureFossil","Molten Cavity",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
26,"SulphurVentsFossil","Humid Fissure",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[4],[35],"Contains Fossils",0,[0],[0],[0]
27,"WolvesGeneric","Howling Den",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
28,"WolvesArmour","Howling Den",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
29,"WolvesWeapon","Howling Den",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
30,"WolvesTrinkets","Howling Den",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
31,"WolvesGems","Howling Den",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
32,"WolvesCurrency","Howling Den",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
33,"ExilesArmour","Smuggler's Stash",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
34,"ExilesWeapon","Smuggler's Stash",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
35,"ExilesMaps","Smuggler's Stash",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
36,"ExilesFossils","Smuggler's Stash",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fossil",[],[2],[15],"Contains Fossils",0,[0],[0],[0]
37,"IceGolemGeneric","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
38,"IceGolemGems","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
39,"IceGolemCold","Restless Rubble",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Cold",[],[2],[50],"Contains Cold Items",0,[0],[0],[0]
40,"FireGolemGeneric","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
41,"FireGolemGems","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
42,"FireGolemFire","Restless Rubble",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fire",[],[2],[50],"Contains Fire Items",0,[0],[0],[0]
43,"MantleHellionsGeneric","Sweltering Burrow",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
44,"MantleHellionsArmour","Sweltering Burrow",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
45,"MantleHellionsWeapon","Sweltering Burrow",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
46,"MantleHellionsTrinkets","Sweltering Burrow",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
47,"MantleHellionsCurrency","Sweltering Burrow",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
48,"MantleHellionsFire","Sweltering Burrow",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Fire",[],[2],[50],"Contains Fire Items",0,[0],[0],[0]
49,"MantleCampsiteGeneric","Singed Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
50,"MantleCampsiteArmour","Singed Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
51,"MantleCampsiteWeapon","Singed Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
52,"MantleCampsiteTrinkets","Singed Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
53,"MantleCampsiteCurrency","Singed Camp",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
54,"MantleCampsiteMaps","Singed Camp",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
55,"MantleSkeletonGeneric","Smoldering Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
56,"MantleSkeletonArmour","Smoldering Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
57,"MantleSkeletonWeapon","Smoldering Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
58,"MantleSkeletonTrinkets","Smoldering Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
59,"MantleSkeletonGems","Smoldering Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
60,"MantleSkeletonCurrency","Smoldering Grave",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
61,"MantleSkeletonMaps","Smoldering Grave",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
62,"VaalChamberTier0","Ruined Chamber",[100],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[],[],"Contents Unknown",0,[],[0],[]
63,"VaalChamberTier1","Ruined Chamber",[100],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[1],[],"Contents Unknown",0,[],[0],[0]
64,"VaalChamberTier2","Ruined Chamber",[25000],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[2],[],"Contents Unknown",0,[],[0],[0]
65,"VaalChamberTier3","Ruined Chamber",[5000],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[3],[],"Contents Unknown",0,[],[0],[0]
66,"VaalChamberTier4","Ruined Chamber",[1],399,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/VaalCity",[],[4],[],"Contents Unknown",0,[],[0],[0]
67,"ProtoVaalChamberTier0","Primeval Chamber",[100],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[],[],"Contents Unknown",0,[],[0],[]
68,"ProtoVaalChamberTier1","Primeval Chamber",[100],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[1],[],"Contents Unknown",0,[],[0],[0]
69,"ProtoVaalChamberTier2","Primeval Chamber",[75000],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[2],[],"Contents Unknown",0,[],[0],[0]
70,"ProtoVaalChamberTier3","Primeval Chamber",[10000],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[3],[],"Contents Unknown",0,[],[0],[0]
71,"ProtoVaalChamberTier4","Primeval Chamber",[1],400,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/ProtoVaalCity",[],[4],[],"Contents Unknown",0,[],[0],[0]
72,"AbyssalChamberTier0","Abyssal Chamber",[100],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[],[],"Contents Unknown",0,[],[0],[]
73,"AbyssalChamberTier1","Abyssal Chamber",[100],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[1],[],"Contents Unknown",0,[],[0],[0]
74,"AbyssalChamberTier2","Abyssal Chamber",[42500],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[2],[],"Contents Unknown",0,[],[0],[0]
75,"AbyssalChamberTier3","Abyssal Chamber",[7500],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[3],[],"Contents Unknown",0,[],[0],[0]
76,"AbyssalChamberTier4","Abyssal Chamber",[1],401,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/AbyssalCity",[],[4],[],"Contents Unknown",0,[],[0],[0]
77,"AbyssalBoss","The Lich's Tomb",[13500],397,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossAbyss",[],[2],[90],"Contents Unknown",1,[0],[0],[0]
78,"ProtoVaalBoss","The Crystal King's Throne",[20000],398,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossProtoVaal",[],[2],[130],"Contents Unknown",1,[0],[0],[0]
79,"VaalBoss","The Grand Architect's Temple",[8000],396,"Art/2DArt/UIImages/InGame/Delve/MapEncounters/BossVaalCity",[],[2],[50],"Contents Unknown",1,[0],[0],[0]
80,"MantleFireWarbands1","Redblade Retreat",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandFire",[],[2],[50],"Contains Fire Items",0,[0],[0],[0]
81,"MantleFireWarbands2","Redblade Base",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandFire",[],[2],[35],"Contains Fire Items",0,[0],[0],[0]
82,"IceCavesColdWarbands1","Mutewind Retreat",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandCold",[],[2],[50],"Contains Cold Items",0,[0],[0],[0]
83,"IceCavesColdWarbands2","Mutewind Base",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandCold",[],[2],[35],"Contains Cold Items",0,[0],[0],[0]
84,"IceCavesEssence1","Frigid Recess",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/EssenceEncounter",[],[2],[],"Contains Essences",0,[],[0],[0]
85,"IceCavesPiratesGeneric","Frigid Recess",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
86,"IceCavesPiratesArmour","Frigid Recess",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
87,"IceCavesPiratesWeapon","Frigid Recess",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
88,"IceCavesPiratesTrinkets","Frigid Recess",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
89,"IceCavesPiratesCurrency","Frigid Recess",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
90,"IceCavesPiratesCold","Frigid Recess",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Cold",[],[2],[50],"Contains Cold Items",0,[0],[0],[0]
91,"IceCavesCampsiteGeneric","Inhospitable Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
92,"IceCavesCampsiteArmour","Inhospitable Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
93,"IceCavesCampsiteWeapon","Inhospitable Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
94,"IceCavesCampsiteTrinkets","Inhospitable Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
95,"IceCavesCampsiteCurrency","Inhospitable Camp",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
96,"IceCavesCampsiteMaps","Inhospitable Camp",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
97,"IceCavesSkeletonGeneric","Frozen Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
98,"IceCavesSkeletonArmour","Frozen Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
99,"IceCavesSkeletonWeapon","Frozen Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
100,"IceCavesSkeletonTrinkets","Frozen Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
101,"IceCavesSkeletonGems","Frozen Grave",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
102,"IceCavesSkeletonCurrency","Frozen Grave",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
103,"IceCavesSkeletonMaps","Frozen Grave",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
104,"SulphurLightningWarbands1","Brinerot Retreat",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandLightning",[],[2],[50],"Contains Lightning Items",0,[0],[0],[0]
105,"SulphurLightningWarbands2","Brinerot Base",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandLightning",[],[2],[35],"Contains Lightning Items",0,[0],[0],[0]
106,"SulphurCrabsGeneric","Humid Hive",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
107,"SulphurCrabsArmour","Humid Hive",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
108,"SulphurCrabsWeapon","Humid Hive",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
109,"SulphurCrabsTrinkets","Humid Hive",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
110,"SulphurCrabsCurrency","Humid Hive",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
111,"SulphurCampsiteGeneric","Wretched Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
112,"SulphurCampsiteArmour","Wretched Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
113,"SulphurCampsiteWeapon","Wretched Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
114,"SulphurCampsiteTrinkets","Wretched Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
115,"SulphurCampsiteCurrency","Wretched Camp",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
116,"SulphurCampsiteMaps","Wretched Camp",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
117,"SulphurSandTrinkets","Dust Vents",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
118,"SulphurSandCurrency","Dust Vents",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
119,"SulphurSandMaps","Dust Vents",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps",0,[0],[0],[0]
120,"LightningGolemsGeneric","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
121,"LightningGolemsGems","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
122,"LightningGolemsLightning","Restless Rubble",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Lightning",[],[2],[50],"Contains Lightning Items",0,[0],[0],[0]
123,"CavernsChaosWarbands1","Renegade Camp",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/WarbandChaos",[],[2],[35],"Contains Chaos Items",0,[0],[0],[0]
124,"MineSandTrinkets","Dusty Chamber",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
125,"MineSandCurrency","Dusty Chamber",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
126,"MineAnimatedWeapon","Ringing Cavern",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
127,"MineAnimatedArmour","Ringing Cavern",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
128,"MineSkeletonGeneric","Buried Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
129,"MineSkeletonArmour","Buried Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
130,"MineSkeletonWeapon","Buried Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
131,"MineSkeletonTrinkets","Buried Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
132,"MineSkeletonGems","Buried Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
133,"MineSkeletonCurrency","Buried Camp",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
134,"MineRockGolemGeneric","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
135,"MineRockGolemGems","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
136,"MineChaosGolemGeneric","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
137,"MineChaosGolemGems","Restless Rubble",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
138,"MineAmplifierGeneric","Abandoned Amplifier",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
139,"MineAmplifierArmour","Abandoned Amplifier",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
140,"MineAmplifierWeapons","Abandoned Amplifier",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
141,"MineAmplifierTrinkets","Abandoned Amplifier",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
142,"MineAmplifierGems","Abandoned Amplifier",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems",0,[],[0],[0]
143,"MineAmplifierCurrency","Abandoned Amplifier",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
144,"MineSpiderGeneric","Webbed Mineshaft",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
145,"MineSpiderTrinkets","Webbed Mineshaft",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
146,"MineSpiderCurrency","Webbed Mineshaft",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
147,"MineCampsiteGeneric","Abandoned Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
148,"MineCampsiteArmour","Abandoned Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
149,"MineCampsiteWeapon","Abandoned Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
150,"MineCampsiteTrinkets","Abandoned Camp",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
151,"MineCampsiteCurrency","Abandoned Camp",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
152,"Beyond","Pulsating Grotto",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Beyond",[],[2],[10],"Contains Monsters from Beyond",0,[0],[0],[0]
153,"ForestRhoaGeneric","Nesting Grounds",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items",0,[],[0],[0]
154,"ForestRhoaArmour","Nesting Grounds",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour",0,[],[0],[0]
155,"ForestRhoaWeapon","Nesting Grounds",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons",0,[],[0],[0]
156,"ForestRhoaTrinkets","Nesting Grounds",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery",0,[],[0],[0]
157,"ForestRhoaCurrency","Nesting Grounds",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency",0,[],[0],[0]
158,"ForestRhoaBlood","Nesting Grounds",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Blood",[],[2],[50],"Contains Physical Items",0,[0],[0],[0]
