"rownum","Id","MonsterVarietiesKey","Buff_BuffDefinitionsKey","Buff_StatValues","OTFile"
54,"PowerPylonsEndgame_EleWeakness",4720,"",[],""
55,"PowerPylonsEndgame_Vulnerability2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonVulnerabilityDoodad.ot"
56,"PowerPylonsEndgame_TempChains2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonTempChainsDoodad.ot"
57,"PowerPylonsEndgame_EleWeakness2","",650,"[500,667]","Metadata/Terrain/Labyrinth/Objects/PowerPylons/BossPylonEleWeaknessDoodad.ot"
58,"ElementalNormal_Fire",1079,614,[20],""
59,"ElementalNormal_Cold",1080,616,[20],""
60,"ElementalNormal_Lightning",1081,618,[20],""
61,"ElementalNormal_Fire2",1082,615,"[20,500,667]",""
62,"ElementalNormal_Cold2",1083,617,"[20,500,667]",""
63,"ElementalNormal_Lightning2",1084,619,"[20,500,667]",""
64,"ElementalCruel_Fire",1079,614,[30],""
65,"ElementalCruel_Cold",1080,616,[30],""
66,"ElementalCruel_Lightning",1081,618,[30],""
67,"ElementalCruel_Fire2",1082,615,"[30,500,667]",""
68,"ElementalCruel_Cold2",1083,617,"[30,500,667]",""
69,"ElementalCruel_Lightning2",1084,619,"[30,500,667]",""
70,"ElementalMerciless_Fire",1079,614,[40],""
71,"ElementalMerciless_Cold",1080,616,[40],""
72,"ElementalMerciless_Lightning",1081,618,[40],""
73,"ElementalMerciless_Fire2",1082,615,"[40,500,667]",""
74,"ElementalMerciless_Cold2",1083,617,"[40,500,667]",""
75,"ElementalMerciless_Lightning2",1084,619,"[40,500,667]",""
76,"ElementalEndgame_Fire",1079,614,[60],""
77,"ElementalEndgame_Cold",1080,616,[60],""
78,"ElementalEndgame_Lightning",1081,618,[60],""
79,"ElementalEndgame_Fire2",1082,615,"[60,500,667]",""
80,"ElementalEndgame_Cold2",1083,617,"[60,500,667]",""
81,"ElementalEndgame_Lightning2",1084,619,"[60,500,667]",""
82,"PortalSummon1_Fire",4732,"",[],""
83,"PortalSummon1_Cold",4733,"",[],""
84,"PortalSummon1_Lightning",4734,"",[],""
85,"PortalSummon2_Fire",4735,650,"[500,667]",""
86,"PortalSummon2_Cold",4736,650,"[500,667]",""
87,"PortalSummon2_Lightning",4737,650,"[500,667]",""
88,"GargoylesNormal_Fire",4724,633,[-20],""
89,"GargoylesNormal_Cold",4723,631,"[20,20]",""
90,"GargoylesNormal_Lightning",4722,629,[12],""
91,"GargoylesNormal_Fire2",4727,634,"[-20,500,667]",""
92,"GargoylesNormal_Cold2",4726,632,"[20,20,500,667]",""
93,"GargoylesNormal_Lightning2",4725,630,"[12,500,667]",""
94,"GargoylesCruel_Fire",4724,633,[-20],""
95,"GargoylesCruel_Cold",4723,631,"[20,20]",""
96,"GargoylesCruel_Lightning",4722,629,[20],""
97,"GargoylesCruel_Fire2",4727,634,"[-20,500,667]",""
98,"GargoylesCruel_Cold2",4726,632,"[20,20,500,667]",""
99,"GargoylesCruel_Lightning2",4725,630,"[20,500,667]",""
100,"GargoylesMerciless_Fire",4724,633,[-20],""
101,"GargoylesMerciless_Cold",4723,631,"[20,20]",""
102,"GargoylesMerciless_Lightning",4722,629,[20],""
103,"GargoylesMerciless_Fire2",4727,634,"[-20,500,667]",""
104,"GargoylesMerciless_Cold2",4726,632,"[20,20,500,667]",""
105,"GargoylesMerciless_LIghtning2",4725,630,"[20,500,667]",""
106,"GargoylesEndgame_Fire",4724,633,[-25],""
107,"GargoylesEndgame_Cold",4723,631,"[30,30]",""
108,"GargoylesEndgame_Lightning",4722,629,[20],""
109,"GargoylesEndgame_Fire2",4727,634,"[-25,500,667]",""
110,"GargoylesEndgame_Cold2",4726,632,"[30,30,500,667]",""
111,"GargoylesEndgame_Lightning2",4725,630,"[20,500,667]",""
112,"ChronoStatues1_1",4738,"",[],""
113,"ChronoStatues1_2",4739,"",[],""
114,"ChronoStatues1_3",4740,"",[],""
115,"ChronoStatues2_1",4741,650,"[500,667]",""
116,"ChronoStatues2_2",4742,650,"[500,667]",""
117,"ChronoStatues2_3",4743,650,"[500,667]",""
118,"Pedestals1_1",4744,639,[10],""
119,"Pedestals1_2",4745,637,[25],""
120,"Pedestals1_3",4746,635,[10],""
121,"Pedestals2_1","",640,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad1.ot"
122,"Pedestals2_2","",638,"[50,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad2.ot"
123,"Pedestals2_3","",636,"[20,500,400,800,466,600,1134]","Metadata/Terrain/Labyrinth/Objects/ToggleStatues/StatueDoodad3.ot"
