"rownum","Id","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32","i32"
10,"SideAreaEarly",5,0,0,0,0,0,0,4,0,0,1,16,4,0,204,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
11,"SideArea",5,0,0,0,10,0,10,10,0,0,1,16,4,0,204,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
12,"MapSideAreaEarly",5,0,0,0,0,0,16,20,0,0,1,16,4,0,204,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
13,"MapSideArea",5,0,0,0,10,0,16,20,0,0,1,16,4,0,204,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0
14,"1_1_2",0,0,60,0,0,0,0,0,100,20,0,0,4,0,412,0,0,0,80,20,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
15,"1_1_2a",0,0,30,0,0,0,0,0,100,25,0,0,4,0,412,0,0,0,40,20,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,100,100,100,0,0
16,"1_1_3",0,10,60,15,0,0,0,0,100,30,0,0,4,0,412,0,20,0,80,20,0,100,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
17,"1_1_3a",0,0,30,15,0,0,0,0,100,35,0,0,4,0,412,0,0,0,40,20,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,100,100,100,0,0
18,"1_1_4_0",0,10,60,15,0,0,0,0,100,40,0,0,4,0,492,0,20,0,80,20,0,0,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
19,"1_1_4_1",0,15,60,15,0,0,0,0,100,50,0,0,4,0,492,0,20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
20,"1_1_5",0,40,60,15,0,0,0,0,100,50,0,0,4,0,492,0,15,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
21,"1_1_6",0,50,60,15,0,0,0,0,100,40,0,0,4,0,492,0,20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
22,"1_1_7_1",0,0,60,15,0,0,0,0,100,35,1,20,4,0,492,0,20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
23,"1_1_7_2",0,0,60,15,0,0,0,0,100,30,2,30,4,0,492,0,20,0,80,20,0,100,0,0,0,13,0,0,0,92,0,0,0,0,0,0,0,100,0,100,100,100,20,100
24,"1_1_8",0,80,60,15,0,0,0,0,100,30,2,20,4,0,492,0,20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20,100
25,"1_1_9",5,40,60,15,0,0,0,0,100,30,2,20,4,0,492,0,20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20,100
26,"1_1_9a",5,0,30,15,0,0,0,0,100,30,2,20,4,0,492,0,20,0,40,20,0,100,0,0,0,6,0,0,0,40,6,0,0,0,0,0,0,100,0,100,100,100,20,100
27,"1_1_11_1",5,35,60,15,0,0,0,10,100,30,2,20,4,0,492,0,20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20,100
28,"1_1_11_2",5,35,60,15,0,0,0,10,100,30,2,20,4,0,492,0,20,0,80,20,0,100,0,0,0,13,10,0,0,80,6,0,0,0,0,0,0,100,0,100,100,100,20,100
29,"1_2_town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,"1_2_1",5,0,30,15,0,0,0,10,100,30,0,0,4,0,708,0,0,0,40,20,0,100,0,0,0,6,0,0,0,38,8,0,0,0,0,0,0,100,0,100,100,100,18,100
31,"1_2_2",5,40,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
32,"1_2_2a",5,0,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
33,"1_2_3",5,35,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
34,"1_2_5_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
35,"1_2_5_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
36,"1_2_6_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
37,"1_2_6_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
38,"1_2_4",5,35,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
39,"1_2_7",5,35,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
40,"1_2_8",5,40,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
41,"1_2_9",5,100,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
42,"1_2_10",5,30,60,15,30,12,10,10,100,30,2,30,4,0,708,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
43,"1_2_11",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
44,"1_2_12",5,35,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
45,"1_2_13",5,50,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,0,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
46,"1_2_14_2",5,35,60,15,30,12,10,10,100,30,1,30,4,0,204,0,10,0,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
47,"1_2_14_3",5,0,60,15,30,12,10,10,100,30,1,30,4,0,204,0,7,0,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
48,"1_2_15",5,40,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,76,8,0,0,0,0,0,0,100,0,100,100,100,18,100
49,"1_3_town",0,0,0,0,0,0,0,0,0,0,0,0,4,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"1_3_1",5,0,30,15,14,0,10,10,100,30,2,30,4,0,204,0,0,0,40,20,0,100,0,0,0,6,0,0,0,36,15,0,0,0,0,0,0,100,0,100,100,100,16,100
51,"1_3_2",5,35,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
52,"1_3_3_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
53,"1_3_5",5,35,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
54,"1_3_6",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
55,"1_3_7",5,10,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
56,"1_3_8_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
57,"1_3_8_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
58,"1_3_9",5,10,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
59,"1_3_10_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
60,"1_3_13",5,10,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
61,"1_3_14_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
62,"1_3_14_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
63,"1_3_15",5,60,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
64,"1_3_17_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
65,"1_3_17_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
66,"1_3_18_1",5,0,60,15,30,12,10,10,100,30,1,20,4,0,204,0,7,0,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
67,"1_3_18_2",5,0,60,15,30,12,10,10,100,30,1,20,4,0,204,0,7,0,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
68,"1_4_town",0,0,0,0,0,0,0,0,0,0,0,0,4,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,"1_4_1",5,0,45,15,14,0,10,10,100,30,1,20,4,0,204,0,0,0,60,20,0,100,0,0,0,10,0,0,0,54,15,0,0,0,0,0,0,100,0,100,100,100,16,100
70,"1_4_2",5,100,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
71,"1_4_3_1",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
72,"1_4_3_2",5,10,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
73,"1_4_3_3",5,10,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
74,"1_4_4_1",5,35,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
75,"1_4_4_3",5,35,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
76,"1_4_5_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
77,"1_4_5_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
78,"1_4_6_1",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
79,"1_4_6_2",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
80,"1_4_6_3",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
81,"1_4_7",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
82,"1_5_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
83,"1_5_town",0,0,0,0,0,0,0,0,0,0,0,0,4,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,"1_5_2",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
85,"1_5_3",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
86,"1_5_3b",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
87,"1_5_4",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,0,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
88,"1_5_4b",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
89,"1_5_5",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
90,"1_5_6",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
91,"1_5_7",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
92,"1_5_8",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,0,0,0,0,0,0,100,0,100,100,100,16,100
93,"2_6_town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,"2_6_1",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100,100,100,12,100
95,"2_6_2",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100,100,100,12,100
96,"2_6_3",5,0,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,15,0,100,15,100,100,100,12,100
97,"2_6_4",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
98,"2_6_5",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
99,"2_6_6",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
100,"2_6_7_1",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
101,"2_6_7_2",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
102,"2_6_8",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
103,"2_6_9",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
104,"2_6_10",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
105,"2_6_11",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
106,"2_6_12",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
107,"2_6_13",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
108,"2_6_14",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
109,"2_6_15",5,20,60,15,30,12,10,10,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,10,0,13,10,0,0,72,15,10,0,0,0,12,0,100,15,100,100,100,12,100
110,"2_7_town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,"2_7_1",5,35,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
112,"2_7_2",5,35,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
113,"2_7_3",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
114,"2_7_4",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
115,"2_7_5_1",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
116,"2_7_5_2",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
117,"2_7_5_map",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
118,"2_7_6",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
119,"2_7_7",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
120,"2_7_8",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
121,"2_7_9",5,50,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
122,"2_7_10",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
123,"2_7_11",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
124,"2_7_12_1",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
125,"2_7_12_2",5,40,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
126,"2_8_1",5,0,60,15,30,12,10,11,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,14,100,100,100,12,100
127,"2_8_town",0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,"2_8_2_1",5,0,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
129,"2_8_2_2",5,0,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
130,"2_8_3",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
131,"2_8_4",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
132,"2_8_5",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
133,"2_8_6",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
134,"2_8_7_1_",5,0,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
135,"2_8_7_2",5,0,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
136,"2_8_8",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
137,"2_8_9",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
138,"2_8_10",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
139,"2_8_11",5,20,60,15,30,12,10,12,100,30,2,30,4,0,204,0,20,10,80,20,0,100,0,9,0,13,10,0,0,72,15,10,0,0,0,12,0,100,13,100,100,100,12,100
