"rownum","Id","ARMFiles","Script","[rid]","Stats","StatsValues","Description","Name","Type","WorldArea","Icon","i32","MinLevel","rid","bool","ExtraStats","ExtraStatsValues","ReminderText","TextAudio"
10,"Fire1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Karui Soldiers","Reflection of Flame",3,1771,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,34,8,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
11,"Fire1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat packs of Bandits","Reflection of Flame",3,1772,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,16,8,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
12,"Fire1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire.arm""]","",[],[],[],"Defeat waves of Solar Elementals","Reflection of Flame",3,1773,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",1,42,8,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
13,"Fire3_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire3_warbands.arm""]","",[],[],[],"Defeat Redblade Warbands","Reflection of Camaraderie",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",3,46,8,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
14,"Fire3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire3_exiles.arm""]","",[],[],[],"Defeat Fire-themed Rogue Exiles","Reflection of Conflict",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",3,46,8,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
15,"Fire3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in flame","Reflection of Power",3,1768,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",3,68,8,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
16,"Fire4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_fire4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in flame","Reflection of Tyranny",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconFire",4,68,8,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
17,"Cold1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Sea Witches","Reflection of Frost",3,1774,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,12,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
18,"Cold1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Crabs","Reflection of Frost",3,1775,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,1,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
19,"Cold1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Glacial Goatmen","Reflection of Frost",3,1776,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,40,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
20,"Cold1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Brine Vassals","Reflection of Frost",3,1777,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,50,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
21,"Cold1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Lunaris Zealots","Reflection of Frost",3,1778,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,60,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
22,"Cold1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold.arm""]","",[],[],[],"Defeat packs of Chilled Undead","Reflection of Frost",3,1779,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",1,16,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
23,"Cold3_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold3_warbands.arm""]","",[],[],[],"Defeat Brinerot Warbands","Reflection of Camaraderie",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",3,46,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
24,"Cold3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold3_exiles.arm""]","",[],[],[],"Defeat Cold-themed Rogue Exiles","Reflection of Conflict",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",3,46,9,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
25,"Cold3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in frost","Reflection of Power",3,1774,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",3,68,9,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
26,"Cold4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_cold4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in frost","Reflection of Tyranny",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconCold",4,68,9,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
27,"Lightning1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Electrified Undead","Reflection of the Storm",3,1780,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,16,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
28,"Lightning1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Spectral Pirates","Reflection of the Storm",3,1785,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,10,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
29,"Lightning1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Undying","Reflection of the Storm",3,1781,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,26,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
30,"Lightning1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Holy Templars","Reflection of the Storm",3,1784,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,50,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
31,"Lightning1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Sand Leapers","Reflection of the Storm",3,1783,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,5,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
32,"Lightning1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning.arm""]","",[],[],[],"Defeat packs of Shavronne's Toys","Reflection of the Storm",3,1782,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",1,47,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
33,"Lightning3_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_warbands.arm""]","",[],[],[],"Defeat Mutewind Warbands","Reflection of Camaraderie",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,46,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
34,"Lightning3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_exiles.arm""]","",[],[],[],"Defeat Lightning-themed Rogue Exiles","Reflection of Conflict",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,46,10,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
35,"Lightning3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in lightning","Reflection of Power",3,1782,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",3,68,10,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
36,"Lightning4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_lightning4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in lightning","Reflection of Tyranny",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLightning",4,68,10,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
37,"Physical1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Beasts","Reflection of Brutality",3,1791,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,15,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
38,"Physical1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of the Skeletons","Reflection of Brutality",3,1787,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,1,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
39,"Physical1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Monkeys","Reflection of Brutality",3,1786,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,6,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
40,"Physical1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Desert Creatures","Reflection of Brutality",3,1790,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,38,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
41,"Physical1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Piety's Miscreations","Reflection of Brutality",3,1788,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,60,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
42,"Physical1_6","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical.arm""]","",[],[],[],"Defeat packs of Blackguards","Reflection of Brutality",3,1789,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",1,40,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
43,"Physical3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical3_exiles.arm""]","",[],[],[],"Defeat Physical-themed Rogue Exiles","Reflection of Conflict",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",3,46,11,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
44,"Physical3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in blood","Reflection of Power",3,1786,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",3,68,11,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
45,"Physical4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_physical4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in blood","Reflection of Tyranny",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconPhysical",4,68,11,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
46,"Chaos1_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaos.arm""]","",[],[],[],"Defeat packs of Infested Creatures","Reflection of Chaos",3,1792,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",1,48,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
47,"Chaos1_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaos.arm""]","",[],[],[],"Defeat packs of Sewer Lurkers","Reflection of Chaos",3,1793,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",1,56,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
48,"Chaos1_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaos.arm""]","",[],[],[],"Defeat packs of Vaal Constructs","Reflection of Chaos",3,1794,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",1,24,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
49,"Chaos1_4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaos.arm""]","",[],[],[],"Defeat packs of Snakes","Reflection of Chaos",3,1795,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",1,20,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
50,"Chaos1_5","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaos.arm""]","",[],[],[],"Defeat packs of Spiders","Reflection of Chaos",3,1796,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",1,14,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
51,"Chaos3_1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaospurple3_warbands.arm""]","",[],[],[],"Defeat Renegade Warbands","Reflection of Camaraderie",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",3,46,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
52,"Chaos3_2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaospurple3_exiles.arm""]","",[],[],[],"Defeat Chaos-themed Rogue Exiles","Reflection of Conflict",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",3,46,12,"",[],[],"(Difficulty scales quantity of items from reward chests)",""
53,"Chaos3_3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaospurple3_mapboss.arm""]","",[],[],[],"Defeat a powerful foe, forged in mayhem","Reflection of Power",3,1796,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",3,68,12,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
54,"Chaos4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_chaospurple4_mapbosses.arm""]","",[],[],[],"Defeat several powerful foes, forged in mayhem","Reflection of Tyranny",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconChaos",4,68,12,1,[],[],"(Difficulty scales quantity of items from reward chests)",""
55,"Strongbox1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_strongbox.arm""]","",[],[],[],"Contains 5 additional Strongboxes","Reflection of Ambush",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",1,8,13,"",[13414],[10],"(Difficulty scales quantity of items from Strongboxes)",13776
56,"Strongbox2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_strongbox.arm""]","",[],[5078],[1],"Contains 5 additional Strongboxes\r\nStrongboxes are Rare and Corrupted","Reflection of Entrapment",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",2,46,13,"",[13414],[10],"(Difficulty scales quantity of items from Strongboxes)",13776
57,"Strongbox3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_strongbox.arm""]","",[],[13529],[25],"Contains 5 additional Strongboxes\r\nStrongboxes are less common types\r\nStrongboxes have 25% chance to be openable again","Reflection of the Trove",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconStrongbox",3,68,13,"",[13414],[10],"(Difficulty scales quantity of items from Strongboxes)",13776
58,"Essence1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_essence.arm""]","",[],[],[],"Contains 3 additional Essences","Reflection of Essence",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",1,8,14,"",[13593],[10],"(Difficulty scales chance for Imprisoned  Monsters to have additional Essences)",13793
59,"Essence2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_essence.arm""]","",[],"[13683,9813]","[1,100]","Contains 3 additional Essences\r\nEssences are a tier higher\r\nImprisoned Monsters have a Remnant of Corruption","Reflection of Imprisonment",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",2,46,14,"",[13593],[10],"(Difficulty scales chance for Imprisoned  Monsters to have additional Essences)",13793
60,"Essence3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_essence.arm""]","",[],"[13683,15527]","[1,100]","Contains 3 additional Essences\r\nEssences are a tier higher\r\nImprisoned Monsters have 3 additional Essences","Reflection of Thralldom",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconEssences",3,68,14,"",[13593],[10],"(Difficulty scales chance for Imprisoned  Monsters to have additional Essences)",13793
61,"Harbinger1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_harbinger.arm""]","",[],[6296],[3],"Contains 3 additional Harbingers","Reflection of the Harbingers",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",1,46,15,"",[13706],[5],"(Difficulty scales quantity of Currency Shards from Harbingers)",13791
62,"Harbinger2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_harbinger.arm""]","",[],"[6296,15529]","[5,100]","Contains 5 additional Harbingers\r\nHarbingers have 100% increased Cooldown Recovery Rate","Reflection of Fractured Dimensions",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",2,68,15,"",[13706],[5],"(Difficulty scales quantity of Currency Shards from Harbingers)",13791
63,"Harbinger3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_harbinger.arm""]","",[],"[6296,14060]","[2,100]","Contains 2 additional Harbinger Bosses","Reflection of Phaaryl",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconHarbinger",3,68,15,"",[13706],[5],"(Difficulty scales quantity of Currency Shards from Harbingers)",13791
64,"Shrine1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_shrine.arm""]","",[],[],[],"Contains 3 additional Shrines","Reflection of Domination",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",1,8,16,"",[16749],[10],"(Difficulty scales duration of Shrine Buffs on Players)",13786
65,"Shrine2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_shrine.arm""]","",[],[16730],[100],"Contains 3 additional Shrines\r\n100% increased effect of Shrine Buffs on Players","Reflection of Occultism",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",2,46,16,"",[16749],[10],"(Difficulty scales duration of Shrine Buffs on Players)",13786
66,"Shrine3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_shrine.arm""]","",[],"[15706,15523]","[100,100]","Contains 3 additional Shrines\r\nShrines are guarded by an additional Pack of Monsters\r\nShrines are Covetous Shrines","Reflection of Perverted Faith",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconShrine",3,68,16,"",[16749],[10],"(Difficulty scales duration of Shrine Buffs on Players)",13786
67,"Quest1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_quest8.arm""]","",[],[],[],"Contains Ethereal Reflecting Mist","Reflection of Kalandra",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconQuestEncounter8",1,80,17,"",[],[],"(Difficulty scales efficacy of Ethereal Reflecting Mist)",13811
68,"Metamorph1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_metamorph.arm""]","",[],[13720],[100],"Contains a rogue Metamorph","Reflection of Metamorph",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",1,68,18,"",[13704],[6],"(Difficulty scales chance for Rewards from Metamorphs in to be Doubled)",13789
69,"Metamorph2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_metamorph.arm""]","",[],"[13720,13702,15613]","[100,100,1]","Contains a rogue Metamorph\r\nMetamorphs have 100% increased Life\r\nCatalysts dropped by Metamorphs are Duplicated","Reflection of Catalysis",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",2,68,18,"",[13704],[6],"(Difficulty scales chance for Rewards from Metamorphs in to be Doubled)",13789
70,"Metamorph3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_metamorph.arm""]","",[],"[13720,13703,13702,11464]","[100,100,100,1]","Contains a rogue Metamorph\r\nMetamorphs have 100% increased Life and Damage\r\nMetamorphs have additional rewards","Reflection of Experimentation",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconMetamorph",3,68,18,"",[13704],[6],"(Difficulty scales chance for Rewards from Metamorphs in to be Doubled)",13789
71,"Abyss1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_abyss.arm""]","",[],[],[],"[DNT] Abyss1","Reflection of Abyss",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",1,46,19,"",[],[],"[DNT] Difficulty increases ",13782
72,"Abyss2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_abyss.arm""]","",[],[],[],"[DNT] Abyss2","Reflection of the Chasm",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",2,68,19,"",[],[],"[DNT] Difficulty increases ",13782
73,"Abyss3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_abyss.arm""]","",[],[],[],"[DNT] Abyss3","Reflection of Darkness",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconAbyss",3,68,19,"",[],[],"[DNT] Difficulty increases ",13782
74,"Bestiary1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_untainted.arm""]","",[],[],[],"[DNT] Bestiary1","Reflection of Bestiary",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",1,20,20,"",[],[],"[DNT] Difficulty increases ",13795
75,"Bestiary2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_untainted.arm""]","",[],[],[],"[DNT] Bestiary2","Reflection of the Hunter",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",2,68,20,"",[],[],"[DNT] Difficulty increases ",13795
76,"Bestiary3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_untainted.arm""]","",[],[],[],"[DNT] Bestiary3","Reflection of the Wilderness",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconBestiary",3,68,20,"",[],[],"[DNT] Difficulty increases ",13795
77,"Expedition1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_expedition.arm""]","",[],[],[],"Contains foes from the Druids of the Broken Circle","Reflection of the Broken Circle",3,1798,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",2,46,21,"",[14634],[10],"(Difficulty scales quantity of Artifacts dropped by Monsters)",13797
78,"Expedition2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_expedition.arm""]","",[],[],[],"Contains foes from the Black Scythe Mercenaries","Reflection of the Black Scythe",3,1799,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",2,68,21,"",[14634],[10],"(Difficulty scales quantity of Artifacts dropped by Monsters)",13797
79,"Expedition3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_expedition.arm""]","",[],[],[],"Contains foes from the Order of the Chalice","Reflection of the Chalice",3,1800,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",2,68,21,"",[14634],[10],"(Difficulty scales quantity of Artifacts dropped by Monsters)",13797
80,"Expedition4","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_expedition.arm""]","",[],[],[],"Contains foes from the Knights of the Sun","Reflection of the Sun",3,1801,"Art/2DArt/UIImages/InGame/Lake/LakeTileIconExpedition",3,68,21,"",[14634],[10],"(Difficulty scales quantity of Artifacts dropped by Monsters)",13797
81,"Legion1","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_legion.arm""]","",[],[],[],"Contains an additional Legion Encounter","Reflection of Legion",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",1,68,22,"",[15786],[6],"(Difficulty scales quantity of Splinters found from Legion Encounters)",13784
82,"Legion2","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_legion.arm""]","",[],"[13749,13750]","[5,40]","Contains an additional Legion Encounter\r\nLegion Encounters contain 5 additional Sergeants\r\nLegion Sergeants have 40% additional chance to have Rewards","Reflection of Stasis",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",2,68,22,"",[15786],[6],"(Difficulty scales quantity of Splinters found from Legion Encounters)",13784
83,"Legion3","[""Metadata/Terrain/Leagues/Lake/Rooms/encounter_league_legion.arm""]","",[],"[10293,10292]","[1,1]","Contains an additional Legion Encounter\r\nEach Legion is accompanied by a General\r\nEach Legion contains a War Hoard","Reflection of the Monolith",3,"","Art/2DArt/UIImages/InGame/Lake/LakeTileIconLegion",3,68,22,"",[15786],[6],"(Difficulty scales quantity of Splinters found from Legion Encounters)",13784
