"rownum","Id","UIFile","ClientString","IsEnabled","i32","[i32]","rid","i32","[i32]","bool","bool"
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3029,1,15,"[1776,0]",1741,50,[],"",1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3030,1,10,"[1040,0]",1742,90,[],"",""
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3032,"",55,[1782],1744,75,[1035],"",1
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4774,"",60,[],2146,72,[295],"",""
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3033,"",8,[150],"",8,[],"",1
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3034,"",8,[150],"",8,[],"",1
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3035,"",20,[],1745,27,[],1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3036,"",60,[150],"",75,[],"",1
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3037,"",10,[1772],1746,25,[],"",1
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3038,"",20,[1777],1747,40,[],"",1
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3039,"",4,[1778],1748,40,[],"",1
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3040,1,2,[],124,2,[],"",""
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3025,1,2,[],124,2,[],"",""
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3111,"",2,[1779],"",10,[],"",1
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3112,"",2,[],"",10,[],"",1
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3113,"",2,[],"",10,[],"",1
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3114,"",2,[],"",10,[],"",1
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3115,"",2,[1781],"",10,[],"",1
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3117,"",2,[],"",10,[],"",1
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3118,"",2,[],"",10,[],"",1
75,"Breaches","Metadata/UI/InGameState/TutorialPanel/Breaches.ui",3736,"",2,[],"",10,[],"",1
76,"CurrentLeague","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3120,"",0,[],"",100,[],"",1
77,"HidePopups","",58,"",0,[],713,100,[],"",""
