"rownum","Id","QuestState","i32","i32","i32","i32","i32","[rid]","[rid]","bool","bool"
49,"EnterMines2",805,0,0,0,10000,0,[],[],"",""
50,"EnterCrystalVeins",806,0,0,0,12000,0,[],[],"",""
51,"EnterKaomDream",678,0,0,0,4000,0,[],[],"",""
52,"EnterDaressoDream",681,0,0,0,4000,0,[],[],"",""
53,"EnterBellyOfTheBeast",683,0,0,0,4000,0,[571],[517],"",""
54,"EnterHarvest",685,0,0,0,4000,0,[573],[],"",""
55,"EnterSlavePens",317,0,0,0,6000,0,[579],[],"",""
56,"EnterOriathSquare",1042,0,0,0,4000,0,[],[],"",""
57,"EnterTemplarCourts",1044,0,0,0,4000,0,[581],[],"",""
58,"EnterChamberOfInnocence",1046,0,0,0,4000,0,[],[],"",""
59,"EnterTorchedCourts",1045,0,0,0,4000,0,[583],[],"",""
60,"EnterRuinedSquare",1043,0,0,0,4000,0,[],[],"",""
61,"EnterCathedralRooftop",1049,0,0,0,4000,0,[],[],"",""
62,"ApproachLilly",2389,0,0,0,0,0,[],[],"",""
63,"EnterOssuary",1047,0,0,0,4000,0,[],[],"",""
64,"EnterTwilightStrandA6",1139,0,0,0,4000,0,[586],[],"",""
65,"EnterCoastA6",1140,0,0,0,4000,0,[],[],"",""
66,"EnterMudFlatsA6",1142,0,0,0,4000,0,[],[],"",""
67,"EnterTheRidgeA6",1144,0,0,0,4000,0,[],[],"",""
68,"EnterThePrisonA6",1145,0,0,0,4000,0,[],[],"",""
69,"EnterWesternForestA6",1148,0,0,0,4000,0,[],[],"",""
70,"EnterTheBeaconA6",1153,0,0,0,4000,0,[],[],"",""
71,"EnterTheReefA6",1154,0,0,0,4000,0,[],[],"",""
72,"ApproachEramir",2393,0,0,0,0,0,[],[],"",""
73,"EnterTheCryptA7",1258,0,0,0,4000,0,[],[],"",""
74,"EnterMaligaroSanctum",1261,0,0,0,4000,0,[594],[],"",""
75,"EnterAshenFields",1263,0,0,0,4000,0,[],[],"",""
76,"EnterVaalCityA7",1267,0,0,0,4000,0,[],[],"",""
77,"EnterTempleOfDecay2",2397,0,0,0,4000,0,[],[],"",""
78,"EnterA8Town",1374,0,0,0,4000,0,[],[],"",""
79,"EnterToxicConduits",1330,0,0,0,4000,0,[],[],"",""
80,"EnterBathHours",1412,0,0,0,4000,0,[602],[],"",""
81,"EnterLunarisTempleA8",1414,0,0,0,4000,0,[604],[],"",""
82,"EnterBloodAqueduct",1500,0,0,0,4000,0,[606],[],"",""
83,"EnterBellyOfTheBeastA9",1536,0,0,0,4000,0,[612],[],"",""
84,"EnterRavagedSquareA10",1540,0,0,0,4000,0,[],[],"",""
85,"EnterCanals",1543,0,0,0,4000,0,[],[],"",""
86,"EnterFeedingTrough",1544,0,0,0,4000,0,[616],[],"",""
87,"EnterEpilogue",1548,0,0,0,4000,0,[617],[],"",""
88,"EnteredMaps",988,0,0,0,4000,0,[],[],"",""
89,"EnterApexOfSacrifice",826,0,0,0,4000,0,[],[515],"",""
90,"EnterAlluringAbyss",827,0,0,0,4000,0,[],[514],"",""
91,"EnterLabyrinthMap",832,0,0,0,4000,0,[],[522],"",""
92,"EnterMaelstromOfChaos",830,0,0,0,4000,0,[],[524],"",""
93,"EnterVaalTempleMap",836,0,0,0,4000,0,[],[530],"",""
94,"EnterVaultsOfAtziri",835,0,0,0,4000,0,[],[531],"",""
95,"EnterGrottoMap",829,0,0,0,4000,0,[],[520],"",""
96,"EnterDungeonMap",828,0,0,0,4000,0,[],[519],"",""
97,"EnterMudGeyserMap",831,0,0,0,4000,0,[],[526],"",""
98,"EnterSpiderForestMap",833,0,0,0,4000,0,[],[529],"",""
99,"EnterJungleMap",834,0,0,0,4000,0,[],[521],"",""
100,"KillBiteZombie",558,0,0,0,1500,0,[],[],"",""
101,"KillHillock",559,0,0,0,1500,0,[],[],"",""
102,"KillFireFury",550,0,0,0,3000,0,[],[],"",""
103,"KillKadavrus",560,0,0,0,2500,0,[],[],"",""
104,"KillDwellerDeep",557,0,0,0,1500,0,[],[],"",""
105,"KillKuduku",551,0,0,0,1500,0,[547],[],"",""
106,"KillBrutus",561,0,0,0,2000,0,[549],[],"",""
107,"KillFairgraves",564,0,0,0,2500,0,[551],[],"",""
108,"KillMerveilDaughter",552,0,0,0,1500,0,[],[],"",""
109,"KillMerveil",562,0,0,0,2000,0,[552],[],"",""
110,"KillWhiteBeast",563,0,0,0,1500,0,[],[],"",""
111,"KillArchbishopGeofri",553,0,0,0,1500,0,[],[],"",""
112,"KillFidelitas",566,0,0,0,1500,0,[],[],"",""
113,"KillWeaver",554,0,0,0,1500,0,[],[],"",""
114,"KillOak",18,0,0,0,2000,0,[557],[],"",""
115,"KillKraityn",16,0,0,0,1500,0,[556],[],"",""
116,"KillAlira",17,0,0,0,1500,0,[555],[],"",""
117,"KillVaalOversoul",565,0,0,0,8000,0,[559],[],"",""
118,"KillMarceustheDefaced",555,0,0,0,1500,0,[],[],"",""
119,"KillGravicius",567,0,0,0,9000,0,[561],[],"",""
120,"KillKole",556,0,0,0,1500,0,[562],[],"",""
121,"KillPiety",569,0,0,0,6500,0,[564],[],"",""
122,"KillDominus",570,0,0,0,2000,0,[565],[],"",""
123,"KillVoll",686,0,0,0,2000,0,[568],[],"",""
124,"KillDaresso",809,0,0,0,2000,0,[569],[],"",""
125,"KillKaom",693,0,0,0,2000,0,[570],[],"",""
126,"KillPietyCorrupted",703,0,0,0,4000,0,[],[],"",""
127,"KillMaligaro",879,0,0,0,4000,0,[575],[],"",""
128,"KillShavronne",880,0,0,0,4000,0,[576],[],"",""
129,"KillDoedre",881,0,0,0,4000,0,[574],[],"",""
130,"KillMalachai",664,0,0,0,15100,0,[578],[],"",""
131,"KillKrow",1051,0,0,0,2000,0,[],[],"",""
132,"KillCasticus",1057,0,0,0,2000,0,[580],[],"",""
133,"KillMatriarch",2386,0,0,0,0,0,[],[],"",""
134,"SeenAvarius",1070,0,0,0,3000,0,[],[],"",""
135,"SeenInnocence",2387,0,0,0,8500,0,[],[],"",""
136,"KillAvariusA5",1071,0,0,0,2000,0,[582],[],"",""
137,"KillCato",2388,0,0,0,2000,0,[],[],"",""
138,"KillUtula",1077,0,0,0,2000,0,[584],[],"",""
139,"FaceKitavaA5",1083,0,0,0,1000,0,[],[],"",""
140,"KillKitavaA5",1085,0,0,0,5000,0,[585],[],"",""
141,"KillTukohama",1175,0,0,0,2000,0,[587],[],"",""
142,"KillAbberath",1200,0,0,0,13000,0,[588],[],"",""
143,"KillShavronneA6",1168,0,0,0,2000,0,[589],[],"",""
144,"KillRyslatha",1193,0,0,0,2000,0,[590],[],"",""
145,"KillBrineKing",1164,0,0,0,2000,0,[592],[],"",""
146,"KillMaligaroA7",1280,0,0,0,2000,0,[595],[],"",""
147,"KillRalakesh",1273,0,0,0,2000,0,[596],[],"",""
148,"KillGruthkul",1386,0,0,0,2000,0,[597],[],"",""
149,"KillArakaali",1294,0,0,0,2000,0,[599],[],"",""
150,"KillDoedreA8",1423,0,0,0,2000,0,[600],[],"",""
151,"KillYugul",1438,0,0,0,2000,0,[603],[],"",""
152,"KillGemlingLegion",1461,0,0,0,2000,0,[],[],"",""
153,"KillLunarisSolaris",1426,0,0,0,2000,0,[605],[],"",""
154,"KillShakari",1629,0,0,0,2000,0,[608],[],"",""
155,"KillKira",1905,0,0,0,2000,0,[609],[],"",""
156,"KillGarukhan",1566,0,0,0,2000,0,[610],[],"",""
157,"KillAdus",1906,0,0,0,2000,0,[611],[],"",""
158,"KillUnholyTrio",1549,0,0,0,0,0,[],[],"",""
159,"KillAvariusA10",1657,0,0,0,2000,0,[614],[],"",""
160,"KillVilenta",1682,0,0,0,2000,0,[615],[],"",""
161,"KillIzaro",976,0,0,0,5000,0,[618],[],"",""
162,"KillBaran",-16843010,-16843010,-16843010,-16843010,2000,0,[],[],"",""
163,"KillVeritania",-16843010,-16843010,-16843010,-16843010,2000,0,[],[],"",""
164,"KillDrox",-16843010,-16843010,-16843010,-16843010,2000,0,[],[],"",""
165,"KillAlHezmin",-16843010,-16843010,-16843010,-16843010,2000,0,[],[],"",""
166,"KillSirus",1897,0,0,0,22000,0,[],[],"",""
167,"GlyphKarui1",535,0,0,0,2000,0,[],[],"",""
168,"GlyphKarui2",536,0,0,0,2000,0,[],[],"",""
169,"GlyphKarui3",537,0,0,0,2000,0,[],[],"",""
170,"GlyphKarui4",538,0,0,0,2000,0,[],[],"",""
171,"GlyphKarui5",539,0,0,0,2000,0,[],[],"",""
172,"GlyphShavronnesTome",542,0,0,0,2000,0,[],[],"",""
173,"GlyphKarui6",540,0,0,0,2000,0,[],[],"",""
174,"GlyphKarui7",541,0,0,0,2000,0,[],[],"",""
175,"GlyphPietysLetter",1903,0,0,0,2000,0,[554],[],"",""
176,"GlyphVictario1",543,0,0,0,2000,0,[],[],"",""
177,"GlyphVictario2",544,0,0,0,2000,0,[],[],"",""
178,"GlyphVictario3",545,0,0,0,2000,0,[],[],"",""
179,"GlyphVictariosDiary",549,0,0,0,2000,0,[],[],"",""
180,"GlyphVictario4",546,0,0,0,2000,0,[],[],"",""
181,"GlyphVictario5",547,0,0,0,2000,0,[],[],"",""
182,"GlyphVictario6",548,0,0,0,2000,0,[],[],"",""
183,"GlyphKaom1",845,0,0,0,2000,0,[],[],"",""
184,"GlyphKaom2",846,0,0,0,2000,0,[],[],"",""
185,"GlyphKaom3",847,0,0,0,2000,0,[],[],"",""
186,"GlyphKaom4",848,0,0,0,2000,0,[],[],"",""
187,"GlyphAqueductLetter",1904,0,0,0,2000,0,[567],[],"",""
188,"MetMaramoa",843,0,0,0,4000,0,[],[],"",""
189,"MetSiosa",844,0,0,0,4000,0,[],[],"",""
190,"MetPietyBelly",914,0,0,0,1000,0,[572],[],"",""
191,"MetSinA6",2390,0,0,0,2000,0,[],[],"",""
192,"MetSinTukohama",2395,0,0,0,2000,0,[],[],"",""
193,"MetSinAbberath",2537,0,0,0,2000,0,[],[],"",""
194,"MetSinRyslatha",2538,0,0,0,2000,0,[],[],"",""
195,"MetSinBrineKing",2392,0,0,0,2000,0,[],[],"",""
196,"MetSinRalakesh",2394,0,0,0,2000,0,[],[],"",""
197,"MetSinGruthkul",2396,0,0,0,2000,0,[],[],"",""
198,"MetSinArakaali",2398,0,0,0,2000,0,[],[],"",""
199,"MetSinYugul",2399,0,0,0,2000,0,[],[],"",""
200,"MetSinSolarisLunaris",2400,0,0,0,2000,0,[],[],"",""
201,"MetSinGarukhan",2402,0,0,0,2000,0,[],[],"",""
202,"MetSinShakari",2401,0,0,0,2000,0,[],[],"",""
203,"MetEpilogueSinInnocence",2403,0,0,0,2000,0,[],[],"",""
204,"ReadIslandLogbook",2391,0,0,0,2000,0,[],[],"",""
205,"PickUpTolmansBracelet",175,0,0,0,2000,20000,[560],[],"",""
206,"PickUpMiasmeter",1064,0,0,0,2000,20000,[],[],"",""
207,"PickUpSignOfPurity",1082,0,0,0,1000,20000,[],[],"",""
208,"PickUpBestelPapers",1250,0,0,0,1000,20000,[],[],"",""
209,"PickUpMaligaroMap",1283,0,0,0,2000,20000,[593],[],"",""
210,"PickUpSunOrb",1432,0,0,0,2000,20000,[],[],"",""
211,"PickUpMoonOrb",1428,0,0,0,2000,20000,[],[],"",""
212,"PickUpBasiliskAcid",1559,0,0,0,2000,20000,[],[],"",""
213,"PickUpTrarthanPowder",1558,0,0,0,2000,20000,[],[],"",""
214,"PickUpStormBlade",1573,0,0,0,2000,20000,[607],[],"",""
215,"EventWashedUp",533,0,0,0,2000,0,[],[],"",""
216,"EventDropOniGoroshi",362,0,0,0,2000,0,[],[],"",""
217,"EventDrainPool",24,0,0,0,4000,0,[],[],"",""
218,"EventPietyMonologue1",587,0,0,0,9000,0,[548],[],"",""
219,"EventPietyRetreatPrisonGate",589,0,0,0,4500,0,[550],[],"",""
220,"EventPietyMonologue2",261,0,0,0,11000,0,[553],[],"",""
221,"EventPoisonLorrata",99,0,0,0,4000,0,[],[],"",""
222,"EventUnleashDarkness",88,0,0,0,5750,0,[558],[],"",""
223,"EventOversoulAppears",256,0,0,0,21000,0,[],[],"",""
224,"EventPietyRetreatCrematorium",568,0,0,0,4000,0,[],[],"",""
225,"EventApproachSphincter",194,0,0,0,4000,0,[],[],"",""
226,"EventSphincterDestroyed",434,0,0,0,4000,0,[],[],"",""
227,"EventFairgravesDisappear",588,0,0,0,4000,0,[],[],"",""
228,"EventPietyMonologue3",215,0,0,0,6000,0,[],[513],"",""
229,"EventFreedDeshret",752,0,0,0,2000,0,[],[],"",""
230,"EventAccessCore",698,0,0,0,2000,0,[],[],"",""
231,"EventPietySacrifice",842,0,0,0,2000,0,[577],[],"",""
232,"EventLightBeacon",1160,0,0,0,3000,0,[591],[],"",""
233,"EventGreustHonoured",1379,0,0,0,2000,0,[],[],"",""
234,"EventYeenaTransform",1908,0,0,0,10000,0,[598],[],"",""
235,"EventAfterTolman",1909,0,0,0,2000,0,[601],[],"",""
236,"EventBlackHeartOpen",1907,0,0,0,2000,0,[613],[],"",""
237,"EventJackIdle",-16843010,-16843010,-16843010,-16843010,1000,4000,[],"[540,541,542,543]","",""
238,"EventJackKillMonster",-16843010,-16843010,-16843010,-16843010,1000,5000,[],"[532,533,534,535,536,537,538,539]","",""
239,"EventJackKillPlayer",-16843010,-16843010,-16843010,-16843010,1000,5000,[],"[544,545]","",""
240,"Cooldown",-16843010,-16843010,-16843010,-16843010,0,180000,[],[],1,""
241,"NoMana",-16843010,-16843010,-16843010,-16843010,0,180000,[],[],1,""
242,"InvFull",-16843010,-16843010,-16843010,-16843010,0,30000,[],[],1,""
243,"FlaskLowLifeToHighLife",-16843010,-16843010,-16843010,-16843010,0,600000,[],[],1,""
244,"FlaskEmpty",-16843010,-16843010,-16843010,-16843010,0,600000,[],[],"",""
245,"KillRare",-16843010,-16843010,-16843010,-16843010,500,2700000,"[625,626,627,628]",[],1,""
246,"KillRogueExile",-16843010,-16843010,-16843010,-16843010,500,20000,"[625,626,627,628]",[],1,""
247,"LowSTR",-16843010,-16843010,-16843010,-16843010,0,15000,[],[],1,""
248,"LowINT",-16843010,-16843010,-16843010,-16843010,0,15000,[],[],1,""
249,"LowDEX",-16843010,-16843010,-16843010,-16843010,0,15000,[],[],1,""
250,"QuestItem",-16843010,-16843010,-16843010,-16843010,0,10000,[],[],1,""
251,"SkillTown",-16843010,-16843010,-16843010,-16843010,0,30000,[],[],1,""
252,"LevelUp2",-16843010,-16843010,-16843010,-16843010,1000,0,[],[],"",""
253,"LevelUp3",-16843010,-16843010,-16843010,-16843010,1000,0,[],[],"",""
254,"LevelUp5",-16843010,-16843010,-16843010,-16843010,1000,0,[],[],"",""
255,"LevelUp10",-16843010,-16843010,-16843010,-16843010,1000,0,[619],[],"",""
256,"LevelUp15",-16843010,-16843010,-16843010,-16843010,1000,0,[],[],"",""
257,"LevelUp20",-16843010,-16843010,-16843010,-16843010,1000,0,[620],[],"",""
258,"LevelUp30",-16843010,-16843010,-16843010,-16843010,1000,0,[621],[],"",""
259,"LevelUp50",-16843010,-16843010,-16843010,-16843010,1000,0,[622],[],"",""
260,"LevelUp70",-16843010,-16843010,-16843010,-16843010,1000,0,[623],[],"",""
261,"LevelUp90",-16843010,-16843010,-16843010,-16843010,1000,0,[624],[],"",""
