"rownum","BaseItemTypesKey","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","rid","Display_Wand_ModsKey","Display_Bow_ModsKey","Display_Quiver_ModsKey","Display_Amulet_ModsKey","Display_Ring_ModsKey","Display_Belt_ModsKey","Display_Gloves_ModsKey","Display_Boots_ModsKey","Display_BodyArmour_ModsKey","Display_Helmet_ModsKey","Display_Shield_ModsKey","i32","DropLevelMinimum","DropLevelMaximum","Monster_ModsKeys","EssenceTypeKey","Level","i32","Display_Weapon_ModsKey","Display_MeleeWeapon_ModsKey","Display_OneHandWeapon_ModsKey","Display_TwoHandWeapon_ModsKey","Display_TwoHandMeleeWeapon_ModsKey","Display_Armour_ModsKey","Display_RangedWeapon_ModsKey","Helmet_ModsKey","BodyArmour_ModsKey","Boots_ModsKey","Gloves_ModsKey","Bow_ModsKey","Wand_ModsKey","Staff_ModsKey","TwoHandSword_ModsKey","TwoHandAxe_ModsKey","TwoHandMace_ModsKey","Claw_ModsKey","Dagger_ModsKey","OneHandSword_ModsKey","OneHandThrustingSword_ModsKey","OneHandAxe_ModsKey","OneHandMace_ModsKey","Sceptre_ModsKey","Display_Monster_ModsKey","ItemLevelRestriction","Belt_ModsKey","Amulet_ModsKey","Ring_ModsKey","Display_Jewellery_ModsKey","Shield_ModsKey","Display_Items_ModsKey","IsScreamingEssence","[rid]"
10,83,"","","","","","","","","","","","","",13230,1945,623,623,716,716,"","",705,-1245983058,48,100,[12246],1,4,931,"","",2280,2292,"",704,"",704,704,716,716,2292,2280,2292,2292,2292,2292,2280,2280,2280,2280,2280,2280,2280,12191,75,623,1945,623,"",705,"","",[12254]
11,84,"","","","","","","","","","","","","",13226,1946,624,624,"","",706,720,713,-182539987,68,100,[12247],1,5,1024,"","",2285,2297,"",717,"",720,706,717,717,2297,2285,2297,2297,2297,2297,2285,2285,2285,2285,2285,2285,2285,12192,0,624,1946,624,"",713,"",1,[12255]
12,85,"","","","","","","","","","","","","",13227,1952,626,625,"","",708,721,714,910335598,0,0,[12248],1,6,0,"","",2286,2298,"",718,"",721,708,718,718,2298,2286,2298,2298,2298,2298,2286,2286,2286,2286,2286,2286,2286,12193,0,625,1952,626,"",714,"","",[12256]
13,86,"","","","","","","","","","","","","",13228,1953,627,626,"","",712,722,715,1591416724,0,0,[12249],1,7,0,"","",2287,2299,"",719,"",722,712,719,719,2299,2287,2299,2299,2299,2299,2287,2287,2287,2287,2287,2287,2287,12194,0,626,1953,627,"",715,"","",[12257]
14,87,"","","","","","","","","","","","","",1007,"","",4585,"","","","","",1724552963,1,47,[12243],2,1,700,9190,"","","","",300,"",300,300,300,300,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,9190,12181,35,4585,2828,2828,2828,300,"","",[12251]
15,88,"","","","","","","","","","","","","",1008,"","",4586,"","","","","",-1337235593,12,67,[12244],2,2,770,9191,"","","","",301,"",301,301,301,301,9191,9191,9191,9191,9191,9191,9191,9191,9191,9191,9191,9191,9191,12182,45,4586,2829,2829,2829,301,"","",[12252]
16,89,"","","","","","","","","","","","","",1009,"","",4587,"","","","","",1334812465,30,100,[12245],2,3,847,9192,"","","","",302,"",302,302,302,302,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,9192,12183,60,4587,2830,2830,2830,302,"","",[12253]
17,90,"","","","","","","","","","","","","",1010,"","",4588,293,293,"","","",-669856137,48,100,[12246],2,4,931,9193,"","","","",294,"",294,294,293,293,9193,9193,9193,9193,9193,9193,9193,9193,9193,9193,9193,9193,9193,12184,75,4588,2831,2831,2831,294,"","",[12254]
18,91,"","","","","","","","","","","","","",1011,"","",4589,"","",296,295,296,181619222,68,100,[12247],2,5,1024,9194,"","","","",294,"",295,296,294,294,9194,9194,9194,9194,9194,9194,9194,9194,9194,9194,9194,9194,9194,12185,0,4589,2832,2832,2832,296,"",1,[12255]
19,92,"","","","","","","","","","","","","",1012,"","",4590,"","",298,296,297,2059925248,0,0,[12248],2,6,0,9195,"","","","",295,"",296,298,295,295,9195,9195,9195,9195,9195,9195,9195,9195,9195,9195,9195,9195,9195,12186,0,4590,2833,2833,2833,297,"","",[12256]
20,93,"","","","","","","","","","","","","",1013,"","",4591,"","",303,305,304,-1356244188,0,0,[12249],2,7,0,9196,"","","","",306,"",305,303,306,306,9196,9196,9196,9196,9196,9196,9196,9196,9196,9196,9196,9196,9196,12187,0,4591,2834,2834,2834,304,"","",[12257]
21,94,"","","","","","","","","","","","","",723,"","",4664,723,4664,4664,4664,4664,1018082169,1,47,[12243],3,1,700,"","",1304,1315,"",4664,"",4664,4664,4664,723,1315,1304,1315,1315,1315,1315,1304,1304,1304,1304,1304,1304,1304,12156,35,4664,723,723,723,4664,"","",[12251]
22,95,"","","","","","","","","","","","","",724,"","",4665,724,4665,4665,4665,4665,829889309,12,67,[12244],3,2,770,"","",1305,1316,"",4665,"",4665,4665,4665,724,1316,1305,1316,1316,1316,1316,1305,1305,1305,1305,1305,1305,1305,12157,45,4665,724,724,724,4665,"","",[12252]
23,96,"","","","","","","","","","","","","",726,"","",4666,725,4666,4666,4666,4666,2051179612,30,100,[12245],3,3,847,"","",1306,1317,"",4666,"",4666,4666,4666,725,1317,1306,1317,1317,1317,1317,1306,1306,1306,1306,1306,1306,1306,12158,60,4666,726,726,726,4666,"","",[12253]
24,97,"","","","","","","","","","","","","",728,728,727,4667,745,4667,4667,4667,4667,-743698363,48,100,[12246],3,4,931,"","",1307,1318,"",4667,"",4667,4667,4667,745,1318,1307,1318,1318,1318,1318,1307,1307,1307,1307,1307,1307,1307,12159,75,4667,728,727,"",4667,"","",[12254]
25,98,"","","","","","","","","","","","","",730,730,742,4668,746,4668,4668,4668,4668,-205989316,68,100,"[12247,12163]",3,5,1024,"","",1309,1320,"",4668,"",4668,4668,4668,746,1320,1309,1320,1320,1320,1320,1309,1309,1309,1309,1309,1309,1309,12160,0,4668,730,742,"",4668,"",1,"[12255,12163]"
26,99,"","","","","","","","","","","","","",731,731,743,4669,747,4669,4669,4669,4669,-1738015661,0,0,"[12248,12163]",3,6,0,"","",1310,1321,"",4669,"",4669,4669,4669,747,1321,1310,1321,1321,1321,1321,1310,1310,1310,1310,1310,1310,1310,12161,0,4669,731,743,"",4669,"","","[12256,12163]"
27,100,"","","","","","","","","","","","","",741,741,744,4670,748,4670,4670,4670,4670,1330507188,0,0,"[12249,12163]",3,7,0,"","",1314,1325,"",4670,"",4670,4670,4670,748,1325,1314,1325,1325,1325,1325,1314,1314,1314,1314,1314,1314,1314,12162,0,4670,741,744,"",4670,"","","[12257,12163]"
28,101,"","","","","","","","","","","","","",80,"","","","","","","","",535092733,12,67,"[12244,12259]",4,2,669,"","",8501,8507,"",80,"",80,80,80,80,8507,8501,8507,8507,8507,8507,8501,8501,8501,8501,8501,8501,8501,12150,45,80,80,80,80,80,80,"","[12252,12259]"
29,102,"","","","","","","","","","","","","",81,"","","","","","","","",-267836319,30,100,"[12245,12259]",4,3,736,"","",8502,8508,"",81,"",81,81,81,81,8508,8502,8508,8508,8508,8508,8502,8502,8502,8502,8502,8502,8502,12151,60,81,81,81,81,81,81,"","[12253,12259]"
30,103,"","","","","","","","","","","","","",83,"","","","","","","","",-880120152,48,100,"[12246,12259]",4,4,810,"","",8503,8509,"",83,"",83,83,83,83,8509,8503,8509,8509,8509,8509,8503,8503,8503,8503,8503,8503,8503,12152,75,83,83,83,83,83,83,"","[12254,12259]"
31,104,"","","","","","","","","","","","","",84,"","","","","","","","",1066624914,68,100,"[12247,12259]",4,5,891,"","",8504,8510,"",84,"",84,84,84,84,8510,8504,8510,8510,8510,8510,8504,8504,8504,8504,8504,8504,8504,12153,0,84,84,84,84,84,84,1,"[12255,12259]"
32,105,"","","","","","","","","","","","","",86,"","","","","","","","",993214565,0,0,"[12248,12259]",4,6,0,"","",8505,8511,"",86,"",86,86,86,86,8511,8505,8511,8511,8511,8511,8505,8505,8505,8505,8505,8505,8505,12154,0,86,86,86,86,86,86,"","[12256,12259]"
33,106,"","","","","","","","","","","","","",89,"","","","","","","","",-558420537,0,0,"[12249,12259]",4,7,0,"","",8506,8512,"",89,"",89,89,89,89,8512,8506,8512,8512,8512,8512,8506,8506,8506,8506,8506,8506,8506,12155,0,89,89,89,89,89,89,"","[12257,12259]"
34,107,"","","","","","","","","","","","",1782,3020,"","",3020,"","","","","",-36091224,12,67,"[12244,12261]",5,2,669,1770,"","","",1782,3020,"",3020,3020,3020,3020,1782,1770,1782,1782,1782,1782,1770,1770,1770,1770,1770,1770,1770,12090,45,3020,3547,3547,3547,3020,"","","[12252,12261]"
35,108,"","","","","","","","","","","","",1784,3021,"","",3021,"","","","","",-1327428615,30,100,"[12245,12261]",5,3,736,1772,"","","",1784,3021,"",3021,3021,3021,3021,1784,1772,1784,1784,1784,1784,1772,1772,1772,1772,1772,1772,1772,12091,60,3021,3548,3548,3548,3021,"","","[12253,12261]"
36,109,"","","","","","","","","","","","",1786,3022,"","",3022,"","","","","",891153638,48,100,"[12246,12261]",5,4,810,1774,"","","",1786,3022,"",3022,3022,3022,3022,1786,1774,1786,1786,1786,1786,1774,1774,1774,1774,1774,1774,1774,12092,75,3022,3549,3549,3549,3022,"","","[12254,12261]"
37,110,"","","","","","","","","","","","",1788,3024,"","",3024,"","","","","",128783824,68,100,"[12247,12261]",5,5,891,1776,"","","",1788,3024,"",3024,3024,3024,3024,1788,1776,1788,1788,1788,1788,1776,1776,1776,1776,1776,1776,1776,12093,0,3024,3550,3550,3550,3024,"",1,"[12255,12261]"
38,111,"","","","","","","","","","","","",1789,3025,"","",3025,"","","","","",-452117587,0,0,"[12248,12261]",5,6,0,1777,"","","",1789,3025,"",3025,3025,3025,3025,1789,1777,1789,1789,1789,1789,1777,1777,1777,1777,1777,1777,1777,12094,0,3025,3551,3551,3551,3025,"","","[12256,12261]"
39,112,"","","","","","","","","","","","",1801,3026,"","",3026,"","","","","",1536872438,0,0,"[12249,12261]",5,7,0,1779,"","","",1801,3026,"",3026,3026,3026,3026,1801,1779,1801,1801,1801,1801,1779,1779,1779,1779,1779,1779,1779,12095,0,3026,3552,3552,3552,3026,"","","[12257,12261]"
40,113,"","","","","","","","","","","","","",950,"","",4658,940,4658,11718,4658,11718,-475311494,12,67,"[12244,12260]",6,2,669,"","",9453,9491,"",4658,"",4658,11718,4658,940,9491,9453,9491,9491,9491,9491,9453,9453,9453,9453,9453,9453,9453,12114,45,4658,941,941,941,11718,"","","[12252,12260]"
41,114,"","","","","","","","","","","","","",952,"","",4659,941,4659,11719,4659,11719,1008794806,30,100,"[12245,12260]",6,3,736,"","",9455,9493,"",4659,"",4659,11719,4659,941,9493,9455,9493,9493,9493,9493,9455,9455,9455,9455,9455,9455,9455,12115,60,4659,943,943,943,11719,"","","[12253,12260]"
42,115,"","","","","","","","","","","","","",954,"","",4660,942,4660,11720,4660,11720,-1179354155,48,100,"[12246,12260]",6,4,810,"","",9457,9495,"",4660,"",4660,11720,4660,942,9495,9457,9495,9495,9495,9495,9457,9457,9457,9457,9457,9457,9457,12116,75,4660,945,945,945,11720,"","","[12254,12260]"
43,116,"","","","","","","","","","","","","",956,"","",4661,943,4661,11721,4661,11721,747230036,68,100,"[12247,12260]",6,5,891,"","",9458,9496,"",4661,"",4661,11721,4661,943,9496,9458,9496,9496,9496,9496,9458,9458,9458,9458,9458,9458,9458,12117,0,4661,947,947,947,11721,"",1,"[12255,12260]"
44,117,"","","","","","","","","","","","","",957,"","",4662,944,4662,11722,4662,11722,-826006652,0,0,"[12248,12260]",6,6,0,"","",9459,9497,"",4662,"",4662,11722,4662,944,9497,9459,9497,9497,9497,9497,9459,9459,9459,9459,9459,9459,9459,12118,0,4662,948,948,948,11722,"","","[12256,12260]"
45,118,"","","","","","","","","","","","","",958,"","",4663,945,4663,11723,4663,11723,-1551618851,0,0,"[12249,12260]",6,7,0,"","",9460,9498,"",4663,"",4663,11723,4663,945,9498,9460,9498,9498,9498,9498,9460,9460,9460,9460,9460,9460,9460,12119,0,4663,959,959,959,11723,"","","[12257,12260]"
46,119,"","","","","","","","","","","","","",4470,"","",4487,4519,"","",4513,"",697488794,12,67,[12244],7,2,669,"","",19775,19786,"",4487,"",4513,4487,4487,4519,19786,19775,19786,19786,19786,19786,19775,19775,19775,19775,19775,19775,19775,12122,45,4487,4470,4470,4470,4487,"","",[12252]
47,120,"","","","","","","","","","","","","",4471,"","",4488,4520,"","",4514,"",-185991819,30,100,[12245],7,3,736,"","",19776,19787,"",4488,"",4514,4488,4488,4520,19787,19776,19787,19787,19787,19787,19776,19776,19776,19776,19776,19776,19776,12123,60,4488,4471,4471,4471,4488,"","",[12253]
48,121,"","","","","","","","","","","","","",4472,"","",4489,4521,"","",4515,"",2034631909,48,100,[12246],7,4,810,"","",19777,19788,"",4489,"",4515,4489,4489,4521,19788,19777,19788,19788,19788,19788,19777,19777,19777,19777,19777,19777,19777,12124,75,4489,4472,4472,4472,4489,"","",[12254]
49,122,"","","","","","","","","","","","","",4473,"","",4490,4522,"","",4516,"",-575837846,68,100,[12247],7,5,891,"","",19782,19789,"",4490,"",4516,4490,4490,4522,19789,19782,19789,19789,19789,19789,19782,19782,19782,19782,19782,19782,19782,12125,0,4490,4473,4473,4473,4490,"",1,[12255]
50,123,"","","","","","","","","","","","","",4474,"","",4491,4523,"","",4517,"",117284401,0,0,[12248],7,6,0,"","",19783,19790,"",4491,"",4517,4491,4491,4523,19790,19783,19790,19790,19790,19790,19783,19783,19783,19783,19783,19783,19783,12126,0,4491,4474,4474,4474,4491,"","",[12256]
51,124,"","","","","","","","","","","","","",4475,"","",4492,4524,"","",4518,"",-779044208,0,0,[12249],7,7,0,"","",19784,19791,"",4492,"",4518,4492,4492,4524,19791,19784,19791,19791,19791,19791,19784,19784,19784,19784,19784,19784,19784,12127,0,4492,4475,4475,4475,4492,"","",[12257]
52,125,"","","","","","","","","","","","","",906,"","",4703,895,4703,11713,4703,11713,836789809,30,100,"[12245,12259]",8,3,640,"","",9438,9483,"",4703,"",4703,11713,4703,895,9483,9438,9483,9483,9483,9483,9438,9438,9438,9438,9438,9438,9438,12128,60,4703,897,897,897,11713,"","","[12253,12259]"
53,126,"","","","","","","","","","","","","",908,"","",4704,896,4704,11714,4704,11714,-1267169214,48,100,"[12246,12259]",8,4,704,"","",9440,9485,"",4704,"",4704,11714,4704,896,9485,9440,9485,9485,9485,9485,9440,9440,9440,9440,9440,9440,9440,12129,75,4704,899,899,899,11714,"","","[12254,12259]"
54,127,"","","","","","","","","","","","","",909,"","",4705,897,4705,11715,4705,11715,-1833058895,68,100,"[12247,12259]",8,5,775,"","",9441,9486,"",4705,"",4705,11715,4705,897,9486,9441,9486,9486,9486,9486,9441,9441,9441,9441,9441,9441,9441,12130,0,4705,900,900,900,11715,"",1,"[12255,12259]"
55,128,"","","","","","","","","","","","","",911,"","",4706,898,4706,11716,4706,11716,864068417,0,0,"[12248,12259]",8,6,0,"","",9442,9487,"",4706,"",4706,11716,4706,898,9487,9442,9487,9487,9487,9487,9442,9442,9442,9442,9442,9442,9442,12131,0,4706,902,902,902,11716,"","","[12256,12259]"
56,129,"","","","","","","","","","","","","",912,"","",4707,899,4707,11717,4707,11717,222024053,0,0,"[12249,12259]",8,7,0,"","",9443,9488,"",4707,"",4707,11717,4707,899,9488,9443,9488,9488,9488,9488,9443,9443,9443,9443,9443,9443,9443,12132,0,4707,913,913,913,11717,"","","[12257,12259]"
57,130,"","","","","","","","","","","","","",2,"","","","","","","","",-1583709973,30,100,"[12245,12261,7866]",9,3,640,"","",8490,8495,"",2,"",2,2,2,2,8495,8490,8495,8495,8495,8495,8490,8490,8490,8490,8490,8490,8490,12173,60,2,2,2,2,2,2,"","[12253,12261,7866]"
58,131,"","","","","","","","","","","","","",4,"","","","","","","","",292711936,48,100,"[12246,12261,7866]",9,4,704,"","",8491,8496,"",4,"",4,4,4,4,8496,8491,8496,8496,8496,8496,8491,8491,8491,8491,8491,8491,8491,12174,75,4,4,4,4,4,4,"","[12254,12261,7866]"
59,132,"","","","","","","","","","","","","",5,"","","","","","","","",-645724387,68,100,"[12247,12261,7866]",9,5,775,"","",8492,8497,"",5,"",5,5,5,5,8497,8492,8497,8497,8497,8497,8492,8492,8492,8492,8492,8492,8492,12175,0,5,5,5,5,5,5,1,"[12255,12261,7866]"
60,133,"","","","","","","","","","","","","",7,"","","","","","","","",-193173256,0,0,"[12248,12261,7866]",9,6,0,"","",8493,8498,"",7,"",7,7,7,7,8498,8493,8498,8498,8498,8498,8493,8493,8493,8493,8493,8493,8493,12176,0,7,7,7,7,7,7,"","[12256,12261,7866]"
61,134,"","","","","","","","","","","","","",10,"","","","","","","","",-954409300,0,0,"[12249,12261,7866]",9,7,0,"","",8494,8499,"",10,"",10,10,10,10,8499,8494,8499,8499,8499,8499,8494,8494,8494,8494,8494,8494,8494,12177,0,10,10,10,10,10,10,"","[12257,12261,7866]"
62,135,"","","","","","","","","","","","",1889,3175,"","",3175,"","","","","",1046769873,30,100,"[12245,12260]",10,3,640,1877,"",1877,"",1889,3175,"",3175,3175,3175,3175,1889,1877,1889,1889,1889,1889,1877,1877,1877,1877,1877,1877,1877,12103,60,3175,3612,3612,3612,3175,"","","[12253,12260]"
63,136,"","","","","","","","","","","","",1891,3176,"","",3176,"","","","","",-383181272,48,100,"[12246,12260]",10,4,704,1879,"",1879,"",1891,3176,"",3176,3176,3176,3176,1891,1879,1891,1891,1891,1891,1879,1879,1879,1879,1879,1879,1879,12104,75,3176,3613,3613,3613,3176,"","","[12254,12260]"
64,137,"","","","","","","","","","","","",1893,3178,"","",3178,"","","","","",491155825,68,100,"[12247,12260]",10,5,775,1881,"",1881,"",1893,3178,"",3178,3178,3178,3178,1893,1881,1893,1893,1893,1893,1881,1881,1881,1881,1881,1881,1881,12105,0,3178,3615,3615,3615,3178,"",1,"[12255,12260]"
65,138,"","","","","","","","","","","","",1894,3179,"","",3179,"","","","","",-150361862,0,0,"[12248,12260]",10,6,0,1882,"",1882,"",1894,3179,"",3179,3179,3179,3179,1894,1882,1894,1894,1894,1894,1882,1882,1882,1882,1882,1882,1882,12106,0,3179,3616,3616,3616,3179,"","","[12256,12260]"
66,139,"","","","","","","","","","","","",1906,3180,"","",3180,"","","","","",1926779813,0,0,"[12249,12260]",10,7,0,1884,"",1884,"",1906,3180,"",3180,3180,3180,3180,1906,1884,1906,1906,1906,1906,1884,1884,1884,1884,1884,1884,1884,12107,0,3180,3617,3617,3617,3180,"","","[12257,12260]"
67,140,"","","","","","","","","","","","","",2792,1933,"","","","","","","",-557327777,30,100,[12245],11,3,640,4276,"","","","",1988,"",1988,1988,1988,1988,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,4276,12195,60,1965,1933,1965,1965,1988,"","",[12253]
68,141,"","","","","","","","","","","","","",2793,1934,"","",2002,2002,"","",1991,-1074439089,48,100,[12246],11,4,704,4277,"","","","",1990,"",1990,1990,2002,2002,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,4277,12196,75,1966,1934,1966,1966,1991,"","",[12254]
69,142,"","","","","","","","","","","","","",2794,1935,"","",2003,2003,1992,1998,2006,1419643846,68,100,[12247],11,5,775,4278,"","","","",2003,"",1998,1992,2003,2003,4278,4278,4278,4278,4278,4278,4278,4278,4278,4278,4278,4278,4278,12197,0,1967,1935,1967,1967,2006,"",1,[12255]
70,143,"","","","","","","","","","","","","",2795,1938,"","",2004,2004,1994,1999,2007,2044538361,0,0,[12248],11,6,0,4279,"","","","",2004,"",1999,1994,2004,2004,4279,4279,4279,4279,4279,4279,4279,4279,4279,4279,4279,4279,4279,12198,0,1968,1938,1968,1968,2007,"","",[12256]
71,144,"","","","","","","","","","","","","",2796,1939,"","",2005,2005,1996,2000,2008,-444339820,0,0,[12249],11,7,0,4280,"","","","",2005,"",2000,1996,2005,2005,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,4280,12199,0,1970,1939,1970,1970,2008,"","",[12257]
72,145,"","","","","","","","","","","","","",861,"","",6015,849,6015,11709,6015,11709,-964777382,48,100,"[12246,12261,12309]",12,4,612,"","",9423,9475,"",6015,"",6015,11709,6015,849,9475,9423,9475,9475,9475,9475,9423,9423,9423,9423,9423,9423,9423,12165,75,6015,852,852,852,11709,"","","[12254,12261,12309]"
73,146,"","","","","","","","","","","","","",863,"","",6016,850,6016,11710,6016,11710,1027011185,68,100,"[12247,12261,12309]",12,5,673,"","",9424,9476,"",6016,"",6016,11710,6016,850,9476,9424,9476,9476,9476,9476,9424,9424,9424,9424,9424,9424,9424,12166,0,6016,854,854,854,11710,"",1,"[12255,12261,12309]"
74,147,"","","","","","","","","","","","","",864,"","",6017,851,6017,11711,6017,11711,-1839053998,0,0,"[12248,12261,12309]",12,6,0,"","",9425,9477,"",6017,"",6017,11711,6017,851,9477,9425,9477,9477,9477,9477,9425,9425,9425,9425,9425,9425,9425,12167,0,6017,855,855,855,11711,"","","[12256,12261,12309]"
75,148,"","","","","","","","","","","","","",865,"","",6018,852,6018,11712,6018,11712,1845632009,0,0,"[12249,12261,12309]",12,7,0,"","",9426,9478,"",6018,"",6018,11712,6018,852,9478,9426,9478,9478,9478,9478,9426,9426,9426,9426,9426,9426,9426,12168,0,6018,866,866,866,11712,"","","[12257,12261,12309]"
76,149,"","","","","","","","","","","","","",2937,2937,2949,3445,2949,8925,"","",5663,-1618168670,48,100,[12246],13,4,612,3880,"","","","",6229,"",6229,6229,8925,2949,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,3880,12143,75,3445,2937,2949,"",5663,"","",[12254]
77,150,"","","","","","","","","","","","","",2938,2938,2950,3446,2950,8926,"","",5664,-2058874949,68,100,[12247],13,5,673,3881,"","","","",6230,"",6230,6230,8926,2950,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,3881,12144,0,3446,2938,2950,"",5664,"",1,[12255]
78,151,"","","","","","","","","","","","","",2939,2939,2951,3447,2951,8927,"","",5665,-697952158,0,0,[12248],13,6,0,3882,"","","","",6231,"",6231,6231,8927,2951,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,3882,12145,0,3447,2939,2951,"",5665,"","",[12256]
79,152,"","","","","","","","","","","","","",2948,2948,2952,3448,2952,8928,"","",5666,-417900903,0,0,[12249],13,7,0,3883,"","","","",6232,"",6232,6232,8928,2952,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,3883,12146,0,3448,2948,2952,"",5666,"","",[12257]
80,153,"","","","","","","","","","","","","",165,"","","","","","","","",-2072698540,48,100,"[12246,12260]",14,4,612,"","",8481,8485,"",165,"",165,165,165,165,8485,8481,8485,8485,8485,8485,8481,8481,8481,8481,8481,8481,8481,12200,75,165,165,165,165,165,165,"","[12254,12260]"
81,154,"","","","","","","","","","","","","",166,"","","","","","","","",-19953861,68,100,"[12247,12260]",14,5,673,"","",8482,8486,"",166,"",166,166,166,166,8486,8482,8486,8486,8486,8486,8482,8482,8482,8482,8482,8482,8482,12201,0,166,166,166,166,166,166,1,"[12255,12260]"
