"rownum","Id","QuestKey","rid","i32","RewardWindowTake","bool","bool","RewardWindowTitle"
102,"heist_quest_whakano1",150,"",965,"","","",""
103,"heist_quest_whakano2",151,"",966,"","","",""
104,"heist_quest_whakano3",152,"",967,"","","",""
105,"heist_quest_faustus1",153,"",968,"","","",""
106,"heist_quest_faustus2_2",154,"",969,"","","",""
107,"heist_quest_faustus3",155,"",970,"","","",""
108,"heist_quest_kurai1",156,"",971,"","","",""
109,"heist_quest_kurai2",157,"",972,"","","",""
110,"heist_quest_kurai3",158,"",973,"","","",""
111,"hellscape_tutorial1",170,"",1275,3796,"",1,3801
112,"voidstones",107,"",1275,3798,1,1,3801
113,"maven",161,"",1275,"","",1,""
114,"uberelder",162,"",1275,"","",1,""
115,"tangle",163,"",1275,"","",1,""
116,"cleansing_fire",164,"",1275,"","",1,""
117,"tangle_infinite_hunger",163,"",1275,"","",1,""
118,"cleansing_fire_black_star",164,"",1275,"","",1,""
