"rownum","Id","[rid]","[i32]","[i32]","[i32]","Variants","[rid]","[i32]","[rid]","rid","[i32]","[rid]","[i32]"
10,"divine_cry",[53],[0],"[6,0]",[],"[""Default"",""UNUSED"",""Celestial"",""Wolf""]",[370],"[18079,64124,27572,45252]",[],347,[],[1328],[]
11,"absolution_blast","[56,58,60,62]",[],[],[],"[""Default"",""DefaultMinion""]",[],"[18079,43854]",[],347,[0],[1329],[]
12,"ignite",[],[],[],[],"[""Default"",""White"",""Ghostfire"",""Blue"",""Stygian"",""Corsair"",""Blackflame"",""Holy"",""Empyrean"",""PolarisWhite"",""PolarisBlack"",""Glimmerwood"",""Demonic"",""Nightfall"",""BlackflameUnique"",""StygianHoly"",""Celestial"",""CelestialConsecratedPath"",""VoidEmperor"",""Mystic"",""MeteorShower"",""Oblivion"",""LegacyOfFury"",""Demonic""]",[86],"[18079,15971,49596,52194,39541,51220,37683,27667,17735,41774,36530,61967,61278,57192,20329,739,27572,56350,48015,45462,64137,116,35014,61278]",[],13418,[],[],[]
13,"shock",[],[],[],[],"[""Default"",""Purple"",""Divine"",""Red"",""Empyrean"",""Green"",""Stygian"",""Celestial"",""CelestialTempest"",""Void"",""Divine"",""VoidAlternate""]",[115],"[18079,19343,29263,16806,17735,15240,39541,27572,247,9203,29263,22003]",[],16237,[],[],[]
14,"chill",[],[],[],[],"[""Default"",""Myrmidon"",""HyrrisIre"",""VoidEmperor"",""Crystalline""]",[127],"[18079,27566,54248,48015,45820]",[],16367,[],[],[]
15,"freeze",[],[],[],[],"[""Default"",""Myrmidon"",""VoidEmperor"",""Crystalline""]",[132],"[18079,27566,48015,45820]",[],16368,[],[],[]
16,"poison",[],[],[],[],"[""Default"",""Demonic"",""BlackTar""]",[136],"[18079,61278,21233]",[],16369,[],[],[]
17,"bleed",[],[],[],[],"[""Default"",""Purple"",""Stygian"",""Voodoo""]","[139,143]","[18079,19343,39541,37825]",[],16370,[],[],[]
18,"exposure",[],[],[],[],"[""Default"",""Stygian"",""Celestial""]","[148,147,149]","[18079,39541,27572]",[],14231,[],[],[]
19,"soulfeast","[64,65]",[],[26],[],"[""Default""]",[],[18079],"[44,45,46,47]",347,[],[1332],[]
20,"mana_void","[68,69,70,71,72,73,74,75,76,77,78]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1333],[]
21,"storm_rain","[79,80,81]",[3],[],[0],"[""Default""]",[],[18079],[],347,[],[1334],[]
22,"igniting_flask","[82,83,85,86,88]",[],"[20,0]",[],"[""Default""]",[401],[18079],[52],347,[],[1341],[]
23,"igniting_flask_wall","[82,84,85,87,88]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1341],[]
24,"igniting_flask_lite","[82,89,91,92,94]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1341],[]
25,"igniting_flask_wall_lite","[82,90,91,93,94]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1341],[]
26,"infernal_blow","[95,96]",[],[],[],"[""Default"",""Stygian""]","[156,158,160]","[18079,39541]",[],347,[],[75],[]
27,"smoke_mine",[99],[],[],[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],347,[],[236],[]
28,"chain_hook","[102,104,106,108]",[4],"[12,0]",[],"[""Default"",""Stygian""]",[],"[18079,39541]",[],347,[],[1188],[]
29,"arcane_cloak",[110],[],"[16,0]",[],"[""Default"",""VoidEmperor""]",[162],"[18079,48015]",[],347,[],[1240],[]
30,"orb_of_storms","[112,115,118]",[6],[],[],"[""Default"",""Celestial"",""Demonic""]",[],"[18079,27572,61278]",[],347,[],[507],[]
31,"spark",[],[],[],[],"[""Default"",""SkeletonSpark"",""SpiderSpark"",""AvariusSpark"",""FireSpider"",""Sand"",""LightningElder"",""BestiaryCocoon"",""VaalIncursion"",""IncursionPipe"",""VaalIncursionEpic"",""DelveDweller"",""BetrayalCatarinaSpark"",""LegionMarakethSpark"",""LegionMarakethTornadoSpark"",""AtlasEyrie"",""HarvestHellion"",""Automaton"",""Celestial"",""Void""]",[],"[18079,63244,63286,26477,55029,25598,37016,62017,45534,10364,56855,15938,15102,32275,4271,13264,58149,3488,27572,9203]","[53,76]",347,[],"[70,1035,71]",[]
32,"spark_monster",[],[],[],[],"[""BookTornado"",""FireTornado"",""AfflicationFlamenado""]",[],"[42246,34282,41848]",[73],783,[],"[70,1035,71]",[]
33,"dual_strike","[121,123,126,127]",[],[],[],"[""Default"",""NoImpact"",""Nightfall""]",[],"[18079,32633,57192]",[],347,[],[24],[]
34,"weapon_trap","[128,129,130,131]",[],[22],[],"[""Default""]",[],[18079],[],347,[],[1331],[]
35,"shield_waves","[132,133]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1335],[]
36,"exsanguinate",[],"[9,0]",[],[],"[""Default"",""Celestial"",""Mercurial""]",[164],"[18079,27572,25270]",[],347,[],[1314],[]
37,"void_burst","[134,135,136]",[],[],[],"[""Default""]",[167],[18079],[],347,[],[1326],[]
38,"bladefall","[137,143,149]",[],[],[],"[""Default"",""Gold"",""Demonic"",""Acid"",""Chrome"",""Sawblade"",""Illusionist"",""VoidEmperor""]",[],"[18079,38699,61278,16802,55413,28838,54759,48015]",[],347,[],"[497,498]",[]
39,"blade_blast","[157,161]",[],[],[],"[""Default"",""Illusionist"",""Sawblade""]",[],"[18079,54759,28838]",[],347,[],[1245],[]
40,"rage_slash","[165,166,167]",[],[25],[],"[""Default""]",[],[18079],[],347,[],[1327],[]
41,"ambush",[200],[],"[23,0]",[],"[""Default""]",[168],[18079],[],347,[],[1330],[]
42,"shock_nova","[168,174]",[],[],[],"[""Default"",""Riftworm"",""Kuduku"",""Blight"",""StormCultist"",""MonsterShock""]",[],"[18079,9609,36942,7333,64637,62796]",[],347,[],[433],[]
43,"boneshatter",[180],[],[],[],"[""Default""]",[],[18079],[],347,[],[1339],[]
44,"flame_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[7],[421],[]
45,"flame_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[5],[421],[]
46,"lightning_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[12],[633],[]
47,"ice_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[14],[420],[]
48,"ice_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[19],[420],[]
49,"chaos_golem_monster",[],[],[],[],"[""Warband""]",[],[51089],[],883,[26],[419],[]
50,"chaos_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[31],[419],[]
51,"stone_golem",[],[],[],[],"[""Darkshard"",""Lightbringer"",""Miracle"",""Clockwork"",""Default"",""StormCaller""]",[],"[35955,55723,15198,56503,18079,6258]",[],347,[25],[526],[]
52,"bone_golem",[],[],[],[],"[""Default"",""Celestial"",""Darkwood"",""Stygian""]",[],"[18079,27572,12926,39541]",[],347,[32],[1206],[]
53,"cold_snap","[182,187,188,193]",[],[],[],"[""Default"",""BigHands"",""Azurite"",""ProtoVaal"",""Overseer""]",[169],"[18079,37316,62276,18886,5427]",[],347,[],"[40,41]",[]
54,"blood_rage",[198],[],[],[],"[""Default"",""Scavenger""]",[170],"[18079,46158]",[],347,[],[36],[]
55,"lightning_strike","[201,205,209,213]",[],"[28,0]",[],"[""Default"",""Alternate"",""Myrmidon"",""Vulcan""]",[172],"[18079,25075,27566,15703]","[81,82]",347,[],"[127,128]",[]
56,"vortex",[217],[],[],[],"[""Default"",""Blackhole"",""UltimatumCold"",""UltimatumLightning"",""UltimatumRuin"",""Myrmidon""]",[],"[18079,59527,47438,14591,29755,27566]",[],347,[],[609],[]
57,"burning_arrow","[220,221]",[],[36],[],"[""Default"",""Mystic""]",[329],"[18079,45462]","[89,90]",347,[],"[159,160]",[]
58,"dash","[224,229,230,231,227,228]",[],"[38,0,0]",[],"[""Default"",""Wild"",""MonsterRunUnarmed"",""MonsterRun"",""Constrictor"",""Myrmidon"",""Divergence""]",[],"[18079,28806,44071,55600,8701,27566,58468]",[],347,[],"[1181,1221]",[]
59,"cyclone","[249,266,286,279,280,292]",[],[],[],"[""Default"",""White"",""Blue"",""Saw"",""Illusionist"",""Celestial"",""Reserved1"",""Reserved2"",""Dark"",""Ghostflame"",""Automaton"",""BrutalPirateLord"",""UltimatumSabreSpider"",""UltimatumSabreSpiderRuin"",""UltimatumTrialmaster"",""Currency"",""Sharknado"",""Auspicious""]",[],"[18079,15971,52194,37218,54759,27572,3658,3657,5676,894,3488,28691,33116,19253,49128,53000,37940,45563]",[],347,[],"[211,210]",[]
60,"herald_of_ash",[309],[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[177,178]","[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[341],[]
61,"herald_of_ice",[351],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[242],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[342],[]
62,"herald_of_thunder",[330],[],[],[],"[""Default"",""Tribal"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]","[220,264]","[18079,24417,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[],[343],[]
63,"herald_of_agony",[],[],[],[],"[""Default"",""UNUSED"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[286],"[18079,64124,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[36],[344],[]
64,"herald_of_purity","[372,383]",[],[],[],"[""Default"",""GhostFlame"",""Gloom"",""Divine"",""Purple"",""Gore"",""Sin"",""Innocence"",""Wasteland"",""Automaton"",""Celestial"",""BloodGuard"",""FaithGuard"",""Demonic"",""Empyrean"",""PolarisWhite"",""DragonHunter"",""Stygian"",""Glimmerwood"",""Darkwood"",""Despair""]",[308],"[18079,24397,57905,29263,19343,63064,48611,51245,53281,3488,27572,27987,25282,61278,17735,41774,9218,39541,61967,12926,50928]",[],347,[57],[345],[]
65,"eye_of_winter","[397,399]",[],[],[],"[""Default"",""Celestial""]",[],"[18079,27572]","[93,95]",347,[],[1342],[]
66,"spectral_helix","[401,403,405]",[],[52],[],"[""Default"",""Nightfall""]",[],"[18079,57192]",[97],347,[],"[244,1336]",[]
67,"earthquake","[407,419,433,447,461]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer"",""Harmonious""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129,57521]",[],347,[],"[538,541,539,540]",[]
68,"earthquake_ancestral","[473,478,483,488,493]",[],[],[],"[""Default"",""Vinktar"",""Blood"",""Bear"",""Bone"",""Gemling"",""GemlingUpgraded"",""Machinarium"",""SmallBlood"",""Crystal"",""RedCrystal"",""DoryaniCold"",""OshabiHammer""]",[],"[18079,40319,50511,45183,26857,25069,719,22740,49410,25591,50949,57401,58129]",[],347,[],"[538,541]",[]
69,"earthquake_lite","[498,499,500,501,502]",[],[],[],[],[],[],[],347,[],"[538,541,539,540]",[]
70,"earthshatter","[508,511,514,517]",[15],[],[1],"[""Default"",""Verdant""]",[],"[18079,22421]",[],347,[],[1266],[]
71,"earthshatter_ancestral","[520,523,526,529]",[16],[],[4],"[""Default"",""Verdant""]",[],"[18079,22421]",[],347,[],[1266],[]
72,"ground_slam","[532,541,542]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],347,[],[4],[]
73,"ground_slam_ancestral","[552,556]",[],[],[],"[""Default"",""Blood"",""Molten"",""Bones"",""BrutusLightning"",""BrineShieldCrab"",""DefaultSpikes"",""Celestial"",""DwellerDeep"",""Oblivion"",""OnyxOblivion""]",[],"[18079,50511,19877,5799,30086,20384,21898,27572,51406,116,38576]",[],347,[],[4],[]
74,"ice_crash","[560,562,564]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[427],[]
75,"ice_crash_lite","[566,568,570]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[427],[]
76,"ice_crash_ancestral","[572,574,576]",[],[],[],"[""Default"",""Automaton""]",[],"[18079,3488]",[],347,[],[427],[]
77,"leap_slam","[578,589]",[],"[53,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],347,[],"[15,16,457]",[]
78,"leap_slam_ancestral","[630,637,644,651]",[],"[53,0,0]",[],"[""Default"",""Goat"",""Kaom"",""MysteryVariation"",""ChurchStatue"",""LabyrinthBoss"",""Electric"",""SuperGoat"",""SuperQuietGoat"",""Kitava"",""ShadowTrail"",""BestiaryRaptor"",""KitavaSnowflake"",""IncursionConstruct"",""DelveLightning"",""BetrayalElreon"",""BetrayalDash"",""NoEffects"",""SynthesisGolem"",""NewLeapSlam"",""LegionKaruiLeapSlam"",""CultistLeapSlam"",""Celestial"",""Carneval"",""BoneGolem"",""Harlequin"",""AfflictionPhysDemon"",""AfflictionPhysBoss"",""AfflictionMinion"",""StygianBoneGolem"",""HarvestHulk"",""HarvestBirddog"",""HarvestTaco"",""HarvestRhex"",""HarvestGoatman"",""DarkwoodBoneGolem"",""CelestialBoneGolem"",""HellscapeSkyStab"",""Heritage""]",[],"[18079,47520,44737,21597,21271,4209,27110,47937,30725,5816,37479,15535,33811,31491,37899,24316,24762,50559,41690,15998,37850,18949,27572,59670,11022,15800,9387,3764,33406,56396,55190,53526,41112,43302,31939,14504,56150,46444,8972]",[],347,[],"[15,16,457]",[]
79,"perforate","[656,657,658,659,660]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1187],[]
80,"perforate_ancestral","[661,662,663,664,665]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1187],[]
81,"sunder","[666,670,674]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],347,[],[597],[]
82,"sunder_ancestral","[678,682,686]",[],[],[],"[""Default"",""Blood"",""UNUSED"",""UNUSED"",""UNUSED"",""DefaultPlayer"",""Glimmerwood""]",[],"[18079,50511,64124,64124,64124,11395,61967]",[],347,[],[597],[]
83,"tectonic_slam","[690,694,698,702]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[981],[]
84,"tectonic_slam_ancestral","[706,708,710,702]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[981],[]
85,"tectonic_slam_lite","[712,714,716]",[],[],[],"[""Default"",""CrabBoss"",""HarvestHellion"",""Celestial""]",[],"[18079,48347,58149,27572]",[],347,[],[981],[]
86,"cleave","[718,722,724,727]",[],[],[],"[""Default"",""DemonCleave"",""BreachCleave"",""NoEffect"",""BreachSmallCleave"",""LegionEternalEmpire"",""BeastCleave""]",[],"[18079,34274,56897,47632,34009,21981,4403]",[],347,[],[6],[]
87,"blade_flurry_sound",[734],[],[],[],"[""Default"",""MossMonster"",""NoSound"",""Urchin""]",[],"[18079,52232,48877,39658]",[],1718,[],[25],[]
88,"piety_reverse_cleave_sound",[737],[],[],[],"[""Default"",""Beast""]",[],"[18079,4395]",[],1718,[],[496],[]
89,"purge_hound_whirling_blades_sound",[739],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[818],[]
90,"whirling_leap_sound",[741],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[531],[]
91,"maligaro_blade_flurry_sound",[743],[],[],[],"[""Default"",""MossMonster""]",[],"[18079,52232]",[],1718,[],[788],[]
92,"mortar_barrage_mine","[745,748]",[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[331],"[18079,7859,39541]",[99],347,[],[1215],[]
93,"mine_lightning_explosion",[751],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[333],"[18079,7859,39541]",[],347,[],[1216],[]
94,"cold_projectile_mine",[754],[],[],[],"[""Default"",""CorruptedEmperor"",""Stygian""]",[335],"[18079,7859,39541]",[102],347,[],[1217],[]
95,"poisonous_concoction","[765,757,767]",[],"[108,0]",[],"[""Default""]",[402],[18079],[105],347,[],[1346],[]
96,"poisonous_concoction_wall","[765,758]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
97,"poisonous_concoction_lite","[765,759]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
98,"poisonous_concoction_wall_lite","[765,760]",[],[],[],"[""Default""]",[],[18079],[],347,[],[1346],[]
99,"glacial_cascade","[769,773]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],347,[],[1289],[]
100,"glacial_cascade_lite","[777,778]",[],[],[],"[""Default"",""Gore"",""Arctic"",""Illusionist""]",[],"[18079,63064,59603,54759]",[],347,[],[1289],[]
101,"glacial_cascade_old",[779],[],[],[],"[""Default"",""Dark"",""Miner"",""Chaos"",""Molten"",""Ornaments"",""Seawitch"",""Wave"",""Gemling"",""GemlingUpgraded"",""Lightning"",""AbyssBatVomit"",""Arctic"",""Illusionist"",""Stranglecharm""]",[],"[18079,5676,52447,38322,19877,35565,49065,24110,25069,719,41050,34205,59603,54759,21597]",[],347,[],"[285,286,287]",[]
102,"arc","[794,806,808]",[17],"[61,0]",[],"[""Default"",""Guardian"",""Piety"",""BreachLightning"",""PurpleMTX"",""Clockwork"",""Automaton"",""Sulphite"",""Celestial"",""BlightLightning"",""WithCurve"",""BreachLightningNew"",""HellscapeFleshFodder"",""AtlasInvadersConsumeFodder2""]",[337],"[18079,57229,56950,58664,43085,56503,3488,48680,27572,11101,57028,2612,44603,7272]",[],347,[],"[47,48,1360]",[]
103,"chronomancer","[819,820,821]",[],"[65,0,0]",[],"[""Default""]",[],[18079],[],347,[],[1348],[]
104,"flame_wall","[822,826]",[],[],[7],"[""Default"",""Stygian"",""Oblivion"",""Transcendence""]",[340],"[18079,39541,116,28088]",[],347,[],[1280],[]
105,"plague_bearer","[830,833,836,839]",[],[],[],"[""Default"",""Stygian""]","[345,349,353,357]","[18079,39541]",[],347,[],[1210],[]
106,"storm_brand","[842,845,848,851,854]","[31,0]",[],[],"[""Default"",""Automaton"",""Celestial""]",[],"[18079,3488,27572]",[],347,[],[1122],[]
107,"armageddon_brand","[857,859,861,863,865,867]",[37],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],347,[],[1134],[]
108,"arcanist_brand","[869,871,873,875]",[39],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],347,[],[1256],[]
109,"penance_brand","[877,879,881,883,885,887]","[41,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[360,362]","[18079,64124,27572]",[],347,[],[1264],[]
110,"winter_brand","[889,891,893,895,897]","[45,0]",[],[],"[""Default"",""UNUSED"",""Celestial""]","[364,366,368]","[18079,64124,27572]",[],347,[],[1265],[]
111,"shield_charge","[899,904,909,914,919,924,928,933]",[],"[112,0,0,0,115]",[],"[""Default"",""UNUSED"",""Kitava"",""Tibbs"",""Misery"",""Deepwater""]",[],"[18079,64124,5816,63659,32478,57983]",[],347,[],"[10,1288]",[]
112,"tornado","[1092,1104,1106,1108,1110,1112,1114,1116,1118,1120,1122]",[],[],[],"[""Default"",""Shark""]",[],"[18079,39872]",[],347,[78],[1350],[]
113,"barrage_bow","[935,943,951]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[107],347,[],[272],[]
114,"barrage_wand","[939,947,951]",[],[],[],"[""Default"",""Snipe"",""Celestial"",""Blood"",""NonStick""]",[],"[18079,61594,27572,50511,13004]",[112],347,[],[272],[]
115,"flame_dash","[953,967]",[],[135],[],"[""Default"",""Cold"",""Harbinger"",""FireIceMicro"",""Blue"",""Wasteland"",""Corsair"",""Stygian"",""Black"",""Scientist"",""Demonic"",""Nightfall"",""Siren"",""Auspicious""]",[],"[18079,13381,41619,11119,52194,53281,51220,39541,25619,64816,61278,57192,42935,45563]",[],347,[],[434],[]
116,"virulent_arrow","[968,972,976,980,984,988,992,996,1000]",[],[136],[],"[""Default"",""BlackLotus"",""Celestial""]",[],"[18079,33766,27572]","[116,120,124]",347,[],[1087],[]
117,"blight_channel","[1004,1009,1010,1014,1018,1023]",[],[],[],"[""Default"",""Celestial"",""Sunprism"",""Scientist"",""Project""]","[373,378]","[18079,27572,52008,64816,55295]",[],347,[],"[610,611]",[]
118,"tempest_shield","[1028,1030,1032,1034]",[49],[140],[],"[""Default"",""Celestial""]",[],"[18079,27572]",[],347,[],[130],[]
119,"wither_channelled","[1036,1043]",[],[],[],"[""Default"",""Arcane"",""Celestial"",""Sunprism"",""Scientist"",""Demonic"",""Project""]","[380,386]","[18079,47901,27572,52008,64816,61278,55295]",[],347,[],[545],[]
120,"soul_link","[1050,1051]",[51],[146],[],"[""Default""]","[388,389]",[18079],[],347,[],[1352],[]
121,"storm_blade","[1052,1054]",[],[],[],"[""Default"",""Celestial""]",[390],"[18079,27572]",[],347,[],[1351],[]
122,"flame_link","[1056,1057]",[52],[147],[],"[""Default""]","[391,392]",[18079],[],347,[],[1353],[]
123,"remora_link","[1058,1059]",[53],[148],[],"[""Default""]","[393,394]",[18079],[],347,[],[1354],[]
124,"bulwark_link","[1060,1061]",[54],[149],[],"[""Default""]","[395,396]",[18079],[],347,[],[1355],[]
125,"trigger_link","[1062,1063]",[55],[150],[],"[""Default""]","[397,398]",[18079],[],347,[],[1356],[]
126,"critical_link","[1064,1065]",[56],[151],[],"[""Default""]","[399,400]",[18079],[],347,[],[1357],[]
127,"brand_surge","[1066,1067,1068,1069,1070,1071]",[57],[],[],"[""Default"",""UNUSED"",""Celestial""]",[],"[18079,64124,27572]",[],347,[],[1259],[]
128,"lightning_arrow","[1084,1088]",[],[],[],"[""Default"",""Blood"",""Divine""]",[],"[18079,50511,29263]",[128],347,[],[141],[]
