"rownum","rid","i32","i32","bool","string","[rid]","i32","[i32]","i32","i32"
15,1,14,115,"","BattlePassTwoMageblood",[3861],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",382,406
16,2,0,0,"","BattlePassThreeDarknessEnthroned",[3924],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",375,399
17,2,2,10,"","BattlePassThreeColdIronPoint",[3928],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",376,400
18,2,4,20,"","BattlePassThreeKaruiTimelessJewel",[3931],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",377,401
19,2,6,30,"","BattlePassThreeMagnaEclipsis",[3936],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",378,402
20,2,8,40,"","BattlePassThreeEternalTimelessJewel",[3933],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",379,403
21,2,10,50,"","BattlePassThreeGravebind",[3935],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",380,404
22,2,12,60,"","BattlePassThreeVaalTimelessJewel",[3930],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",381,405
23,2,14,70,"","BattlePassThreeLegacyOfFury",[3934],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",382,406
24,2,16,80,"","BattlePassThreeTemplarTimelessJewel",[3932],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",1264,1268
25,2,18,90,"","BattlePassThreeFarrulsFur",[3925],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",1265,1269
26,2,20,100,"","BattlePassThreeMarakethTimelessJewel",[3929],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",1266,1270
27,2,22,115,"","BattlePassThreeCosprisMalice",[3927],0,"[0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,7929924,7209065,5439591,7209077,0,3760,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6619201,6881383,4259955,7471221,7471215,97,246218752,0,0,0,4325376,7602273,7078004,5242981,7536737,5177459,6619246,7471169,6815843,6619246,6619245,6881395,4718707,7209057,7536740,6684783,6815860,4718693,6750313,5505128,7143525,7078000,7471201,0,3756,0,0,0,6357058,7602292,6619244,6357072,7536755,7209039,4259941,6488178,7209064,7143525,7536741,7536745,6357072,6357106,7274596,6881400,6357091,0,3759,0,0,0,6357058,7602292,6619244,6357072]",1267,1271
