"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name","FlavourText","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
50,"4_town",610,370,58,[58],"Highgate","A frail scab of hope holds Nightmare at bay.",[673],4,"4_town",[672],-16843010,-16843010,-16843010,-16843010,""
51,"4_1",749,477,59,[59],"The Aqueduct","The rushing lifeblood of a long-dead Empire.",[],4,"4_1",[673],-16843010,-16843010,-16843010,-16843010,""
52,"4_2",315,518,"",[60],"The Dried Lake","Bones of betrayal, ashes of purity.",[672],4,"4_2",[674],-16843010,-16843010,-16843010,-16843010,""
53,"4_3_1",555,275,"","[61,62]","The Mines","Disease in the darkness.",[672],4,"4_3_2","[675,0]",-16843010,-16843010,-16843010,-16843010,""
54,"4_3_3",474,236,63,[63],"The Crystal Veins","Gifts of the Beast, awaiting plunder.","[675,0]",4,"4_3_3",[677],-16843010,-16843010,-16843010,-16843010,""
55,"4_4_1",292,344,"",[64],"Kaom's Dream","Fury and flame come to life.",[677],4,"4_4_1",[678],-16843010,-16843010,-16843010,-16843010,""
56,"4_4_3",196,289,65,[65],"Kaom's Stronghold","A holdfast built of hubris.","[678,0]",4,"4_4_3",[680],-16843010,-16843010,-16843010,-16843010,""
57,"4_5_1",534,144,"",[66],"Daresso's Dream","No matter how far you climb, you never escape the Pits.",[677],4,"4_5_1",[681],-16843010,-16843010,-16843010,-16843010,""
58,"4_5_2",464,90,67,[67],"The Grand Arena","Dripping blood and weeping flowers.","[681,0]",4,"4_5_3",[682],-16843010,-16843010,-16843010,-16843010,""
59,"4_6_1",372,194,"","[68,69]","The Belly of the Beast","Enter the Nightmare.",[677],4,"4_6_1","[683,0]",-16843010,-16843010,-16843010,-16843010,""
60,"4_6_3",280,144,70,[70],"The Harvest","Where dreams come to die.",[683],4,"4_6_3",[685],-16843010,-16843010,-16843010,-16843010,""
61,"4_7",729,154,"",[71],"The Ascent","The greater the rise, the greater the fall.",[664],4,"4_7",[313],-16843010,-16843010,-16843010,-16843010,""
62,"5_town",164,285,73,[73],"Overseer's Tower","Vengeance is the slave's ultimate reward.",[317],5,"5_town",[1040],-16843010,-16843010,-16843010,-16843010,""
63,"5_1",75,298,72,[72],"The Slave Pens","In Oriath's darkest corner, the spark of rebellion ignites.",[],5,"5_1",[317],-16843010,-16843010,-16843010,-16843010,""
64,"5_2",230,350,"",[74],"The Control Blocks","The illusion of control is swiftly severed by the blade of reality.",[1040],5,"5_2",[1041],-16843010,-16843010,-16843010,-16843010,""
65,"5_3",406,224,75,[75],"Oriath Square","What was once the heart of the city is now the heart of the battle.",[1041],5,"5_3",[1042],1071,0,0,0,""
66,"5_3b",406,224,76,[76],"The Ruined Square","Oriath's bleeding heart is the main course in a terrible feast.","[1045,0,0]",5,"5_3b",[1043],-16843010,-16843010,-16843010,-16843010,""
67,"5_4",720,440,77,[77],"The Templar Courts","Only those with faithful eyes may enter these solemn chambers unbidden.",[1042],5,"5_4",[1044],1071,0,0,0,""
68,"5_4b",720,440,"",[78],"The Torched Courts","Fuelled by blood and chaos, a dark inferno engulfs the halls of justice.",[1071],5,"5_4b",[1045],-16843010,-16843010,-16843010,-16843010,""
69,"5_5",660,505,79,[79],"The Chamber of Innocence","In this holiest of sanctums, the High Templar communes with God and delivers His divine judgement.",[1044],5,"5_5",[1046],-16843010,-16843010,-16843010,-16843010,""
70,"5_6",687,150,"",[80],"The Ossuary","The faithful dead watch over the city with hollow eyes.","[1043,0]",5,"5_6",[1047],-16843010,-16843010,-16843010,-16843010,""
71,"5_7",326,418,81,[81],"The Reliquary","A trove of shameful relics displayed with pride.","[1043,0]",5,"5_7",[1048],-16843010,-16843010,-16843010,-16843010,""
72,"5_8",340,130,82,[82],"The Cathedral Rooftop","Atop this burning monument to arrogance, Oriath's final hope remains.",[1043],5,"5_8",[1049],-16843010,-16843010,-16843010,-16843010,""
73,"6_town",195,475,83,[83],"Lioneye's Watch","The shivering tides bring little hope, only desperation and despair.",[],6,"6_town",[1138],-16843010,-16843010,-16843010,-16843010,""
74,"6_1",176,520,"",[84],"The Twilight Strand","Those that now wash ashore seek no warmth or shelter, only to fill a bottomless void of pain and hunger.",[1138],6,"6_1",[1139],-16843010,-16843010,-16843010,-16843010,""
75,"6_2",200,420,85,[85],"The Coast","The Ancestors return to conquer these shores once again.",[1138],6,"6_2",[1140],-16843010,-16843010,-16843010,-16843010,""
76,"6_3",240,450,"",[86],"The Tidal Island","As the tide rises, hope is drowned.",[1140],6,"6_3",[1141],-16843010,-16843010,-16843010,-16843010,""
77,"6_4",235,380,"",[87],"The Mud Flats","Mud and blood make a fine war paint.",[1140],6,"6_4",[1142],-16843010,-16843010,-16843010,-16843010,""
78,"6_5",180,345,"",[88],"The Karui Fortress","The waters here, once stagnant and foul, now run clear with an ancient bloodlust.",[1142],6,"6_5",[1143],-16843010,-16843010,-16843010,-16843010,""
79,"6_6",176,265,89,[89],"The Ridge","The air is thin, the way is narrow.",[1143],6,"6_6",[1144],-16843010,-16843010,-16843010,-16843010,""
80,"6_7",210,200,90,"[90,91]","The Prison","Echoes of the past bring new life to an old experiment.",[1144],6,"6_7","[1145,0]",-16843010,-16843010,-16843010,-16843010,""
81,"6_8",270,200,92,[92],"Prisoner's Gate","The hunting grounds of a cloven god.","[1145,0]",6,"6_8",[1147],-16843010,-16843010,-16843010,-16843010,""
82,"6_9",280,150,93,[93],"The Western Forest","What madness flitters and creeps through the darkened trees?",[1147],6,"6_9",[1148],-16843010,-16843010,-16843010,-16843010,""
83,"6_10",370,180,94,[94],"The Riverways","These violent waters carry portents of death.",[1148],6,"6_10",[1149],-16843010,-16843010,-16843010,-16843010,""
84,"6_11",350,130,"",[95],"The Wetlands","A corpulent grub flails mindlessly, infesting the putrescent muck.",[1149],6,"6_11",[1150],-16843010,-16843010,-16843010,-16843010,""
85,"6_12",450,200,96,[96],"The Southern Forest","Insidious pupa populate under sweltering heat.",[1149],6,"6_12",[1151],-16843010,-16843010,-16843010,-16843010,""
86,"6_13",460,250,"",[97],"The Cavern of Anger","Stalactites drip in mourning for an ocean queen.",[1151],6,"6_13",[1152],-16843010,-16843010,-16843010,-16843010,""
87,"6_14",540,250,98,[98],"The Beacon","An echo of destiny consumes the land.",[1152],6,"6_14",[1153],-16843010,-16843010,-16843010,-16843010,""
88,"6_15",714,197,99,[99],"The Brine King's Reef","A coral throne for a salt-soured god.",[1153],6,"6_15",[1154],-16843010,-16843010,-16843010,-16843010,""
89,"7_town",675,218,100,[100],"The Bridge Encampment","Surviving rodents cling tight to cracks found in the masonry.",[],7,"7_town",[1254],-16843010,-16843010,-16843010,-16843010,""
90,"7_1",617,234,"",[101],"The Broken Bridge","The stonework trembles atop this petrified land.",[1254],7,"7_1",[1255],-16843010,-16843010,-16843010,-16843010,""
91,"7_2",587,322,102,[102],"The Crossroads","Ancient cruelty tears through the cobbled intersection.",[1255],7,"7_2",[1256],-16843010,-16843010,-16843010,-16843010,""
92,"7_3",663,402,"",[103],"The Fellshrine Ruins","A spirit of sadism blemishes the earth.",[1256],7,"7_3",[1257],-16843010,-16843010,-16843010,-16843010,""
93,"7_4",739,414,104,[104],"The Crypt","Ancestral memories given life, then soured.",[1257],7,"7_4",[1258],-16843010,-16843010,-16843010,-16843010,""
94,"7_5",499,235,105,"[105,106]","The Chamber of Sins","Decrepit ruins born again. A lusting evil stalks its halls.",[1256],7,"7_5","[1259,0]",-16843010,-16843010,-16843010,-16843010,""
95,"7_5_map",435,200,"",[107],"Maligaro's Sanctum","The inner depths of decadent darkness.","[1259,0]",7,"7_5_map",[1261],-16843010,-16843010,-16843010,-16843010,""
96,"7_6",487,347,108,[108],"The Den","Sodden spores flourish and feast on decaying flesh.","[1259,0]",7,"7_6",[1262],-16843010,-16843010,-16843010,-16843010,""
97,"7_7",485,458,109,[109],"The Ashen Fields","Scorched earth and slumbering cinder.","[1256,0]",7,"7_7",[1263],-16843010,-16843010,-16843010,-16843010,""
98,"7_8",170,307,110,[110],"The Northern Forest","Wooden sentinels tower above.",[1263],7,"7_8",[1264],-16843010,-16843010,-16843010,-16843010,""
99,"7_9",96,344,"",[111],"The Dread Thicket","Dripping with anger and grief, the ancient thicket weeps.",[1264],7,"7_9",[1265],-16843010,-16843010,-16843010,-16843010,""
100,"7_10",206,203,112,[112],"The Causeway","Primordial ruins guard antiquarian secrets.",[1264],7,"7_10",[1266],-16843010,-16843010,-16843010,-16843010,""
101,"7_11",155,161,113,[113],"The Vaal City","Ancient and arcane, a civilisation lost to the dust of history.",[1266],7,"7_11",[1267],-16843010,-16843010,-16843010,-16843010,""
102,"7_12",96,139,"","[114,115]","The Temple of Decay","Arachnoid servants dribble and drool, coveting pilgrim flesh to feed abhorrent desires.",[1267],7,"7_12","[1268,0]",-16843010,-16843010,-16843010,-16843010,""
103,"8_1",682,429,116,[116],"The Sarn Ramparts","A parapet shakes beneath a billowing sky.",[],8,"8_1",[1373],-16843010,-16843010,-16843010,-16843010,""
104,"8_town",461,369,117,[117],"The Sarn Encampment","A shaky peace descends, though swords will never rest.",[1373],8,"8_town",[1374],-16843010,-16843010,-16843010,-16843010,""
105,"8_2",461,290,119,"[118,119]","The Toxic Conduits","Spells of blood foul the waters below.",[1374],8,"8_2",[1330],-16843010,-16843010,-16843010,-16843010,""
106,"8_3",286,307,"",[120],"The Grand Promenade","A favourite walk of noble lords, now fallen into disrepair.","[1330,0]",8,"8_3",[1331],-16843010,-16843010,-16843010,-16843010,""
107,"8_4",214,233,"",[121],"The High Gardens","Creeping dread chokes life from this thriving terrace.",[1412],8,"8_4",[1411],-16843010,-16843010,-16843010,-16843010,""
108,"8_5",291,233,122,[122],"The Bath House","Hidden sin where revelry thrives.","[1331,0]",8,"8_5",[1412],-16843010,-16843010,-16843010,-16843010,""
109,"8_6",295,178,123,[123],"The Lunaris Concourse","Allegiances falter like the waning of the moon.","[1412,0]",8,"8_6",[1413],-16843010,-16843010,-16843010,-16843010,""
110,"8_7",188,169,124,"[124,125]","The Lunaris Temple","Gibbous beauty eclipsed by a sisters' feud.",[1413],8,"8_7",[1414],-16843010,-16843010,-16843010,-16843010,""
111,"8_8",565,270,"",[126],"The Quay","The restless dead shift 'neath darkened waters.","[1330,0]",8,"8_8",[1415],-16843010,-16843010,-16843010,-16843010,""
112,"8_9",662,252,127,[127],"The Grain Gate","A barrier trembles before undying feet.","[1415,0]",8,"8_9",[1416],-16843010,-16843010,-16843010,-16843010,""
113,"8_10",781,164,128,[128],"The Imperial Fields","The savagery of war stains both muck and mire.","[1416,0]",8,"8_10",[1417],-16843010,-16843010,-16843010,-16843010,""
114,"8_11",478,140,129,[129],"The Solaris Concourse","Conquered by the fog of war.","[1419,0]",8,"8_11",[1418],-16843010,-16843010,-16843010,-16843010,""
115,"8_12",540,92,130,"[130,131]","The Solaris Temple","Luminary flares extinguished by burning pride.","[1418,0]",8,"8_12",[1419],-16843010,-16843010,-16843010,-16843010,""
116,"8_13",405,195,"",[132],"The Harbour Bridge","A dark unrest sends ribbons to war.","[1413,0]",8,"8_13",[1420],-16843010,-16843010,-16843010,-16843010,""
117,"9_1",364,506,133,[133],"The Blood Aqueduct","A mighty spillway tainted by tarrish blacks and sanguine reds.",[],9,"9_1",[1500],-16843010,-16843010,-16843010,-16843010,""
118,"9_town",252,425,134,[134],"Highgate","Survivors huddle 'neath baleful shadows of rot and decay.",[1500],9,"9_town",[1501],-16843010,-16843010,-16843010,-16843010,""
119,"9_2",460,326,"",[135],"The Descent","A freezing drop to test one's resolve.",[1501],9,"9_2",[1528],-16843010,-16843010,-16843010,-16843010,""
120,"9_3",680,508,136,[136],"The Vastiri Desert","Blustering sand, sharper than a bandit's blade.",[1528],9,"9_3",[1529],-16843010,-16843010,-16843010,-16843010,""
121,"9_4",805,334,"",[137],"The Oasis","A paradise hidden amongst sunbleached bones and blistering dunes.",[1529],9,"9_4",[1530],-16843010,-16843010,-16843010,-16843010,""
122,"9_5",640,285,138,[138],"The Foothills","The secrets of history lie hidden among layers of dirt and sand.",[1529],9,"9_5",[1531],-16843010,-16843010,-16843010,-16843010,""
123,"9_6",590,193,"",[139],"The Boiling Lake","These corrosive waters devour both flesh and bone.",[1531],9,"9_6",[1532],-16843010,-16843010,-16843010,-16843010,""
124,"9_7",491,191,140,[140],"The Tunnel","Unspeakable horrors filigree and haunt the nameless dark.",[1531],9,"9_7",[1533],-16843010,-16843010,-16843010,-16843010,""
125,"9_8",376,161,141,[141],"The Quarry","A monstrous terror stalks chthonic mines, yearning for the boundless sky.",[1533],9,"9_8",[1534],-16843010,-16843010,-16843010,-16843010,""
126,"9_9",396,113,"",[142],"The Refinery","Madness was visited upon those who dug too deep.",[1534],9,"9_9",[1535],-16843010,-16843010,-16843010,-16843010,""
127,"9_10",163,137,"",[143],"The Belly of the Beast","Once flushed with the warmness of blood, now festering; consumed by fungal rot.",[1534],9,"9_10_1",[1536],-16843010,-16843010,-16843010,-16843010,""
128,"9_11",83,195,"",[144],"The Rotting Core","The putrid interior oozes and spoils.",[1536],9,"9_10_2",[1537],-16843010,-16843010,-16843010,-16843010,""
129,"10_town",262,60,145,[145],"Oriath Docks","A final refuge, backed hard against the waves of a raging sea.",[],10,"10_town",[1538],-16843010,-16843010,-16843010,-16843010,""
130,"10_1",340,130,"",[146],"The Cathedral Rooftop","From above, the true scope of carnage is clearly espied.",[1538],10,"10_1",[1539],-16843010,-16843010,-16843010,-16843010,""
131,"10_2",406,224,147,[147],"The Ravaged Square","A flourishing place of trade, barely recognizable amidst the countless deaths.",[1539],10,"10_2",[1540],-16843010,-16843010,-16843010,-16843010,""
132,"10_3",720,440,"",[148],"The Torched Courts","Pious priests once dealt cruel justice within these halls, now they both smoulder in silent agony.",[1540],10,"10_3",[1541],-16843010,-16843010,-16843010,-16843010,""
133,"10_4",660,505,149,[149],"The Desecrated Chambers","Mad men toil under smoking skies to pervert a holy sanctum.",[1541],10,"10_4",[1542],-16843010,-16843010,-16843010,-16843010,""
134,"10_5",640,223,"",[150],"The Canals","A man-made rupture from which both blood and water flow.",[1540],10,"10_5",[1543],-16843010,-16843010,-16843010,-16843010,""
135,"10_6",750,215,"",[151],"The Feeding Trough","Cries of torment and pathetic moans as the unholy banquet of flesh continues.",[1543],10,"10_6",[1544],-16843010,-16843010,-16843010,-16843010,""
136,"10_7",230,350,152,[152],"The Control Blocks","Sadists and cut-throats break both bone and brain.",[1540],10,"10_7",[1545],-16843010,-16843010,-16843010,-16843010,""
137,"10_8",326,418,153,[153],"The Reliquary","Empty, broken shelves linger, looted and forgotten in the wake of this horrid war.",[1540],10,"10_8",[1546],-16843010,-16843010,-16843010,-16843010,""
138,"10_9",687,150,"",[154],"The Ossuary","The dead offer thanks, for they have been spared this final savagery.",[1540],10,"10_9",[1547],-16843010,-16843010,-16843010,-16843010,""
139,"11_town2",781,354,163,[163],"Karui Shores","The fates of two peoples now stand reversed, but history has taught the Oriathans humility and the Karui mercy.",[],11,"11_town2",[1548],-16843010,-16843010,-16843010,-16843010,""
