"rownum","Id","Name","Metadata","rid","NPCMasterKey","ShortName","i32","NPCShop","NPCAudios1","NPCAudios2","i32","row","Portrait","DialogueStyle"
26,"Metadata/NPC/Act3/Siosa","Siosa","Metadata/NPC/NPC",844,"","",3,22,[26],[27],4688,"","",""
27,"Metadata/NPC/Act3/Fairgraves","Captain Fairgraves","Metadata/NPC/NPC","","","Fairgraves",3,"",[28],[],34430,"","",""
28,"Metadata/NPC/Piety","Piety","Metadata/NPC/NPC","","","",0,"",[],[],26069,"","",""
29,"Metadata/NPC/Gravicius","Gravicius","Metadata/NPC/NPC","","","",0,"",[],[],4169,"","",""
30,"Metadata/NPC/Dominus","Dominus","Metadata/NPC/NPC","","","",0,"",[],[],1936,"","",""
31,"Metadata/NPC/Act4/Kaom","King Kaom","Metadata/NPC/NPC","","","Kaom",0,"",[],[],47573,"","",""
32,"Metadata/NPC/Act4/Maligaro","Maligaro, the Inquisitor","Metadata/NPC/NPC","","","Maligaro",0,"",[],[],49964,"","",""
33,"Metadata/NPC/Act4/Shavronne","Shavronne","Metadata/NPC/NPC","","","",0,"",[],[],17132,"","",""
34,"Metadata/NPC/Act4/Malachai","Malachai","Metadata/NPC/NPC","","","",0,"",[],[],44799,"","",""
35,"Metadata/NPC/Act4/Daresso","Daresso","Metadata/NPC/NPC","","","",0,"",[],[],15106,"","",""
36,"Metadata/NPC/Oba","Oba","Metadata/NPC/NPC","","","",0,"",[],[],8075,"","",""
37,"Metadata/NPC/Info/ArteriLetter","Arteri's Letter","Metadata/NPC/Info/StoryGlyphBase",1903,"","",2,"",[],[],55906,"","",""
38,"Metadata/NPC/Info/BeachEncampmentNotes","Letters of Exile","Metadata/NPC/Info/StoryGlyphBase","","","",1,"",[],[],10293,"","",""
39,"Metadata/NPC/Info/Karui/Stone1","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",535,"","",1,"",[],[],44124,"","",""
40,"Metadata/NPC/Info/Karui/Stone2","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",536,"","",1,"",[],[],24108,"","",""
41,"Metadata/NPC/Info/Karui/Stone3","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",537,"","",1,"",[],[],62981,"","",""
42,"Metadata/NPC/Info/Karui/Stone4","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",538,"","",1,"",[],[],26729,"","",""
43,"Metadata/NPC/Info/Karui/Stone5","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",539,"","",1,"",[],[],1018,"","",""
44,"Metadata/NPC/Info/Karui/Stone6","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",540,"","",1,"",[],[],29978,"","",""
45,"Metadata/NPC/Info/Karui/Stone7","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",541,"","",1,"",[],[],27364,"","",""
46,"Metadata/NPC/Info/Victario/GraffitiIntro","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger",543,"","",3,"",[],[],28999,"","",""
47,"Metadata/NPC/Info/Victario/GraffitiSlum","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger",544,"","",3,"",[],[],28857,"","",""
48,"Metadata/NPC/Info/Victario/GraffitiWarehouse","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger",545,"","",3,"",[],[],6306,"","",""
49,"Metadata/NPC/Info/Victario/GraffitiBattlefront","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffitiLarger",546,"","",3,"",[],[],3594,"","",""
50,"Metadata/NPC/Info/Victario/GraffitiDocks","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffiti",547,"","",3,"",[],[],17612,"","",""
51,"Metadata/NPC/Info/Victario/GraffitiChurch","Ancient Graffiti","Metadata/NPC/Info/VictarioGraffiti",548,"","",3,"",[],[],63878,"","",""
52,"Metadata/NPC/Info/Victario/Notebook","Ancient Notebook","Metadata/NPC/Info/VictarioGraffiti",549,"","",3,"",[],[],36425,"","",""
53,"Metadata/NPC/Info/MerveilSkin","Sailor's Skin","Metadata/NPC/Info/StoryGlyphBase",883,"","",1,"",[],[],38586,"","",""
54,"Metadata/NPC/Info/MerveilDiary","Damp Diary","Metadata/NPC/Info/MerveilDiary",884,"","",1,"",[],[],46840,"","",""
55,"Metadata/NPC/Act3/Scion","Scion","Metadata/NPC/NPC","","","",0,"",[],[],3163,"","",""
56,"Metadata/NPC/Info/MapDevice","Reverie Device","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],58127,"","",""
57,"Metadata/NPC/Info/MapDeviceOld","Ancient Reverie Device","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],24247,"","",""
58,"Metadata/NPC/Info/GemCart","Transmutia Device","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],50078,"","",""
59,"Metadata/NPC/Info/LibraryGaribaldi1","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],34418,"","",""
60,"Metadata/NPC/Info/LibraryGaribaldi2","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],1144,"","",""
61,"Metadata/NPC/Info/LibraryGaribaldi3","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],63906,"","",""
62,"Metadata/NPC/Info/LibraryGaribaldi4","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],44718,"","",""
63,"Metadata/NPC/Info/LibraryGaribaldi5","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],60557,"","",""
64,"Metadata/NPC/Info/LibraryGaribaldi6","The Purity Chronicles","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],9070,"","",""
65,"Metadata/NPC/Info/LibraryVictario1","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],17746,"","",""
66,"Metadata/NPC/Info/LibraryVictario2","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],12556,"","",""
67,"Metadata/NPC/Info/LibraryVictario3","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],56503,"","",""
68,"Metadata/NPC/Info/LibraryVictario4","Victario's Writings","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],15319,"","",""
69,"Metadata/NPC/Info/LibraryMilitary1","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],59906,"","",""
70,"Metadata/NPC/Info/LibraryMilitary2","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],17761,"","",""
71,"Metadata/NPC/Info/LibraryMilitary3","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],24435,"","",""
72,"Metadata/NPC/Info/LibraryMilitary4","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],59712,"","",""
73,"Metadata/NPC/Info/LibraryMilitary5","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],36408,"","",""
74,"Metadata/NPC/Info/LibraryMilitary6","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],58066,"","",""
75,"Metadata/NPC/Info/LibraryMilitary7","The Ancients","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],65463,"","",""
76,"Metadata/NPC/Info/MalachaiStatue","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],38593,"","",""
77,"Metadata/NPC/Info/CrossroadsLoreChapel","Etchings on Wood IV","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],12945,"","",""
78,"Metadata/NPC/Info/CrossroadsLoreWindmill","Etchings on Wood III","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],51508,"","",""
79,"Metadata/NPC/Info/CrossroadsLoreVilla","Etchings on Wood I","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],39369,"","",""
80,"Metadata/NPC/Info/CrossroadsLoreVilla2","Etchings on Wood II","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],50116,"","",""
81,"Metadata/NPC/Info/HighgateNote","Note","Metadata/NPC/Info/HighgateNote",1904,"","",4,"",[],[],15156,"","",""
82,"Metadata/NPC/Info/GeofriPlaque","Plaque","Metadata/NPC/Info/GeofriPlaque","","","",2,"",[],[],39324,"","",""
83,"Metadata/NPC/Info/TallStones","Proclamation","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],54017,"","",""
84,"Metadata/NPC/Info/DaressoStatue1","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",4,"",[],[],45610,"","",""
85,"Metadata/NPC/Info/DaressoStatue2","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",4,"",[],[],16596,"","",""
86,"Metadata/NPC/Info/DaressoStatue3","Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",4,"",[],[],3593,"","",""
87,"Metadata/NPC/Info/KaomCarving1","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",845,"","",4,"",[],[],564,"","",""
88,"Metadata/NPC/Info/KaomCarving2","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",846,"","",4,"",[],[],40337,"","",""
89,"Metadata/NPC/Info/KaomCarving3","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",847,"","",4,"",[],[],6484,"","",""
90,"Metadata/NPC/Info/KaomCarving4","Weathered Carving","Metadata/NPC/Info/StoryGlyphBase",848,"","",4,"",[],[],539,"","",""
91,"Metadata/Chests/DescentChests/DescentChestNPC1","Chest 1","Metadata/Chests/DescentChests/DescentChestNPC1","","","",0,"",[],[],4938,"","",""
92,"Metadata/Chests/DescentChests/DescentChestNPC2","Chest 2","Metadata/Chests/DescentChests/DescentChestNPC2","","","",0,"",[],[],3654,"","",""
93,"Metadata/NPC/Info/LioneyesStandard","Lioneye's Standard","Metadata/NPC/Info/LioneyesStandard","","","",1,"",[],[],14171,"","",""
94,"Metadata/NPC/Info/ResonatorInstructions","Resonator Instructions","Metadata/NPC/Info/StoryGlyphBase","","","",4,"",[],[],39319,"","",""
95,"Metadata/NPC/Info/VollBookStand","Voll's Confession","Metadata/NPC/Info/VollBookStand","","","",4,"",[],[],44510,"","",""
96,"Metadata/NPC/Info/MalachaiNotebook","Malachai's Notebook","Metadata/NPC/Info/MalachaiNotebook","","","",4,"",[],[],34396,"","",""
97,"Metadata/NPC/Info/MalachaiSkinscrawl","Malachai's Dedication","Metadata/NPC/Info/StoryGlyphBase","","","",4,"",[],[],37261,"","",""
98,"Metadata/NPC/Act4/Kira","Kira","Metadata/NPC/NPC","","","",4,3,[29],[30],15766,"","",""
99,"Metadata/NPC/Act4/Oyun","Oyun","Metadata/NPC/NPC","","","",4,"",[31],[32],28124,"","",""
100,"Metadata/NPC/Act4/PetarusVanja","Petarus and Vanja","Metadata/NPC/NPC","","","",4,14,[33],[34],4042,"","",""
101,"Metadata/NPC/Act4/DiallaAqueduct","Lady Dialla","Metadata/NPC/NPC","","","Dialla",4,"",[35],[36],57953,"","",""
102,"Metadata/NPC/Act4/DiallaTown","Lady Dialla","Metadata/NPC/NPC","","","Dialla",4,"",[35],[36],56106,"","",""
103,"Metadata/NPC/Act4/DiallaRapture","Lady Dialla","Metadata/NPC/NPC","","","Dialla",4,"",[37],[38],24452,"","",""
104,"Metadata/NPC/Act4/DiallaTownWithered","Dialla","Metadata/NPC/NPC","","","Dialla",4,"",[39],[40],1187,"","",""
105,"Metadata/NPC/Act4/PietyHarvest","Piety","Metadata/NPC/NPC","","","Piety",4,"",[],[],59741,"","",""
106,"Metadata/NPC/Act4/PietyBelly","Piety","Metadata/NPC/NPC",914,"","Piety",4,"",[],[],3299,"","",""
107,"Metadata/NPC/Act4/Tasuni","Tasuni","Metadata/NPC/NPC","","","",4,"",[41],[42],59327,"","",""
108,"Metadata/NPC/Missions/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",0,"",[43],[],46300,"","",""
109,"Metadata/NPC/Missions/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",0,"",[44],[],21665,"","",""
110,"Metadata/NPC/Missions/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",0,"",[45],[],26690,"","",""
111,"Metadata/NPC/Missions/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",0,"",[46],[],53311,"","",""
112,"Metadata/NPC/Missions/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",0,"",[47],[],58169,"","",""
113,"Metadata/NPC/Missions/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",0,"",[48],[],64231,"","",""
114,"Metadata/NPC/Missions/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",0,"",[49],[50],31791,"","",""
115,"Metadata/NPC/Missions/PvP","Leo, Master of the Arena","Metadata/NPC/NPC","","","Leo",0,"",[53],[54],25352,"","",""
116,"Metadata/NPC/Missions/Wild/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",0,"",[],[],8156,"","",""
117,"Metadata/NPC/Missions/Wild/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",0,"",[],[],55505,"","",""
118,"Metadata/NPC/Missions/Wild/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",0,"",[],[],40721,"","",""
119,"Metadata/NPC/Missions/Wild/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",0,"",[],[],18377,"","",""
120,"Metadata/NPC/Missions/Wild/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",0,"",[],[],28920,"","",""
121,"Metadata/NPC/Missions/Wild/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",0,"",[],[],8893,"","",""
122,"Metadata/NPC/Missions/Wild/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",0,"",[49],[50],62191,"","",""
123,"Metadata/NPC/Missions/Wild/Fish","Krillson, Master Fisherman","Metadata/NPC/NPC","","","Krillson",0,"",[],[],63079,"","",""
124,"Metadata/NPC/Missions/Hideout/Dex","Tora, Master of the Hunt","Metadata/NPC/NPC","","","Tora",0,"",[43],[],41323,"","",""
125,"Metadata/NPC/Missions/Hideout/Int","Catarina, Master of the Dead","Metadata/NPC/NPC","","","Catarina",0,"",[44],[],63920,"","",""
126,"Metadata/NPC/Missions/Hideout/Str","Haku, Armourmaster","Metadata/NPC/NPC","","","Haku",0,"",[45],[],21807,"","",""
127,"Metadata/NPC/Missions/Hideout/DexInt","Vorici, Master Assassin","Metadata/NPC/NPC","","","Vorici",0,"",[46],[],8998,"","",""
128,"Metadata/NPC/Missions/Hideout/StrDex","Vagan, Weaponmaster","Metadata/NPC/NPC","","","Vagan",0,"",[47],[],61442,"","",""
129,"Metadata/NPC/Missions/Hideout/StrInt","Elreon, Loremaster","Metadata/NPC/NPC","","","Elreon",0,"",[48],[],5711,"","",""
130,"Metadata/NPC/Missions/Hideout/StrDexInt","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",0,"",[49],[50],34964,"","",""
131,"Metadata/NPC/Missions/Hideout/StrDexIntDemo","Zana, Master Cartographer","Metadata/NPC/Missions/Hideout/StrDexInt","",6,"Zana",0,"",[],[],36689,"","",""
132,"Metadata/NPC/Missions/Hideout/PvP","Leo, Master of the Arena","Metadata/NPC/NPC","","","Leo",0,"",[53],[54],57706,"","",""
133,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphPrison","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",1,"",[],[],45193,"","",""
134,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphSins","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",2,"",[],[],9663,"","",""
135,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphChurch","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",2,"",[],[],15897,"","",""
136,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCrematorium","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",3,"",[],[],45387,"","",""
137,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphHedge","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",3,"",[],[],49924,"","",""
138,"Metadata/NPC/Labyrinth/LabyrinthTrialGlyphCatacombs","Bronze Monograph","Metadata/NPC/Info/StoryGlyphBase",937,"","",3,"",[],[],3135,"","",""
139,"Metadata/NPC/Labyrinth/LabyrinthGlyph0","Bronze Plaque","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],27864,"","",""
140,"Metadata/NPC/Labyrinth/LabyrinthGlyph1","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],44501,"","",""
141,"Metadata/NPC/Labyrinth/LabyrinthGlyph2","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],62790,"","",""
142,"Metadata/NPC/Labyrinth/LabyrinthGlyph3","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],64883,"","",""
143,"Metadata/NPC/Labyrinth/LabyrinthGlyph4","Bronze Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],52236,"","",""
144,"Metadata/NPC/Izaro","Izaro","Metadata/NPC/NPC","","","",0,"",[],[],61113,"","",""
145,"Metadata/NPC/Labyrinth/WeylinGlyph1","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",-1,"",[],[],19955,"","",""
146,"Metadata/NPC/Labyrinth/WeylinGlyph2","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",-1,"",[],[],2894,"","",""
147,"Metadata/NPC/Labyrinth/WeylinGlyph3","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",-1,"",[],[],44120,"","",""
148,"Metadata/NPC/Labyrinth/WeylinGlyph4","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",-1,"",[],[],61004,"","",""
149,"Metadata/NPC/Labyrinth/WeylinGlyph5","Poem","Metadata/NPC/Info/StoryGlyphSmall","","","",-1,"",[],[],18301,"","",""
150,"Metadata/NPC/Info/MalachaiGlyphPrison","Letter of Instruction","Metadata/NPC/Info/StoryGlyphBase","","","",1,"",[],[],2233,"","",""
151,"Metadata/NPC/Info/MalachaiScrollGrainGate","Official Orders","Metadata/NPC/Info/StoryGlyphBase","","","",8,"",[],[],55538,"","",""
152,"Metadata/NPC/Info/MalachaiNoteDialla","Journal Entry","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],7135,"","",""
153,"Metadata/NPC/Info/MalachaiJournalLab","Malachai's Journal","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],27248,"","",""
154,"Metadata/NPC/Info/MalachaiLetterSceptre","Letter to Chitus","Metadata/NPC/Info/StoryGlyphBase","","","",3,"",[],[],2396,"","",""
155,"Metadata/NPC/Rigwald","Rigwald","Metadata/NPC/NPC","","","",0,"",[],[],48926,"","",""
156,"Metadata/NPC/Info/RigwaldGlyph1","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],10751,"","",""
157,"Metadata/NPC/Info/RigwaldGlyph2","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],36017,"","",""
158,"Metadata/NPC/Info/RigwaldGlyph3","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],55123,"","",""
159,"Metadata/NPC/Info/RigwaldGlyph4","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],61745,"","",""
160,"Metadata/NPC/Info/RigwaldGlyph5","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],46783,"","",""
161,"Metadata/NPC/Info/RigwaldGlyph6","Inscription","Metadata/NPC/Info/StoryGlyphBase","","","",2,"",[],[],4555,"","",""
162,"Metadata/NPC/League/Perandus/Cadiro","Cadiro Perandus","Metadata/NPC/NPC","","","Cadiro",0,23,[55],[56],3122,"","",""
163,"Metadata/NPC/League/Prophecy/Navali","Navali","Metadata/NPC/NPC","","","",-1,"",[57],[58],2831,"","",""
164,"Metadata/NPC/League/Prophecy/ProphecyDarkTome","Dark Tome","Metadata/NPC/Info/StoryGlyphBase","","","",-1,"",[],[],30638,"","",""
165,"Metadata/NPC/RigwaldMap","The Cursed King","Metadata/NPC/NPC","","","",0,"",[],[],58883,"","",""
166,"Metadata/NPC/RigwaldMapSimplified","Lycius, Midnight's Howl","Metadata/NPC/NPC","","","",0,"",[],[],1246,"","",""
167,"Metadata/NPC/League/Prophecy/NavaliWild","Navali","Metadata/NPC/NPC","","","",1,"",[57],[58],44520,"","",""
168,"Metadata/NPC/League/Prophecy/NavaliHideout","Navali","Metadata/NPC/NPC","","","",-1,"",[57],[58],16710,"","",""
169,"Metadata/NPC/League/Bestiary/EinharHideout","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",0,24,[75],[76],56882,"","",1
170,"Metadata/Monsters/Masters/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,"",[],[],62051,"","",""
171,"Metadata/NPC/League/Bestiary/Einhar","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,24,[75],[76],37679,"","",1
172,"Metadata/NPC/League/Bestiary/EinharWild","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,24,[75],[76],51623,"","",""
173,"Metadata/NPC/League/Bestiary/EinharMenagerie","Einhar, Beastmaster","Metadata/NPC/NPC","",1,"Einhar",2,24,[75],[76],8793,"","",""
174,"Metadata/NPC/Epilogue/ZanaElderMid","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,"",[],[],17719,"","",""
175,"Metadata/NPC/Epilogue/ZanaElder","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,"",[],[],32890,"","",""
176,"Metadata/NPC/Epilogue/ZanaSecret","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,"",[],[],61707,"","",""
177,"Metadata/NPC/Epilogue/ZanaShaper","Zana, Master Cartographer","Metadata/NPC/NPC","",6,"Zana",11,"",[],[],11034,"","",""
178,"Metadata/NPC/Shaper","The Shaper","Metadata/NPC/NPC","","","",0,"",[],[],9075,"","",""
179,"Metadata/NPC/Act5/Lani","Lani","Metadata/NPC/NPC","","","",5,15,[68],[69],30873,"","",""
180,"Metadata/NPC/Act5/Vilenta","Vilenta","Metadata/NPC/NPC","","","",5,"",[64],[65],3842,"","",""
181,"Metadata/NPC/Act5/Utula","Utula","Metadata/NPC/NPC","","","",5,4,[66],[67],42791,"","",""
182,"Metadata/NPC/Act5/BannonTown","Bannon","Metadata/NPC/NPC","","","",5,4,[62],[63],24257,"","",""
183,"Metadata/NPC/Act5/BannonInnocence","Bannon","Metadata/NPC/NPC","","","",5,"",[],[],18118,"","",""
184,"Metadata/NPC/Act5/SinInnocence","Sin","Metadata/NPC/NPC","","","",5,"",[],[],6956,"","",""
185,"Metadata/NPC/Act5/SinKitava","Sin","Metadata/NPC/NPC","","","",5,"",[],[],37457,"","",""
186,"Metadata/NPC/Act5/Lilly","Lilly Roth","Metadata/NPC/NPC","","","Lilly",5,"",[153],[154],4507,"","",""
187,"Metadata/NPC/Act6/Tarkleigh","Tarkleigh","Metadata/NPC/Act1/Tarkleigh","","","",6,5,[0],[1],27149,"","",""
188,"Metadata/NPC/Act6/Bestel","Bestel","Metadata/NPC/Act1/Bestel","","","",6,16,[4],[],25512,"","",""
189,"Metadata/NPC/Act6/Lilly","Lilly Roth","Metadata/NPC/NPC","","","Lilly",6,22,[153],[154],46727,"","",""
190,"Metadata/NPC/Act6/WeylamBeacon","Weylam Roth","Metadata/NPC/NPC","","","Weylam",6,"",[],[],186,"","",""
191,"Metadata/NPC/Act6/WeylamReef1","Weylam Roth","Metadata/NPC/NPC","","","Weylam",6,"",[],[],64416,"","",""
192,"Metadata/NPC/Act6/WeylamReef2","Weylam Roth","Metadata/NPC/NPC","","","Weylam",6,"",[],[],3681,"","",""
193,"Metadata/NPC/Act6/SinTown","Sin","Metadata/NPC/NPC",2390,"","",6,"",[72],[73],48413,"","",""
