"rownum","WorldAreasKey","ItemVisualIdentityKey","bool","MapsKey","FlavourTextKey","AtlasNodeKeys","Tier0","Tier1","Tier2","Tier3","Tier4","f32","f32","f32","f32","f32","DDSFile","bool","NotOnAtlas"
28,1160,6994,"",398,1941,"[108,29,69]",4,7,11,15,16,210.445,413.85,173,1.81,-7.883,"","",""
29,1161,7137,"",398,1942,[28],4,7,11,15,16,172.416,380.973,72,19.015,16.439,"Art/2DItems/Maps/Atlas2Maps/New/UniqueMaps/VaultsOfAtziri.dds","",""
30,1143,7114,"",384,1924,"[52,35,103]",5,8,12,16,16,755.799,363.735,181,-2.988,8.615,"","",""
31,1234,7076,"",461,2013,"[46,86,100]",14,16,16,16,16,646.624,114.636,205,-5.805,-5.224,"","",""
32,1145,7064,"",386,1926,"[84,22,14]",6,9,13,16,16,801.605,324.315,143,-12.923,-8.308,"","",""
33,1260,7083,"",359,2026,"[0,88,65,89]",5,8,12,16,16,285.137,348.386,176,-8.556,2.751,"","",""
34,1136,7021,"",379,1917,"[50,18,42]",5,8,12,16,16,588.923,338.79,148,1.279,4.752,"","",""
35,1132,6983,"",375,1913,"[84,114,97,22,30]",6,9,13,16,16,722.361,318.505,221,6.238,11.332,"","",""
36,1233,7132,"",460,2012,"[78,94,112]",2,5,9,13,16,480.945,389.718,148,-23.313,1.105,"","",""
37,1159,7093,"",397,1940,"[39,72,66]",1,4,8,12,16,596.646,494.201,130,33.795,-28.874,"",1,""
38,1261,7078,"",360,2027,"[70,24,99,105]",15,16,16,16,16,341.336,96.483,300,31.092,2.54,"","",""
39,1241,7104,"",468,2020,"[37,20,48,12]",2,5,9,13,16,605.971,424.133,164,-12.895,0.434,"","",""
40,1091,7121,"",331,1872,"[51,104,101,4]",11,14,16,16,16,727.006,169.939,166,-8.631,2.244,"","",""
41,1215,7000,"",444,1994,"[51,58]",9,12,16,16,16,792.311,222.289,91,-18.817,1.624,"","",""
42,1189,7022,"",421,1969,"[83,71,114,97,34]",6,9,13,16,16,596.249,306.045,221,4.07,8.551,"","",""
43,1146,7069,"",387,1927,"[26,106,55,57]",9,12,16,16,16,312.204,228.411,200,12.792,-2.457,"","",""
44,1096,6992,"",336,1877,"[63,102,59,77]",12,15,16,16,16,360.173,144.944,172,-1.006,5.757,"","",""
45,1197,7045,"",428,1977,"[110,86,91]",12,15,16,16,16,560.946,144.777,155,8.323,1.749,"","",""
46,1179,7071,"",412,1959,"[31,95,92,49]",15,16,16,16,16,650.565,84.4,237,14.16,4.269,"","",""
47,1190,7063,"",422,1970,"[71,74,114,73]",8,11,15,16,16,593.215,241.805,173,24.225,7.947,"","",""
48,1204,7080,"",434,1984,"[39,50,18,90]",3,6,10,14,16,575.391,376.274,158,3.092,8.312,"","",""
49,1176,7001,"",409,1956,"[46,8]",16,16,16,16,16,736.277,62.283,161,-17.911,18.865,"","",""
50,1133,6999,"",376,1914,"[83,48,112,34]",4,7,11,15,16,531.56,355.889,129,6.623,-3.249,"","",""
51,1263,7007,"",361,2029,"[41,74,40]",10,13,16,16,16,766.955,193.558,146,-23.396,9.976,"","",""
52,1201,7008,"",431,1981,"[2,109,97,30]",4,7,11,15,16,749.812,400.231,183,-18.639,8.914,"","",""
53,1232,7092,"",459,2011,"[113,80,69]",2,5,9,13,16,355.625,485.046,204,-17.227,-20.025,"","",""
54,1262,7043,"",330,2028,"[106,55,60]",9,12,16,16,16,197.271,220.144,167,40.771,14.831,"","",""
55,1255,7012,"",469,2022,"[63,54,56,43]",10,13,16,16,16,243.218,196.553,162,9.378,2.033,"","",""
56,1102,7003,"",342,1883,"[55,6]",11,14,16,16,16,197.392,181.784,79,23.161,-2.937,"","",""
57,1192,7031,"",424,1972,"[68,61,75,43]",8,11,15,16,16,398.907,249.782,196,-4.068,-2.525,"","",""
58,1126,7020,"",369,1907,"[84,41,74,14]",8,11,15,16,16,761.215,255.893,171,-5.978,0.036,"","",""
59,1182,7030,"",414,1962,"[81,93,26,44]",11,14,16,16,16,417.216,172.483,151,1.402,-3.652,"","",""
60,1222,6986,"",449,2001,"[111,54]",8,11,15,16,16,208.948,259.429,99,0.954,-2.977,"","",""
61,1193,7036,"",425,1973,"[98,93,26,57]",9,12,16,16,16,410.078,215.15,173,21.114,0.813,"","",""
62,1114,6991,"",352,1895,"[76,105]",15,16,16,16,16,177.415,97.409,79,23.86,-0.014,"","",""
63,1213,7023,"",442,1992,"[26,44,55,6]",11,14,16,16,16,305.639,178.534,188,-11.845,5.361,"","",""
64,1230,7089,"",457,2009,"[80,78,94]",2,5,9,13,16,420.516,427.324,147,4.949,4.79,"","",""
65,1177,7067,"",410,1957,"[111,108,33]",6,9,13,16,16,204.962,327.161,139,24.597,6.238,"","",""
66,1256,7034,"",470,2023,"[37,2,109]",2,5,9,13,16,677.004,491.297,208,9.064,-12.234,"","",""
67,1106,6979,"",346,1887,"[92,24,99]",15,16,16,16,16,461.303,84.504,235,-0.434,1.547,"","",""
68,1200,7026,"",430,1980,"[82,106,88,16,57]",7,10,14,16,16,381.273,278.962,271,1.532,5.635,"","",""
69,1205,6985,"",435,1985,"[53,28,89]",3,6,10,14,16,261.507,460.779,217,11.713,-22.733,"","",""
70,1206,7005,"",436,1986,"[102,38,77]",14,16,16,16,16,303.122,115.216,212,23.596,4.01,"","",""
71,1155,7029,"",393,1936,"[98,42,47,16]",7,10,14,16,16,573.868,273.983,152,-19.915,-3.286,"","",""
72,1100,7058,"",340,1881,"[37,109,12]",2,5,9,13,16,642.142,451.676,155,2.694,-1.663,"","",""
73,1235,7128,"",462,2014,"[98,93,101,87,47]",9,12,16,16,16,573.172,213.337,211,-13.629,-5.484,"","",""
74,1093,6982,"",333,1874,"[51,101,85,47,58]",9,12,16,16,16,687.964,228.348,221,1.355,-0.478,"","",""
75,1199,7072,"",429,1979,"[98,16,57]",7,10,14,16,16,471.732,263.98,168,-2.464,-2.626,"","",""
76,1163,7048,"",400,1944,"[62,79,77]",14,16,16,16,16,202.437,114.959,174,12.132,7.267,"","",""
77,1227,7049,"",454,2006,"[70,76,44,6]",13,16,16,16,16,286.951,138.182,198,-12.205,-3.881,"","",""
78,1225,7075,"",452,2004,"[36,64]",1,4,8,12,16,462.926,423.194,96,-8.13,-9.782,"",1,""
79,1237,7107,"",464,2016,"[76,6]",13,16,16,16,16,191.475,138.353,74,13.512,-1.181,"","",""
80,1257,7062,"",357,2024,"[53,10,64]",1,4,8,12,16,422.548,493.34,112,-28.905,-31.404,"",1,""
81,1103,7052,"",343,1884,"[102,59,91]",12,15,16,16,16,472.15,143.278,128,-18.912,8.18,"","",""
82,1253,6980,"",438,2021,"[83,68,96]",6,9,13,16,16,414.221,306.299,215,-3.028,5.822,"","",""
83,1144,7108,"",385,1925,"[82,50,107,42,16]",5,8,12,16,16,504.258,326.464,228,-6.351,-1.515,"","",""
84,1130,7113,"",373,1911,"[35,85,58,32]",7,10,14,16,16,736.396,287.888,168,3.213,0.847,"","",""
85,1122,7081,"",366,1903,"[84,74,114]",8,11,15,16,16,676.466,257.072,126,13.486,9.077,"","",""
86,1196,7042,"",427,1976,"[31,104,24,45]",13,16,16,16,16,582.018,120.508,275,2.917,8.168,"","",""
87,1220,7014,"",447,1999,"[110,73,91]",10,13,16,16,16,561.716,177.8,155,5.534,0.189,"","",""
88,1202,7017,"",432,1982,"[111,33,68,96]",6,9,13,16,16,296.692,308.55,198,9.63,3.938,"","",""
89,1157,7130,"",395,1938,"[113,108,33,69]",4,7,11,15,16,265.302,392.51,162,0.8,5.662,"","",""
90,1135,7019,"",378,1916,"[20,48,112]",2,5,9,13,16,535.415,393.191,132,3.883,-3.514,"","",""
91,1188,7109,"",420,1968,"[81,93,87,45]",11,14,16,16,16,504.985,158.212,122,10.101,5.041,"","",""
92,1259,7056,"",358,2025,"[46,67]",16,16,16,16,16,561.018,75.454,220,-3.389,5.999,"","",""
93,1154,7053,"",392,1935,"[61,59,73,91]",10,13,16,16,16,475.633,192.198,227,0.584,-1.922,"","",""
94,1105,7025,"",345,1886,"[0,107,10,36,64]",3,6,10,14,16,395.872,384.597,182,11.157,11.659,"","",""
95,1137,7027,"",380,1918,"[46,8,100]",14,16,16,16,16,729.141,106.571,168,-10.672,-0.573,"","",""
96,1166,7028,"",402,1947,"[82,0,107,88]",5,8,12,16,16,345.021,336.76,176,19.957,0.334,"","",""
97,1231,6996,"",458,2010,"[52,18,35,42]",5,8,12,16,16,679.632,351.005,213,-1.206,-1.159,"","",""
98,1129,7033,"",372,1910,"[71,61,75,73]",8,11,15,16,16,503.424,231.435,226,3.031,8.142,"","",""
99,1147,7016,"",388,1928,"[67,38]",16,16,16,16,16,339.113,68.86,204,14.459,10.391,"","",""
100,1092,7123,"",332,1873,"[31,95,104,4]",13,16,16,16,16,725.915,136.26,164,-16.016,-3.392,"","",""
101,1101,7079,"",341,1882,"[110,74,73,40]",10,13,16,16,16,650.098,190.546,192,3.375,2.41,"","",""
102,1120,7120,"",364,1901,"[70,81,24,44]",13,16,16,16,16,418.601,131.86,230,-15.173,-2.449,"","",""
103,1090,6997,"",329,1871,"[2,22,30]",4,7,11,15,16,812.191,422.487,180,-25.128,-13.945,"","",""
104,1265,7091,"",471,2031,"[110,86,100,40]",12,15,16,16,16,671.995,151.701,206,-4.783,-3.498,"","",""
105,1094,6988,"",334,1875,"[62,38]",16,16,16,16,16,223.973,79.817,155,9.222,9.807,"","",""
106,1118,7011,"",356,1899,"[111,54,68,43]",8,11,15,16,16,302.731,263.775,228,-19.338,-7.56,"","",""
107,1112,7057,"",351,1893,"[83,96,94,112]",4,7,11,15,16,438.146,354.779,209,-3.33,-1.102,"","",""
108,1226,7085,"",453,2005,"[28,65,89]",5,8,12,16,16,204.652,368.266,125,16.688,7.181,"","",""
109,1221,7088,"",448,2000,"[72,52,18,66]",3,6,10,14,16,708.788,449.405,172,-24.423,-16.194,"","",""
110,1191,7059,"",423,1971,"[104,101,87,45]",11,14,16,16,16,629.126,162.608,142,-14.35,2.878,"","",""
111,1210,7106,"",440,1989,"[106,88,65,60]",7,10,14,16,16,223.487,289.784,147,23.877,-0.044,"","",""
112,1223,7116,"",450,2002,"[50,107,36,90]",3,6,10,14,16,490.783,365.783,144,4.587,6.089,"","",""
113,1209,7111,"",439,1988,"[53,0,10,89]",3,6,10,14,16,313.911,420.919,166,14.396,2.999,"","",""
114,1099,7086,"",339,1880,"[35,85,42,47]",7,10,14,16,16,658.981,291.287,188,-9.527,-8.344,"","",""
115,1242,7094,"",472,2032,[],16,16,16,16,16,0,0,0,0,0,"","",1
116,1243,7095,"",473,2033,[],16,16,16,16,16,0,0,0,0,0,"","",1
117,1245,7096,"",474,2034,[],16,16,16,16,16,0,0,0,0,0,"","",1
118,1244,7097,"",475,2035,[],16,16,16,16,16,0,0,0,0,0,"","",1
119,1247,7099,"",477,2036,[],16,16,16,16,16,0,0,0,0,0,"","",1
120,1165,9289,"",401,1946,[],7,10,14,16,16,0,0,0,0,0,"","",1
121,1123,11198,"",366,1904,[],5,8,12,16,16,0,0,0,0,0,"","",1
