"rownum","string","MapStatConditionsKeys","StatsKeys","AchievementItemsKeys","MapTierAchievementsKeys","bool","WorldAreasKeys"
71,"TwinnedCore",[3],[],[],[],1,"[1049,927,1229]"
72,"TwinnedMalformation",[3],[],[],[],1,"[1010,900,1224]"
73,"TwinnedMaze",[3],[],[],[],1,"[1041,924,816,1122]"
74,"TwinnedMuseum",[3],[],[],[],1,"[996,858,781,1183]"
75,"TwinnedNecropolis",[3],[],[],[],1,"[1026,901,820,1218]"
76,"TwinnedPalace",[3],[],[],[],1,"[1043,921,830,1236]"
77,"TwinnedPark",[3],[],[],[],1,[1223]
78,"TwinnedPhantasmagoria",[3],[],[],[],1,"[952,867,1133]"
79,"TwinnedPlaza",[3],[],[],[],1,"[1037,926,1234]"
80,"TwinnedScriptorium",[3],[],[],[],1,"[1038,1185]"
81,"TwinnedShrine",[3],[],[],[],1,"[1044,922,828,1226]"
82,"TwinnedTortureChamber",[3],[],[],[],1,"[1020,885,805,1216]"
83,"TwinnedWasteland",[3],[],[],[],1,"[1023,916,1190]"
84,"TwinnedAcademy",[3],[],[],[],1,"[947,910,826,1134]"
85,"TwinnedCarcass",[3],[],[],[],1,[1241]
86,"TwinnedTribunal",[3],[],[],[],1,[1143]
87,"TwinnedBoneCrypt",[3],[],[],[],1,"[976,883,782,1150]"
88,"TwinnedSepulchre",[3],[],[],[],1,[1174]
89,"TwinnedLair",[3],[],[],[],1,"[1033,1199]"
90,"TwinnedOvergrownShrine",[3],[],[],[],1,"[998,860,784,1211]"
91,"TwinnedArsenal",[3],[],[],[],1,"[1007,915,766,1227]"
92,"TwinnedAcidLakes",[3],[],[],[],1,"[949,1231]"
93,"TwinnedCrimsonTemple",[3],[],[],[],1,[1233]
94,"TwinnedLookout",[3],[],[],[],1,[1087]
95,"TwinnedStrand",[3],[],[],[],1,"[969,878,800,1110]"
96,"TwinnedSpiderLair",[3],[],[],[],1,"[962,851,774,1128]"
97,"TwinnedJungleValley",[3],[],[],[],1,"[934,889,809,1132]"
98,"TwinnedVaalPyramid",[3],[],[],[],1,"[945,852,775,1160]"
99,"TwinnedOrchard",[3],[],[],[],1,"[997,895,764,1196]"
100,"TwinnedSpiderForest",[3],[],[],[],1,"[968,864,788,1202]"
101,"TwinnedFactory",[3],[],[],[],1,"[936,1205]"
102,"TwinnedMesa",[3],[],[],[],1,"[958,1206]"
103,"TwinnedCastleRuins",[3],[],[],[],1,"[975,914,1213]"
104,"TwinnedMoonTemple",[3],[],[],[],1,[1172]
105,"TwinnedDarkForest",[3],[],[],[],1,"[1050,893,813,1232]"
106,"TwinnedTemple",[3],[],[],[],1,"[1004,875,797,1180]"
107,"TwinnedShipyard",[3],[],[],[],1,"[1031,912,827,1187]"
108,"TwinnedCursedCrypt",[3],[],[],[],1,"[994,833,755,1194]"
109,"TwinnedPrimordialPool",[3],[],[],[],1,"[961,1201]"
110,"TwinnedPit",[3],[],[],[],1,"[959,838,1207]"
111,"TwinnedVilla",[3],[],[],[],1,"[953,874,796,1215]"
112,"TwinnedRacecourse_",[3],[],[],[],1,"[966,1220]"
113,"TwinnedGhetto",[3],[],[],[],1,"[937,850,773,1222]"
114,"TwinnedCitySquare",[3],[],[],[],1,[1107]
115,"TwinnedPeninsula",[3],[],[8009],[],1,"[956,894,814,1102]"
116,"TwinnedVolcano",[3],[],[],[],1,"[1046,905,1116]"
117,"TwinnedArena",[3],[],[],[],1,"[983,859,1182]"
118,"TwinnedPort",[3],[],[],[],1,"[1011,1103]"
119,"TwinnedPrecinct",[3],[],[],[],1,"[1019,909,825,1191]"
120,"TwinnedPlateau",[3],[],[],[],1,"[1028,903,822,1177]"
121,"TwinnedCanyon",[3],[],[],[],1,"[964,892,812,1118]"
122,"TwinnedCourthouse",[3],[],[],[],1,[1109]
123,"TwinnedBurialChambers",[3],[],[8196],[],1,"[955,1104]"
124,"T10HellscapeMaps",[60],[],[8391],[],1,[0]
125,"AoEMinotaur",[61],[],[8384],[],1,"[1055,1245]"
126,"MinusMaxPhoenix",[62],[],[8385],[],1,"[1054,1244]"
127,"FleetChimera","[64,65,66]",[],[8386],[],1,"[1052,1242]"
128,"MultiProjHydra",[63],[],[8387],[],1,"[1053,1243]"
129,"SynthesisUniqueMapCortex",[],[],[8413],[],1,[450]
130,"SynthesisUniqueMapMemory1",[],[],[8413],[],1,[451]
131,"SynthesisUniqueMapMemory2",[],[],[8413],[],1,[452]
132,"SynthesisUniqueMapMemory3",[],[],[8413],[],1,[453]
133,"SynthesisUniqueMapMemory4",[],[],[8413],[],1,[454]
134,"MapWith4SextantMods",[67],[],[8645],[],1,[0]
135,"TangleInfluenceMap",[68],[],[8528],[],1,[0]
136,"CleansingFireInfluenceMap",[69],[],[8526],[],1,[0]
137,"WrithingInvitation5ModsHeightOfHubris","[7,70]",[],[8792],[],1,[1281]
138,"ScreamingInvitation5ModsHeightOfHubris","[7,70]",[],[8793],[],1,[1284]
139,"PolaricInvitation5ModsHeightOfHubris","[7,70]",[],[8794],[],1,[1282]
140,"IncandescentInvitation5ModsHeightOfHubris","[7,70]",[],[8795],[],1,[1283]
141,"EaterOfWorldsWith70PercentBossAoE",[71],[],[8858],[],1,[1284]
142,"5ModBlightRavagedMap","[7,59,72,5]",[],[8948],[],1,[0]
143,"MapExplicitModGrind",[],[4492],[9047],[],1,[0]
144,"T168ModMap","[8,19,1]",[],[9077],[],1,[0]
145,"FinalTier14PlusAbyssMemoryLineMap","[75,76,77]",[],[9044],[],1,[0]
146,"FinalTier14PlusAmbushMemoryLineMap","[75,76,78]",[],[9039],[],1,[0]
147,"FinalTier14PlusAnarchyMemoryLineMap","[75,76,79]",[],[],[],1,[0]
148,"FinalTier14PlusBestiaryMemoryLineMap","[75,76,80]",[],[9036],[],1,[0]
149,"FinalTier14PlusBetrayalMemoryLineMap","[75,76,81]",[],[],[],1,[0]
150,"FinalTier14PlusBlightMemoryLineMap","[75,76,82]",[],[],[],1,[0]
151,"FinalTier14PlusBreachMemoryLineMap","[75,76,83]",[],[9042],[],1,[0]
152,"FinalTier14PlusDeliriumMemoryLineMap","[75,76,84]",[],[],[],1,[0]
153,"FinalTier14PlusDominationMemoryLineMap","[75,76,85]",[],[9038],[],1,[0]
154,"FinalTier14PlusEssenceMemoryLineMap","[75,76,86]",[],[9035],[],1,[0]
155,"FinalTier14PlusExpeditionMemoryLineMap","[75,76,87]",[],[],[],1,[0]
156,"FinalTier14PlusHarvestMemoryLineMap","[75,76,88]",[],[9037],[],1,[0]
157,"FinalTier14PlusHeistMemoryLineMap","[75,76,89]",[],[],[],1,[0]
158,"FinalTier14PlusIncursionMemoryLineMap","[75,76,90]",[],[9040],[],1,[0]
159,"FinalTier14PlusLegionMemoryLineMap","[75,76,91]",[],[],[],1,[0]
160,"FinalTier14PlusMetamorphMemoryLineMap","[75,76,92]",[],[],[],1,[0]
161,"FinalTier14PlusRitualMemoryLineMap","[75,76,93]",[],[],[],1,[0]
162,"FinalTier14PlusTormentMemoryLineMap","[75,76,94]",[],[9043],[],1,[0]
163,"FinalTier14PlusHarbingerMemoryLineMap","[75,76,95]",[],[9045],[],1,[0]
164,"Tier16AbyssMemoryLineMap","[19,77]",[],[9104],[],1,[0]
165,"Tier16AmbushMemoryLineMap","[19,78]",[],[9104],[],1,[0]
166,"Tier16AnarchyMemoryLineMap","[19,79]",[],[9104],[],1,[0]
167,"Tier16BestiaryMemoryLineMap","[19,80]",[],[9104],[],1,[0]
168,"Tier16BetrayalMemoryLineMap","[19,81]",[],[9104],[],1,[0]
169,"Tier16BlightMemoryLineMap","[19,82]",[],[9104],[],1,[0]
170,"Tier16BreachMemoryLineMap","[19,83]",[],[9104],[],1,[0]
171,"Tier16DeliriumMemoryLineMap","[19,84]",[],[9104],[],1,[0]
172,"Tier16DominationMemoryLineMap","[19,85]",[],[9104],[],1,[0]
173,"Tier16EssenceMemoryLineMap","[19,86]",[],[9104],[],1,[0]
174,"Tier16ExpeditionMemoryLineMap","[19,87]",[],[9104],[],1,[0]
175,"Tier16HarvestMemoryLineMap","[19,88]",[],[9104],[],1,[0]
176,"Tier16HeistMemoryLineMap","[19,89]",[],[9104],[],1,[0]
177,"Tier16IncursionMemoryLineMap","[19,90]",[],[9104],[],1,[0]
178,"Tier16LegionMemoryLineMap","[19,91]",[],[9104],[],1,[0]
179,"Tier16MetamorphMemoryLineMap","[19,92]",[],[9104],[],1,[0]
180,"Tier16RitualMemoryLineMap","[19,93]",[],[9104],[],1,[0]
181,"Tier16TormentMemoryLineMap","[19,94]",[],[9104],[],1,[0]
182,"Tier16HarbingerMemoryLineMap","[19,95]",[],[9104],[],1,[0]
