"rownum","Id","Description","Invisible","Removable","Name","StatsKeys","bool","i32","bool","Maximum_StatsKey","Current_StatsKey","bool","i32","BuffVisualsKey","bool","bool","i32","bool","bool","bool","bool","BuffLimit","bool","Id2","IsRecovery","bool","bool","rid","bool","i32","bool","bool","i32","[i32]","bool","bool","[rid]","bool","[rid]","[rid]","[rid]","[rid]","bool","bool","bool","bool","bool","rid","[i32]"
26,"fire_weapon","Your weapon does additional fire damage","",1,"Fire Weapon","[482,447]",1,3,"","","",1,22,36,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[482,447]",[],"","","","","","",[]
27,"frenzy_charge","Players gain more Damage and increased Attack and Cast Speed for each Frenzy Charge they have","","","Frenzy Charges",[],1,4,1,2651,5,1,22,38,1,"",3,"",1,1,"",0,"","","","","",8455,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
28,"endurance_charge","Players gain additional Physical Damage Reduction and Elemental Resistances for each Endurance Charge they have","","","Endurance Charges",[],1,4,1,2650,4,1,22,39,1,"",3,"",1,1,"",0,"","","","","",8453,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
29,"power_charge","Players gain increased Critical Strike Chance for each Power Charge they have","","","Power Charges",[],1,4,1,2652,6,1,22,40,1,"",3,"",1,1,"",0,"","","","","",8457,"",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
30,"spirit_charge","Required to use certain skills.","","","Spirit Charges",[],1,4,1,7263,6532,"",22,41,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
31,"siphoning_charge","Players have altered effects for each Siphoning Charge they have","","","Siphoning Charges",[],1,4,1,7325,7324,1,22,42,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
32,"void_arrow","Can trigger the Void Shot skill while you have Void Arrows","","","Void Arrows",[],1,4,1,7345,7344,1,22,43,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
33,"divine_charge","You are charged with divine energy","","","Divine Charge",[],1,4,1,9127,9128,1,22,44,1,"",3,"",1,1,"",0,"","DivineCharge","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
34,"blitz_charge","You gain bonuses from your Ascendancy for having Blitz Charges","","","Blitz Charge",[],1,4,1,9686,9687,1,22,1075,1,"",3,"",1,1,"",0,"","BlitzCharge","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
35,"challenger_charge","You gain bonuses from your Ascendancy for having Challenger Charges","","","Challenger Charges",[],1,4,1,9782,9783,1,22,1083,1,"",3,"",1,1,"",0,"","ChallengerCharge","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
36,"hillock_buff","Attacks with fervor","","","Brutal Attack","[70,26]",1,2,"","","","",22,46,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,26]",[],"","","","","","",[]
37,"mana_leech","You are leeching Mana",1,"","Mana Leech","[1412,2866]",1,1,"","","","",22,0,1,"",16,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],"[1412,2866]",[],"",1,"","","","",[]
38,"life_leech","You are leeching Life",1,"","Life Leech","[1411,2865]",1,1,"","","","",22,0,1,"",16,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],"[1411,2865]",[],"",1,"","","","",[]
39,"energy_shield_leech","You are leeching Energy Shield",1,"","Energy Shield Leech","[1413,2867]",1,1,"","","","",22,0,1,"",16,"",1,"","",0,"","",1,"","","","",4,"","",0,[],"","",[],"",[],[],"[1413,2867]",[],"",1,"","","","",[]
40,"players_increased","More players are in the game.",1,"","Players Increased","[1938,370,3279]","",2,"","","",1,22,0,1,"",16,"","","","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[1938,370,3279]",[],"","","","","","",[]
41,"flask_bonus_armour","You have increased armour while this flask is in effect",1,"","Increased Armour",[117],1,3,"","","","",22,0,1,"",4,"",1,"",1,0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[117],[],"","","","","","",[]
42,"flask_bonus_evasion","You have increased evasion while this flask is in effect","","","Increased Evasion",[120],1,3,"","","","",22,49,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[120],[],"","","","","","",[]
43,"flask_bonus_energy_shield","You have increased energy shield while this flask is in effect",1,"","Increased Energy Shield",[134],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[134],[],"","","","","","",[]
44,"flask_bonus_movement_speed","You move faster while this flask is in effect","","","Increased Movement Speed",[177],1,3,"","","","",22,47,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[177],[],"","","","","","",[]
45,"flask_bonus_stun_recovery","You recover faster from being stunned while this flask is in effect",1,"","Increased Stun Recovery",[221],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[221],[],"","","","","","",[]
46,"flask_bonus_resistances","You have increased resistances while this flask is in effect",1,"","Increased Resistances",[141],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[]
47,"flask_bonus_life_leech","You have life leech while this flask is in effect",1,"","Increased Life Leech",[3091],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[3091],[],"","","","","","",[]
48,"flask_bonus_mana_leech","You have mana leech while this flask is in effect",1,"","Increased Mana Leech",[3092],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[3092],[],"","","","","","",[]
49,"flask_bonus_knockback","Your Melee attacks knock back enemies while this flask is in effect",1,"","Added Knockback",[721],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[721],[],"","","","","","",[]
50,"flask_bonus_global_knockback","You knock back enemies while this flask is in effect",1,"","Added Knockback",[110],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[110],[],"","","","","","",[]
51,"flask_bonus_prevents_death","You can't die while this flask is in effect",1,"","Death Prevention",[398],1,3,"","","","",22,0,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[398],[],"","","","","","",[]
52,"flask_bonus_ignite_immunity","",1,"","",[],"",3,"","","","",22,382,1,"",4,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[4921],[],[],"","","","","","",[]
53,"chill_immunity","All Chill has been removed from you, and you cannot be Chilled.","","","Chill Immunity",[],1,3,"","","","",22,384,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[4920],[],[],"","","","","","",[]
54,"freeze_immunity","All Freeze has been removed from you, and you cannot be Frozen","","","Freeze Immunity",[],1,3,"","","","",22,380,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[4919],[],[],"","","","","","",[]
55,"ignite_immunity","All Ignite has been removed from you, and you cannot be Ignited.","","","Ignite Immunity",[],1,3,"","","","",22,382,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[4921],[],[],"","","","","","",[]
56,"shock_immunity","All Shock has been removed from you, and you cannot be Shocked.","","","Shock Immunity",[],1,3,"","","","",22,383,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[4922],[],[],"","","","","","",[]
57,"bleeding_immunity","All Bleeding has been removed from you, and Bleeding cannot be inflicted on you.","","","Bleeding Immunity",[],1,3,"","","","",22,381,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[2639],[],[],"","","","","","",[]
58,"corrupted_blood_immunity","All Corrupted Blood has been removed from you, and Corrupted Blood cannot be inflicted on you.","","","Corrupted Blood Immunity",[],1,3,"","","","",22,385,1,"",16,"",1,"","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[14098],[],[],"","","","","","",[]
59,"flask_bonus_curse_immunity","",1,"","Curse Immunity",[],1,3,"","","","",22,48,1,"",4,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[745],[],[],"","","","","","",[]
60,"spectre_buff","",1,"","Spectral",[],"",3,"","","","",22,50,1,"",16,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
61,"infernal_blow_hit","",1,"","Hit by Infernal Blow",[1998],"",3,"","","",1,22,0,1,"",16,"","","","",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[1998],[],"","","","","","",[]
62,"viper_strike_orb","You are taking Chaos Damage from Viper Strike","","","Hit by Viper Strike",[453],1,1,"","","",1,22,51,1,"",2,"",1,1,"",0,"","","","","","","",2,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[]
63,"phase_run","You are fast and hard to see. If you end this buff by making a weapon attack, that attack will do more damage","",1,"Phase Running","[177,314,635,5820]",1,2,"","","","",22,52,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[177,314,635,5820]",[],"","","","","","",[]
64,"monster_magic_effect_buff","",1,"","",[],1,2,"","","",1,22,54,1,"",16,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
65,"monster_rare_effect_buff","",1,"","",[],1,2,"","","",1,22,55,1,"",16,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
66,"fuse_arrow_orb","You're going to go boom","","","Hit by Explosive Arrow",[],1,4,1,529,528,1,22,59,1,"",3,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
67,"curse_temporal_chains","You are cursed. Time passes more slowly for you.","","","Temporal Chains","[3242,9135,532]","",6,"","","",1,22,60,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[3242,9135,532]","[719,12446]","","","","","","",[]
68,"curse_elemental_weakness","You are cursed. You take more Elemental damage.","","","Elemental Weakness","[141,621]","",6,"","","",1,22,62,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[141,621]",[719],"","","","","","",[]
69,"curse_fire_weakness","You are cursed. You take more Fire damage and are more prone to being Ignited.","","","Flammability","[144,536,207]","",6,"","","",1,22,64,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[144,536,207]",[719],"","","","","","",[]
70,"curse_cold_weakness","You are cursed. You take more Cold damage and are more prone to being Frozen.","","","Frostbite","[146,535,206]","",6,"","","",1,22,65,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[146,535,206]",[719],"","","","","","",[]
71,"curse_lightning_weakness","You are cursed. You take more Lightning damage and are more prone to being Shocked.","","","Conductivity","[148,533,205]","",6,"","","",1,22,67,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[148,533,205]",[719],"","","","","","",[]
72,"curse_warlords_mark","You are cursed. You will be Stunned for longer, grant Rage, Mana and Life Leech to enemies, and grant an Endurance charge when killed.","","","Warlord's Mark","[12381,12383,9738,9739,544,12587,477]","",6,"","","",1,22,69,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[12381,12383,9738,9739,544,12587,477]",[719],"","","","","","",[]
73,"curse_punishment","","","","",[540],"",6,"","","",1,22,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],[540],[719],"","","","","","",[]
74,"curse_enfeeble","You are cursed. You deal less damage and have reduced accuracy.","","","Enfeeble","[84,648,9136]","",6,"","","",1,22,72,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[84,648,9136]",[719],"","","","","","",[]
75,"curse_assassins_mark","You are cursed. You are more likely to be critically hit, take more damage from critical hits, and will grant life, mana, and a power charge when killed.","","","Assassin's Mark","[12388,9048,2436,2437,539,12586,477]","",6,"","","",1,22,74,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[12388,9048,2436,2437,539,12586,477]",[719],"","","","","","",[]
76,"curse_snipers_mark","You are cursed. You take increased damage from projectiles, and projectiles that hit you will split. You grant flask charges to the enemy who cursed you when hit.","","","Sniper's Mark","[12957,730,12975,12976,541]","",6,"","","",1,22,75,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[12957,730,12975,12976,541]",[719],"","","","","","",[]
77,"curse_vulnerability","You are cursed. You take increased physical damage, ailments damage you faster, and attacks against you have a chance to inflict Bleeding.","","","Vulnerability","[545,5226,12390,7253]","",6,"","",7835,1,22,76,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[545,5226,12390,7253]","[719,7835]","","","","","","",[]
78,"curse_poachers_mark","You are cursed. Hits against you deal added physical damage and your physical damage reduction is lowered. You grant life and mana to enemies that attack you, and grant a frenzy charge when killed","","","Poacher's Mark","[12384,12385,1034,2434,2435,2433,12588,477]","",6,"","","",1,22,78,"","",14,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[],[],"[12384,12385,1034,2434,2435,2433,12588,477]",[719],"","","","","","",[]
79,"curse_newpunishment","You are cursed. You will take increased damage while on low life and be debilitated when you hit enemies. Overkill damage from the hit which kills you will be reflected to nearby targets.","","","Punishment","[12391,12392,12393]","",6,"","","",1,22,70,"","",5,"",1,1,"",0,"","CurseDebuff","","","","","",4,"",1,0,[],"","",[],"",[12562],[],"[12391,12392,12393,12562]",[719],"","","","","","",[]
80,"CarlsTestCheat","You are testing the game with raw stats and blanket mods. You should never see this outside of Grinding Gear Games.","",1,"Balance","[123,133,116,119,30,31,83,568]",1,2,"","","","",22,83,1,"",16,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[123,133,116,119,30,31,83,568]",[],"","","","","","",[]
81,"monster_aura_physical_thorns","Allies Reflect Physical Damage","","","Physical Reflection Aura",[564],1,3,"","","","",22,84,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[]
82,"monster_aura_elemental_thorns","Allies Reflect Elemental Damage","","","Elemental Reflection Aura",[565],1,3,"","","","",22,85,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[]
83,"monster_physical_thorns","Reflects Physical Damage","","","Physical Reflection",[564],1,3,"","","","",22,84,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[]
84,"monster_elemental_thorns","Reflects Elemental Damage","","","Elemental Reflection",[565],1,3,"","","","",22,85,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[]
85,"monster_aura_medium_physical_damage","Allies Deal Extra Physical Damage","","","Medium Physical Damage Aura",[26],1,3,"","","","",22,86,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[]
86,"monster_aura_large_physical_damage","Allies Deal Extra Physical Damage","","","Large Physical Damage Aura",[26],1,3,"","","","",22,87,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[26],[],"","","","","","",[]
87,"monster_aura_speed","Allies Move and Attack Faster","","","Speed Aura","[70,216,177]",1,3,"","","","",22,88,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[70,216,177]",[],"","","","","","",[]
88,"monster_aura_life_regen","Allies Regenerate Life","","","Life Regen Aura",[451],1,3,"","","","",22,89,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[451],[],"","","","","","",[]
89,"monster_aura_resists","Allies Resist Elemental Damage","","","Resists Aura",[141],1,3,"","","","",22,90,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[141],[],"","","","","","",[]
90,"monster_aura_energy_shield","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",22,91,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[]
91,"monster_aura_energy_shield_bubble","Allies have Energy Shield","","","Energy Shield Aura",[563],1,3,"","","","",22,92,"","",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[563],[],"","","","","","",[]
92,"monster_aura_accuracy_and_crits","Allies have increased Accuracy and Critical Strike Chance","","","Accuracy and Crits Aura","[84,554]",1,3,"","","","",22,93,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[84,554]",[],"","","","","","",[]
93,"monster_aura_pus_puke_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",22,94,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[]
94,"monster_aura_chaos_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[453],1,3,"","","","",22,94,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[453],[],"","","","","","",[]
95,"monster_aura_physical_degen","Enemies take Physical Damage over time","","","Degeneration Aura",[2564],1,3,"","","","",22,356,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[2564],[],"","","","","","",[]
96,"monster_aura_lightning_degen","Enemies take Lightning Damage over time","","","Degeneration Aura",[1980],1,3,"","","","",22,272,"","",2,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[1980],[],"","","","","","",[]
97,"monster_aura_elemental_damage","Allies deal increased Elemental Damage","","","Elemental Damage Aura",[486],1,3,"","","","",22,96,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[486],[],"","","","","","",[]
98,"monster_aura_essence_daemon_degen","Enemies take Chaos Damage over time","","","Degeneration Aura",[452],1,3,"","","","",22,97,"","",2,1,1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[452],[],"","","","","","",[]
99,"monster_thorns_physical","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",22,98,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[]
100,"monster_thorns_elemental","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",22,99,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[]
101,"monster_thorns_physical_large","Reflects Physical Damage",1,"","Reflection",[564],1,3,"","","","",22,100,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[564],[],"","","","","","",[]
102,"monster_thorns_elemental_large","Reflects Elemental Damage",1,"","Reflection",[565],1,3,"","","","",22,101,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[565],[],"","","","","","",[]
103,"monster_thorns_bloodline","",1,"","Reflection","[564,565]",1,3,"","","","",22,102,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[564,565]",[],"","","","","","",[]
104,"monster_thorns_bloodline_large_model","",1,"","Reflection","[564,565]",1,3,"","","","",22,103,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],"[564,565]",[],"","","","","","",[]
105,"dominating_blow_hit_buff","",1,"","",[],1,2,"","","",1,22,105,1,"",2,"","","","",0,"","DominatingBlowDebuff","","","","","",4,"","",0,[],"","",[],"",[],[],[],[],"","","","","","",[]
106,"immortal_call","You are invulnerable to Physical Damage.","",1,"Immortal Call",[716],1,2,"","","","",22,106,1,"",1,"",1,1,"",0,"","","","","","","",4,"","",0,[],"","",[],"",[],[],[716],[],"","","","","","",[]
107,"vaal_immortal_call","You cannot die. You cannot gain Vaal souls.","",1,"Vaal Immortal Call","[398,7792]",1,2,"","","","",22,106,1,"",1,"",1,1,"",0,1,"","","","","","",4,"","",0,[],"","",[],"",[],[],"[398,7792]",[],"","","","","","",[]
