"rownum","Id","WorldAreasKeys","i32","i32","BossMonsterSpawnChance","BossMonsterCount","BossMonster_MonsterVarietiesKeys","bool","i32","[string]","TagsKeys","MinLevel","MaxLevel","WorldAreas2","i32","PackFormation","i32","bool","[rid]","bool","bool"
16,"1_1_8-houndbosspack",[14],3,6,100,1,[331],1,0,[],[],0,100,[],0,"",0,"",[],1,""
17,"1_1_11_1-bosspack",[17],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
18,"1_1_11_2-bosspack",[18],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
19,"1_1_11_2-merveilstatues",[18],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
20,"1_2_2a-bosspack",[22],8,14,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
21,"1_2_3-mossmonsteremerge",[23],1,1,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],"",""
22,"1_2_3-bosspack",[23],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
23,"1_2_3-bandits",[23],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
24,"1_2_3-beast",[23],1,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
25,"1_2_4-bandits",[28],2,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
26,"1_2_5_1-bosspack",[24],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
27,"1_2_6_1-bosspack",[26],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
28,"1_2_6_2-bosspack",[27],8,12,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
29,"1_2_8-bosspack",[30],3,5,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
30,"1_2_7-bandits",[29],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
31,"1_2_8-snakeboss",[30],4,4,100,1,[879],1,0,[],[],0,100,[],0,"",0,"",[],1,""
32,"1_2_7-bosspack",[29],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
33,"1_2_7-banditbowboss",[29],4,4,100,1,[13],1,0,[],[],0,100,[],0,"",0,"",[],1,""
34,"1_2_9-spiders",[31],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
35,"1_2_9-axis1",[31],8,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
36,"1_2_11_1-bosspack",[33],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
37,"1_2_12-bandits",[34],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
38,"1_2_15-bosspack",[38],4,6,100,1,[977],1,0,[],[],0,100,[],0,"",0,"",[],1,""
39,"1_3_1-axisguards",[40],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
40,"1_3_3_1-bosspack",[42],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
41,"1_3_7-axisbosspack",[45],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
42,"1_3_7-infightpackribbons",[45],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
43,"1_3_7-infightpackaxis",[45],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
44,"1_3_8_1-bosspack1",[46],5,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
45,"1_3_8_1-bosspack2",[46],5,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
46,"1_3_8_2-waterelementals1",[47],2,5,0,0,[],"",0,"[""TempleWaterBottom""]",[],0,100,[],0,"",0,"",[],1,""
47,"1_3_8_2-bosspack",[47],3,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
48,"1_3_8_2-bosspack2",[47],3,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
49,"1_3_9-flamebearerbosspack",[48],4,4,100,1,[1549],1,0,[],[],0,100,[],0,"",0,"",[],1,""
50,"1_3_10_0-frogbosspack",[49],4,4,100,1,[1449],1,0,[],[],0,100,[],0,"",0,"",[],1,""
51,"1_3_14_1-bosspack1",[51],7,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
52,"1_3_14_1-bosspack2",[51],3,3,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
53,"1_3_14_2-bosspack",[52],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
54,"1_3_15-bosspack",[53],2,4,100,1,[1637],1,1,[],[],0,100,[],0,"",0,"",[],1,""
55,"1_3_17_2-bosspack",[55],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
56,"1_3_18_1-bosspack",[56],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
57,"1_3_18_2-bosspack",[57],4,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
58,"1_3_18_2-bosspacktower",[57],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
59,"1_3_18_2-dominusportal",[57],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
60,"1_4_2-bosspack",[60],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
61,"1_4_2-vollpack",[60],4,6,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
62,"1_4_5_1-pitpack",[66],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
63,"1_4_3_1-bosspack",[61],6,8,100,1,[3890],1,0,[],[],0,100,[],0,"",0,"",[],1,""
64,"1_4_3_1-minerhammerbosspack",[62],4,6,100,1,[3905],1,1,[],[],0,100,[],0,"",0,"",[],1,""
65,"1_4_3_3-minerlanternbosspack",[62],2,4,100,1,[3926],1,1,[],[],0,100,[],0,"",0,"",[],1,""
66,"1_4_3_2-minehandfingerbosspack",[63],1,2,100,1,[3935],1,1,[],[],0,100,[],0,"",0,"",[],1,""
67,"1_4_5_1-pitbullpitfight",[66],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],"",""
68,"1_4_5_1-cockerelpitfight",[66],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],"",""
69,"1_4_5_1-cockerelbowpitfight",[66],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
70,"1_4_6_3-malachaiflayedpack",[70],1,1,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],"",""
71,"1_5_1-karuislaves",[72],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
72,"1_5_2-karuirebels",[74],2,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
73,"1_5_3-KaruiRevolt",[75],3,5,100,2,"[5274,5276]","",0,[],[],0,100,[],0,"",0,"",[],1,""
74,"1_5_3-TemplarElite",[75],2,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
75,"2_6_6-corpsewheels",[89],4,5,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
76,"2_6_9-blackguardzombie",[93],8,12,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
77,"2_6_9-cauldronzombie",[93],8,10,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
78,"2_6_9-arakaalispiders",[93],8,10,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
79,"2_6_14-bowskeleton",[98],8,8,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
80,"2_7_5_2-plagueretchzombies",[106],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
81,"2_7_5_2-blackguardzombies",[106],5,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
82,"2_8_3-bosspack",[120],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
83,"2_8_5-bosspack",[122],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
84,"2_8_6-bosspack",[123],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
85,"2_8_8-boatpack",[126],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
86,"2_8_8-boatpack2",[126],4,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
87,"2_8_10-bosspack",[128],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
88,"2_8_10-solarispack1",[128],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
89,"2_8_10-solarispack2",[128],6,10,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
90,"2_8_13-ribbonfight",[132],8,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
91,"2_8_13-ribbonfight_lightning",[132],7,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
92,"2_8_13-ribbonfight_fire",[132],7,7,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
93,"2_8_13-lunaris_axis",[132],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
94,"2_8_13-solaris_axis",[132],6,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
95,"2_9_5-voll_camp",[138],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
96,"2_9_5-bosspack",[138],4,6,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
97,"2_9_4-camppack",[137],3,4,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
98,"2_9_6-voll_camp",[139],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
99,"2_9_10_1-bonewarped",[143],6,8,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
100,"bellyskeletonspawnpack",[70],1,1,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],"",""
101,"kaomwarriorpack",[65],4,4,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
102,"chaos-dominusportal",[164],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
103,"chaos-dominusportal2",[164],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
104,"palace-bosspacktower",[57],0,0,0,0,[],"",0,[],[],0,100,[],0,"",0,"",[],1,""
105,"chaos-ghouls",[164],5,7,0,0,[],"",1,[],"[62,63,64,65,66,67,69]",0,100,[],0,"",0,"",[],1,""
106,"chaos-cellcrawlers",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
107,"chaos-bandits",[164],3,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
108,"chaos-bandits2",[164],3,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
109,"chaos-bandits3",[164],3,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
110,"chaos-bandits4",[164],4,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
111,"chaos-bandits5",[164],5,11,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
112,"chaos-bandits6",[164],4,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
113,"chaos-bandits7",[164],4,8,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
114,"chaos-bandits8",[164],4,8,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
115,"chaos-beasts1",[164],3,6,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
116,"chaos-beasts2",[164],3,6,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
117,"chaos-beasts3",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
118,"chaos-beasts4",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
119,"chaos-beasts5",[164],3,11,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
120,"chaos-beasts-parasite6",[164],3,6,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
121,"chaos-animals",[164],3,11,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
122,"chaos-beasts6",[164],2,6,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
123,"chaos-fragments-emanant1",[164],2,7,0,0,[],"",1,[],"[63,64,68,69]",0,100,[],0,"",0,"",[],1,""
124,"chaos-ghosts1",[164],2,10,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
125,"chaos-ghosts2",[164],3,10,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
126,"chaos-ghosts3",[164],3,9,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
127,"chaos-ghosts4",[164],3,10,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
128,"chaos-animals2",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
129,"chaos-goatmen2",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
130,"chaos-goatmen3",[164],4,11,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
131,"chaos-goatmen4",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
132,"chaos-goatmen5",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
133,"chaos-goatmen6",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
134,"chaos-goatmen7",[164],4,10,0,0,[],"",1,[],"[62,64,65,67]",0,100,[],0,"",0,"",[],1,""
135,"chaos-lion1",[164],5,8,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
136,"chaos-lion2",[164],5,8,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
137,"chaos-icehellions1",[164],5,8,0,0,[],"",1,[],"[64,65,67,69]",0,100,[],0,"",0,"",[],1,""
138,"chaos-hellions-parasite1",[164],4,9,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
139,"chaos-animals4",[164],5,8,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
140,"chaos-monkeys1",[164],4,16,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
141,"chaos-monkeys2",[164],4,16,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
142,"chaos-monkeys3",[164],4,16,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
143,"chaos-monkeys4",[164],3,14,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
144,"chaos-monkeys5",[164],3,14,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
145,"chaos-monkeys-parasite6",[164],2,10,0,0,[],"",1,[],"[64,65]",0,100,[],0,"",0,"",[],1,""
146,"chaos-mossmonsters1",[164],3,6,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
147,"chaos-mossmonsters2",[164],3,6,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
148,"chaos-mossmonsters3",[164],3,6,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
149,"chaos-mossmonsters4",[164],3,6,0,0,[],"",1,[],"[62,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
150,"chaos-necros1",[164],3,7,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
151,"chaos-necros2",[164],3,7,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
152,"chaos-necros3",[164],4,8,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
153,"chaos-necros4",[164],3,7,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
154,"chaos-necros5",[164],4,9,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
155,"chaos-necros6",[164],3,5,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
156,"chaos-necros7",[164],4,6,0,0,[],"",1,[],"[62,63,64,66,69]",0,100,[],0,"",0,"",[],1,""
157,"chaos-animals5",[164],3,8,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
158,"chaos-rhoas2",[164],3,10,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
159,"chaos-rhoas-aridlake1",[164],3,8,0,0,[],"",0,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
160,"chaos-bonerhoas-bog1",[164],3,8,0,0,[],"",0,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
161,"chaos-rhoas3",[164],3,9,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
162,"chaos-rhoas4",[164],3,6,0,0,[],"",1,[],"[62,64,65,66,67]",0,100,[],0,"",0,"",[],1,""
163,"chaos-rhoas-skeletons5",[164],3,6,0,0,[],"",1,[],"[62,66,67]",0,100,[],0,"",0,"",[],1,""
164,"chaos-rhoas-parasite6",[164],4,9,0,0,[],"",1,[],"[62,66,67]",0,100,[],0,"",0,"",[],1,""
165,"chaos-sandspitters-emanant1",[164],3,10,0,0,[],"",1,[],"[62,64,66,67]",0,100,[],0,"",0,"",[],1,""
166,"chaos-sandspitters-emanant2",[164],3,10,0,0,[],"",1,[],"[62,64,66,67]",0,100,[],0,"",0,"",[],1,""
167,"chaos-sandspitters-emanant3",[164],3,10,0,0,[],"",1,[],"[62,64,66,67]",0,100,[],0,"",0,"",[],1,""
168,"chaos-cannibals1",[164],3,10,0,0,[],"",1,[],"[62,64,65,66,67,69]",0,100,[],0,"",0,"",[],1,""
169,"chaos-cannibals2",[164],3,10,0,0,[],"",1,[],"[62,64,65,66,67,69]",0,100,[],0,"",0,"",[],1,""
170,"chaos-humanoids1",[164],3,10,0,0,[],"",1,[],"[62,64,65,66,67,69]",0,100,[],0,"",0,"",[],1,""
171,"chaos-cannibalfire",[164],2,2,0,0,[],"",0,[],"[62,64,65,66,67,69]",0,100,[],0,"",0,"",[],1,""
172,"chaos-seawitches-slithering-emanant1",[164],3,8,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
173,"chaos-seawitches-slithering2",[164],3,8,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
174,"chaos-seawitches-slithering3",[164],5,13,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
175,"chaos-seawitches-slithering4",[164],5,13,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
176,"chaos-seawitches-slithering5",[164],3,15,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
177,"chaos-seawitches-slithering6",[164],3,15,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
178,"chaos-shieldcrabs1",[164],4,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
179,"chaos-shieldcrabs2",[164],4,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
180,"chaos-shieldcrabs3",[164],4,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
181,"chaos-shieldcrabs4",[164],4,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
182,"chaos-shieldcrabs-parasite5",[164],4,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
183,"chaos-shieldcrabs-bleached6",[164],5,9,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
184,"chaos-skeletons1",[164],3,9,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
185,"chaos-skeletons2",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
186,"chaos-skeletons3",[164],3,9,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
187,"chaos-skeletons4",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
188,"chaos-skeletons5",[164],3,9,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
189,"chaos-skeletons6",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
190,"chaos-skeletons-emanant7",[164],3,8,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
191,"chaos-skeletons8",[164],3,9,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
192,"chaos-skeletons9",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
193,"chaos-skeletons10",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
194,"chaos-skeletons11",[164],3,8,35,1,"[1005,991,990,992,989]","",1,[],[],0,100,[],0,"",0,"",[],1,""
195,"chaos-skeletons12",[164],4,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
196,"chaos-skeletons13",[164],4,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
197,"chaos-skeletons14",[164],3,7,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
198,"chaos-skeletons15",[164],4,8,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
199,"chaos-skeletons16",[164],3,7,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
200,"chaos-skeletons16_2",[164],5,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
201,"chaos-skeletons17",[164],3,7,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
202,"chaos-skeletons18",[164],5,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
203,"chaos-skeletons19",[164],5,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
204,"chaos-skeletons20",[164],5,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
205,"chaos-skeletons21",[164],4,9,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
206,"chaos-skeletons22",[164],4,10,0,0,[],"",1,[],[],0,100,[],0,"",0,"",[],1,""
207,"chaos-snakes1",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
208,"chaos-snakes2",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
209,"chaos-snakes3",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
210,"chaos-snakes4",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
211,"chaos-snakes-parasite5",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
212,"chaos-animals7",[164],3,7,0,0,[],"",1,[],"[65,66,69]",0,100,[],0,"",0,"",[],1,""
213,"chaos-spawns-slithering1",[164],7,17,0,0,[],"",1,[],"[62,64,66]",0,100,[],0,"",0,"",[],1,""
214,"chaos-spiders1",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
215,"chaos-spiders2",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
216,"chaos-spiders3",[164],6,14,0,0,[],"",1,[],"[63,64,65,69]",0,100,[],0,"",0,"",[],1,""
217,"chaos-spiders4",[164],6,14,0,0,[],"",1,[],"[63,64,65,69]",0,100,[],0,"",0,"",[],1,""
218,"chaos-spiders6",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
219,"chaos-spiders7",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
220,"chaos-spiders-parasite8",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
221,"chaos-spiders9",[164],5,9,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
222,"chaos-spiders10",[164],5,8,0,0,[],"",1,[],"[63,64,65,67,69]",0,100,[],0,"",0,"",[],1,""
223,"chaos-vaal1",[164],3,8,0,0,[],"",1,[],"[63,64,68]",0,100,[],0,"",0,"",[],1,""
224,"chaos-vaal2",[164],4,8,0,0,[],"",1,[],"[63,64,68]",0,100,[],0,"",0,"",[],1,""
225,"chaos-vaal3",[164],3,8,0,0,[],"",1,[],"[63,64,68]",0,100,[],0,"",0,"",[],1,""
226,"chaos-vaal4",[164],3,8,0,0,[],"",1,[],"[63,64,68]",0,100,[],0,"",0,"",[],1,""
